"IWaveTheta [deg]","MonostaticRCSTotal [] - Freq='3.46GHz' IWavePhi='0deg'","MonostaticRCSTotal [] - Freq='3.46GHz' IWavePhi='90deg'"
0,1.62283706118619,0.865499894070687
6,0.0708447042488097,0.0301374765994623
12,0.022172827558037,0.00106401136929018
18,0.00708818772980278,0.00328806459565266
24,0.00310352186011505,0.00437929886909126
30,0.00273584300553408,0.000656052457875091
36,3.1901711629953E-05,0.000484469484348509
42,0.00109122829395027,0.00134028582562392
48,0.00110196617936115,0.000498194659756977
54,2.62799276771959E-05,0.000612062089180212
60,0.00270730301184632,0.00448819692404841
66,0.0033048364645487,0.00335293678578599
72,0.00694802519765764,0.000973688533381813
78,0.022777165879441,0.030290754957358
84,0.0691741190848654,0.864438567762485
90,1.62510912863385,0.866233166787252
96,0.070438374886047,0.0299054043897916
102,0.0223795380884268,0.000981870642922622
108,0.00697507689609309,0.00337994252882558
114,0.00331001668670279,0.00448811936136571
120,0.0026947007022016,0.000587986738002527
126,2.32361790347647E-05,0.000531341821648302
132,0.00116057110808027,0.00140742399913896
138,0.00115460423745078,0.000528018559470069
144,2.76301312381408E-05,0.00058505396853549
150,0.00265854116266386,0.00439131955492739
156,0.00310868367027032,0.00316401165408044
162,0.00687564088061525,0.000954221945659152
168,0.0230164706661401,0.0310244143755568
174,0.0694405309597407,0.862441663388899
180,1.62283517000365,1.61978932654145
186,0.861326764877222,0.0699446480325216
192,0.0311609361692902,0.022680253835149
198,0.00090443063883718,0.00670267547017988
204,0.00303960731194286,0.00314055154261031
210,0.00441710300887435,0.00268073692760362
216,0.00061247635593283,2.05756350282065E-05
222,0.000473246619658219,0.00107119326084344
228,0.00131927841415524,0.00108588233506117
234,0.000485651245131234,2.03818771194883E-05
240,0.000629299066547669,0.00274402178920297
246,0.00448282699706405,0.00327553536253319
252,0.00339009084677019,0.00695835259762905
258,0.00098230551429935,0.0224584747276101
264,0.0299778985441396,0.0692890796878183
270,0.863440161465855,1.62485764247866
276,0.866615448720351,0.069984067045924
282,0.0303785638926737,0.0228310809333264
288,0.000871927760639135,0.00726081015147406
294,0.00340136490388299,0.00319475974456682
300,0.00466206144526606,0.00291474584880138
306,0.000668837318467586,1.19732379597395E-05
312,0.000489389246675532,0.00111013307835381
318,0.00135731855459246,0.00111001135043037
324,0.000491852933418409,1.39741912891881E-05
330,0.000646716568675043,0.00285265407842367
336,0.00462835385711058,0.00317897497572607
342,0.00318005239361811,0.00720055910279605
348,0.0010044137271986,0.0223423806523806
354,0.0309696113637155,0.0695458221842586
360,1.62283706118619,0.865499894070687
