f/Hz	Re{Y}/µS	Im{Y}/µS	Re{Z}/mOhm	Im{Z}/mOhm
1000	12704477	-402992	79	2
11000	8265097	-1797285	116	25
21000	6783534	-2929987	124	54
31000	5823448	-3496312	126	76
41000	4319718	-3767854	131	115
51000	3745496	-3593508	139	133
61000	2924958	-3759677	129	166
71000	2543826	-3522209	135	187
81000	2089811	-3502971	126	211
91000	1723978	-3171472	132	243
101000	1575054	-3113443	129	256
111000	1309777	-2840003	134	290
121000	1195309	-2626812	144	315
131000	1026783	-2508832	140	341
141000	880889	-2428074	132	364
151000	769016	-2237269	137	400
161000	705977	-2158975	137	418
171000	665577	-2069863	141	438
181000	552770	-1914217	139	482
191000	518193	-1898342	134	490
201000	470554	-1806453	135	518
211000	436369	-1709990	140	549
221000	421830	-1666840	143	564
231000	392693	-1598616	145	590
241000	361104	-1510307	150	626
251000	326361	-1482914	142	643
261000	301770	-1426755	142	671
271000	295316	-1384485	147	691
281000	274884	-1323918	150	724
291000	245711	-1287585	143	749
301000	240305	-1254032	147	769
311000	220103	-1201907	147	805
321000	210667	-1182523	146	820
331000	206898	-1148323	152	843
341000	191409	-1108169	151	876
351000	177679	-1080223	148	901
361000	166713	-1054280	146	925
371000	167219	-1024981	155	950
381000	166663	-999615	162	973
391000	151142	-973718	156	1003
401000	140492	-956711	150	1023
411000	144375	-928758	163	1051
421000	138569	-913912	162	1070
431000	132119	-894468	162	1094
441000	126066	-870937	163	1125
451000	113999	-853144	154	1152
461000	113003	-836685	159	1174
471000	105257	-820919	154	1198
481000	108947	-800233	167	1227
491000	102597	-791340	161	1243
501000	96182	-771816	159	1276
511000	92871	-753206	161	1308
521000	91401	-745588	162	1321
531000	87837	-730792	162	1349
541000	85823	-719089	164	1371
551000	86664	-704875	172	1398
561000	79752	-693780	164	1423
571000	77220	-680270	165	1451
581000	74959	-666913	166	1481
591000	73398	-654883	169	1508
601000	71175	-647349	168	1526
611000	70376	-638120	171	1548
621000	65707	-624902	166	1583
631000	64290	-618971	166	1598
641000	64565	-608256	173	1626
651000	66048	-597297	183	1654
661000	63228	-589908	180	1676
671000	61651	-584438	179	1692
681000	58405	-573630	176	1725
691000	56578	-564517	176	1754
701000	54621	-557201	174	1778
711000	54023	-549707	177	1802
721000	53689	-542020	181	1827
731000	52337	-536348	180	1847
741000	48297	-528287	172	1877
751000	47776	-521540	174	1901
761000	47155	-515333	176	1924
771000	44539	-508220	171	1953
781000	45126	-500705	179	1981
791000	45641	-495730	184	2000
801000	44638	-490610	184	2022
811000	41752	-484738	176	2048
821000	41831	-476433	183	2083
831000	39774	-471406	178	2106
841000	39525	-466481	180	2128
851000	40604	-461015	190	2152
861000	40045	-457018	190	2171
871000	37232	-451286	182	2201
881000	36239	-446876	180	2223
891000	36783	-440385	188	2255
901000	34718	-437257	180	2273
911000	34275	-431396	183	2304
921000	35744	-426071	196	2331
931000	35603	-423248	197	2346
941000	33741	-418184	192	2376
951000	32519	-414881	188	2396
961000	32952	-409264	195	2428
971000	31580	-406069	190	2448
981000	32044	-401839	197	2473
991000	32447	-396286	205	2507
1001000	31408	-393981	201	2522
1011000	29043	-389691	190	2552
1021000	28594	-386230	191	2575
1031000	29232	-382337	199	2600
1041000	28413	-380082	196	2616
1051000	28326	-376011	199	2644
1061000	28409	-371621	205	2675
1071000	27714	-369731	202	2690
1081000	27490	-365921	204	2717
1091000	26596	-361849	202	2749
1101000	25919	-358654	200	2774
1111000	25169	-355584	198	2798
1121000	24775	-352338	199	2824
1131000	25499	-348541	209	2854
1141000	25419	-346277	211	2872
1151000	24654	-344222	207	2890
1161000	23818	-340188	205	2925
1171000	22981	-338063	200	2944
1181000	22826	-335248	202	2969
1191000	22875	-332107	206	2997
1201000	22360	-329219	205	3024
1211000	22325	-326759	208	3046
1221000	22259	-324931	210	3063
