f/Hz	Re{Y}/µS	Im{Y}/µS	Re{Z}/mOhm	Im{Z}/mOhm
1000	565179	-149206	1654	437
11000	66140	-185484	1706	4783
21000	19846	-105933	1709	9120
31000	9287	-73104	1710	13462
41000	5383	-55602	1725	17818
51000	3524	-44830	1743	22169
61000	2423	-37568	1709	26508
71000	1798	-32293	1719	30870
81000	1391	-28348	1727	35192
91000	1113	-25237	1744	39548
101000	914	-22746	1763	43894
111000	756	-20704	1762	48235
121000	633	-18991	1752	52599
131000	554	-17548	1796	56930
141000	480	-16293	1805	61322
151000	418	-15218	1805	65664
161000	367	-14283	1798	69969
171000	335	-13438	1855	74371
181000	289	-12702	1791	78688
191000	262	-12031	1807	83077
201000	239	-11434	1825	87421
211000	225	-10891	1899	91783
221000	203	-10407	1872	96052
231000	188	-9946	1904	100511
241000	176	-9537	1931	104815
251000	161	-9163	1921	109106
261000	154	-8806	1990	113527
271000	142	-8474	1976	117976
281000	123	-8172	1835	122335
291000	120	-7894	1922	126643
301000	112	-7632	1919	131008
311000	108	-7388	1981	135319
321000	106	-7150	2066	139821
331000	89	-6930	1848	144267
341000	93	-6733	2052	148495
351000	85	-6533	1984	153047
361000	88	-6359	2169	157224
371000	82	-6183	2149	161714
381000	75	-6020	2063	166082
391000	68	-5864	1968	170523
401000	76	-5721	2308	174758
411000	63	-5582	2006	179120
421000	65	-5455	2174	183309
431000	66	-5313	2345	188203
441000	60	-5198	2207	192343
451000	63	-5083	2448	196713
461000	48	-4965	1946	201392
471000	50	-4866	2098	205506
481000	52	-4768	2289	209700
491000	41	-4660	1892	214559
501000	50	-4561	2395	219245
511000	47	-4477	2355	223320
521000	46	-4388	2412	227850
531000	40	-4306	2156	232192
541000	48	-4222	2668	236845
551000	40	-4149	2314	240983
561000	37	-4081	2244	245026
571000	34	-4008	2101	249458
581000	32	-3930	2091	254417
591000	35	-3863	2359	258837
601000	39	-3807	2682	262622
611000	34	-3737	2423	267594
621000	30	-3675	2257	272063
631000	34	-3622	2597	276033
641000	33	-3550	2624	281630
651000	30	-3499	2487	285814
661000	26	-3457	2148	289243
671000	32	-3398	2809	294235
681000	27	-3355	2426	298078
691000	26	-3300	2408	303019
701000	34	-3251	3232	307573
711000	27	-3203	2622	312152
721000	25	-3164	2527	316072
731000	28	-3109	2845	321599
741000	23	-3072	2465	325544
751000	24	-3030	2568	330043
761000	29	-2981	3273	335375
771000	30	-2948	3505	339209
781000	24	-2910	2845	343659
791000	21	-2873	2522	348105
801000	22	-2832	2736	353091
811000	17	-2795	2210	357754
821000	23	-2774	3035	360497
831000	19	-2728	2506	366535
841000	24	-2693	3309	371274
