f/Hz	Re{Y}/µS	Im{Y}/µS	Re{Z}/mOhm	Im{Z}/mOhm
1000	4219298	-295333	236	17
11000	2828686	-1688769	261	156
21000	1655063	-1930285	256	299
31000	992759	-1646640	269	445
41000	652941	-1428388	265	579
51000	463408	-1191962	283	729
61000	316250	-1054466	261	870
71000	242676	-929161	263	1008
81000	191897	-820019	271	1156
91000	153729	-739800	269	1296
101000	128350	-671025	275	1438
111000	105057	-616017	269	1577
121000	90775	-568893	274	1714
131000	77929	-527439	274	1855
141000	67489	-490847	275	1999
151000	59219	-458049	278	2147
161000	52661	-430875	279	2287
171000	48010	-405230	288	2434
181000	41312	-384612	276	2570
191000	39094	-363751	292	2718
201000	34955	-347300	287	2850
211000	32424	-331332	293	2989
221000	29101	-316904	287	3129
231000	26433	-302475	287	3281
241000	24365	-290417	287	3419
251000	22605	-279398	288	3556
261000	21839	-268710	300	3697
271000	20250	-258916	300	3839
281000	18878	-249495	302	3985
291000	17304	-241225	296	4124
301000	16340	-233014	299	4271
311000	15922	-226093	310	4401
321000	14622	-218879	304	4548
331000	13669	-212490	301	4687
341000	13571	-206107	318	4831
351000	12431	-200329	309	4973
361000	11905	-194842	312	5113
371000	11566	-190024	319	5243
381000	10682	-184873	312	5391
391000	10192	-179932	314	5540
401000	9948	-175762	321	5671
411000	9431	-171345	320	5819
421000	9324	-167296	332	5959
431000	8721	-163324	326	6105
441000	8515	-159941	332	6235
451000	8088	-156221	331	6384
461000	7900	-152945	337	6521
471000	7538	-149519	336	6671
481000	7359	-146699	341	6800
491000	6905	-143562	334	6950
501000	6804	-140932	342	7079
511000	6497	-138044	340	7228
521000	6246	-135434	340	7368
531000	6112	-132949	345	7506
541000	5836	-130516	342	7647
551000	5813	-128169	353	7786
561000	5545	-125807	350	7933
571000	5428	-123773	354	8064
581000	5294	-121549	358	8212
591000	5094	-119528	356	8351
601000	4860	-117462	352	8499
611000	4849	-115691	362	8629
621000	4670	-113699	361	8780
631000	4554	-112058	362	8909
641000	4464	-110332	366	9049
651000	4381	-108685	370	9186
661000	4296	-106952	375	9335
671000	4100	-105458	368	9468
681000	4025	-103782	373	9621
691000	3895	-102347	371	9757
701000	3896	-100899	382	9896
711000	3786	-99583	381	10027
721000	3665	-98131	380	10176
731000	3526	-96780	376	10319
741000	3467	-95500	380	10457
751000	3397	-94293	382	10592
761000	3351	-92935	387	10746
771000	3268	-91819	387	10877
781000	3183	-90594	387	11025
791000	3124	-89522	389	11157
801000	3059	-88378	391	11302
811000	3011	-87346	394	11435
821000	2953	-86245	397	11581
831000	2892	-85214	398	11722
841000	2866	-84188	404	11864
851000	2768	-83289	399	11993
861000	2731	-82338	402	12132
871000	2682	-81317	405	12284
881000	2627	-80460	405	12415
891000	2561	-79497	405	12566
901000	2548	-78690	411	12695
911000	2491	-77822	411	12837
921000	2450	-76988	413	12976
931000	2380	-76183	410	13113
941000	2394	-75350	421	13258
951000	2380	-74594	427	13392
961000	2347	-73856	430	13526
971000	2263	-73063	423	13674
981000	2247	-72317	429	13815
991000	2198	-71596	428	13954
1001000	2184	-70871	434	14097
1011000	2171	-70207	440	14230
1021000	2133	-69509	441	14373
1031000	2085	-68856	439	14510
1041000	2030	-68181	436	14654
1051000	2011	-67505	441	14801
1061000	2011	-66894	449	14935
1071000	1931	-66274	439	15076
1081000	1914	-65657	444	15218
1091000	1916	-65111	452	15345
1101000	1884	-64529	452	15484
1111000	1833	-63960	448	15622
1121000	1811	-63337	451	15776
1131000	1810	-62814	458	15907
1141000	1754	-62259	452	16049
1151000	1753	-61688	460	16198
1161000	1732	-61150	463	16340
1171000	1664	-60658	452	16473
1181000	1667	-60179	460	16604
1191000	1656	-59654	465	16750
1201000	1615	-59116	462	16903
1211000	1612	-58703	468	17022
1221000	1606	-58189	474	17172
1231000	1551	-57733	465	17309
1241000	1521	-57266	463	17450
1251000	1567	-56793	485	17595
1261000	1516	-56356	477	17731
1271000	1516	-55903	485	17875
1281000	1473	-55495	478	18007
1291000	1447	-55083	476	18142
1301000	1442	-54622	483	18295
1311000	1422	-54204	484	18436
1321000	1431	-53814	494	18569
1331000	1380	-53428	483	18704
1341000	1404	-53026	499	18845
1351000	1349	-52629	487	18988
1361000	1352	-52260	495	19122
1371000	1352	-51867	502	19267
1381000	1314	-51529	495	19394
1391000	1291	-51122	494	19549
1401000	1285	-50744	499	19694
1411000	1248	-50399	491	19829
1421000	1231	-50052	491	19967
1431000	1242	-49731	502	20096
1441000	1240	-49371	508	20242
1451000	1228	-49047	510	20376
1461000	1194	-48695	503	20524
1471000	1189	-48352	508	20669
1481000	1192	-48046	516	20800
1491000	1167	-47725	512	20941
1501000	1143	-47415	508	21078
1511000	1134	-47116	511	21212
1521000	1160	-46792	529	21358
1531000	1141	-46485	528	21499
1541000	1133	-46199	530	21632
1551000	1093	-45894	519	21777
1561000	1107	-45583	532	21925
1571000	1081	-45307	526	22059
1581000	1078	-45015	532	22202
1591000	1059	-44738	529	22340
1601000	1031	-44447	522	22487
1611000	1048	-44176	537	22624
1621000	1002	-43922	519	22756
1631000	1033	-43644	542	22900
1641000	1000	-43384	531	23038
1651000	1011	-43122	543	23177
1661000	991	-42864	539	23317
1671000	998	-42607	549	23458
1681000	997	-42344	556	23603
1691000	975	-42102	550	23739
1701000	964	-41844	550	23886
1711000	943	-41621	544	24014
1721000	942	-41384	550	24151
1731000	942	-41148	556	24290
1741000	914	-40892	547	24442
1751000	919	-40626	557	24602
1761000	911	-40446	556	24712
1771000	906	-40212	560	24856
1781000	909	-39996	568	24990
1791000	881	-39771	557	25132
1801000	907	-39553	579	25269
1811000	873	-39346	564	25403
1821000	844	-39121	551	25550
1831000	846	-38900	559	25695
1841000	836	-38669	559	25849
1851000	837	-38476	565	25978
1861000	857	-38278	585	26112
1871000	830	-38073	572	26253
1881000	807	-37865	563	26398
1891000	829	-37674	584	26530
1901000	809	-37477	576	26670
1911000	808	-37271	581	26818
1921000	813	-37106	590	26937
1931000	792	-36910	581	27080
1941000	787	-36700	584	27235
1951000	783	-36520	587	27370
1961000	780	-36346	590	27501
1971000	783	-36119	600	27673
1981000	758	-35960	586	27796
1991000	766	-35806	598	27916
2001000	777	-35613	613	28066
2011000	750	-35432	597	28210
2021000	742	-35260	596	28348
2031000	741	-35074	602	28499
2041000	739	-34925	606	28620
2051000	731	-34754	605	28761
2061000	715	-34563	598	28921
2071000	718	-34416	606	29043
2081000	706	-34247	602	29187
2091000	699	-34074	602	29336
2101000	701	-33909	609	29478
2111000	691	-33757	606	29611
2121000	687	-33611	608	29740
2131000	678	-33449	606	29884
2141000	681	-33289	614	30028
2151000	669	-33138	609	30164
2161000	679	-32972	624	30316
2171000	685	-32808	636	30467
2181000	658	-32700	615	30569
2191000	660	-32542	623	30717
2201000	666	-32366	635	30884
2211000	654	-32242	628	31003
2221000	641	-32076	622	31163
2231000	645	-31949	632	31287
2241000	645	-31801	637	31433
2251000	627	-31669	625	31565
2261000	643	-31531	647	31702
2271000	616	-31389	625	31846
2281000	619	-31246	634	31991
2291000	620	-31127	640	32114
2301000	613	-30982	638	32264
2311000	618	-30855	649	32397
2321000	603	-30714	639	32546
2331000	600	-30585	641	32684
2341000	603	-30464	650	32812
2351000	600	-30329	652	32959
2361000	584	-30197	640	33103
2371000	585	-30074	646	33239
2381000	577	-29947	643	33380
2391000	580	-29804	653	33540
2401000	587	-29694	665	33664
2411000	562	-29553	643	33826
2421000	570	-29431	658	33965
2431000	573	-29353	665	34055
2441000	560	-29209	656	34224
2451000	549	-29092	648	34361
2461000	559	-28968	666	34507
2471000	551	-28852	661	34646
2481000	557	-28749	674	34770
2491000	529	-28627	646	34920
2501000	540	-28512	664	35060
2511000	548	-28388	679	35213
2521000	526	-28274	658	35356
2531000	534	-28184	671	35468
2541000	543	-28049	690	35639
2551000	541	-27949	693	35766
2561000	525	-27842	677	35904
2571000	532	-27721	692	36061
2581000	511	-27613	670	36202
2591000	515	-27523	680	36321
2601000	513	-27407	683	36474
2611000	503	-27315	674	36597
2621000	518	-27194	700	36759
2631000	507	-27089	691	36903
2641000	513	-27001	703	37023
2651000	509	-26889	703	37176
2661000	497	-26800	692	37300
2671000	493	-26688	692	37457
2681000	491	-26586	695	37601
2691000	488	-26507	694	37714
2701000	489	-26389	702	37881
2711000	473	-26306	683	38001
2721000	489	-26197	712	38159
2731000	481	-26100	706	38301
2741000	476	-26014	703	38429
2751000	479	-25910	714	38582
2761000	468	-25824	701	38711
2771000	475	-25719	718	38869
2781000	463	-25630	704	39004
2791000	453	-25539	694	39144
2801000	473	-25445	730	39287
2811000	452	-25364	702	39414
2821000	445	-25283	696	39540
2831000	466	-25173	735	39712
2841000	444	-25092	706	39841
2851000	451	-25001	721	39985
2861000	451	-24923	725	40111
2871000	437	-24815	710	40285
2881000	444	-24733	725	40418
2891000	444	-24650	730	40555
2901000	435	-24562	721	40701
2911000	435	-24482	726	40834
2921000	437	-24389	734	40989
2931000	445	-24315	752	41114
2941000	430	-24232	732	41254
2951000	427	-24142	732	41408
2961000	429	-24068	740	41536
2971000	420	-23990	730	41672
2981000	426	-23916	745	41799
2991000	427	-23831	751	41950
3001000	429	-23747	760	42096
3011000	417	-23659	745	42254
3021000	416	-23581	747	42393
3031000	422	-23520	762	42503
3041000	408	-23436	742	42657
3051000	401	-23362	734	42792
3061000	401	-23274	740	42954
3071000	417	-23207	775	43076
3081000	408	-23120	762	43239
3091000	399	-23057	750	43358
3101000	400	-22975	758	43513
3111000	392	-22901	748	43653
3121000	385	-22822	740	43804
3131000	382	-22744	739	43955
3141000	400	-22680	778	44078
3151000	399	-22612	779	44210
3161000	396	-22548	779	44337
3171000	378	-22465	749	44502
3181000	398	-22400	794	44629
3191000	384	-22326	770	44778
3201000	383	-22262	772	44906
3211000	384	-22185	779	45061
3221000	379	-22120	774	45194
3231000	380	-22038	783	45364
3241000	369	-21967	765	45510
3251000	379	-21913	788	45621
3261000	363	-21838	761	45780
3271000	377	-21772	796	45916
3281000	369	-21699	784	46071
3291000	369	-21650	787	46177
3301000	365	-21579	783	46328
3311000	360	-21514	777	46467
3321000	363	-21440	790	46628
3331000	370	-21386	808	46746
3341000	353	-21316	776	46901
3351000	363	-21264	802	47014
3361000	356	-21188	792	47184
3371000	364	-21128	816	47316
3381000	353	-21053	795	47485
3391000	346	-21006	784	47593
3401000	348	-20939	795	47743
3411000	341	-20882	782	47875
3421000	343	-20803	793	48056
3431000	349	-20752	810	48175
3441000	350	-20688	818	48324
3451000	344	-20634	808	48451
3461000	337	-20563	797	48617
3471000	333	-20516	790	48730
3481000	346	-20453	826	48878
3491000	352	-20401	845	49003
3501000	340	-20336	823	49159
3511000	333	-20284	808	49287
3521000	339	-20212	830	49461
3531000	332	-20162	816	49585
3541000	328	-20097	813	49747
3551000	331	-20050	822	49861
3561000	343	-19988	859	50016
3571000	333	-19950	836	50111
3581000	330	-19879	835	50289
3591000	326	-19829	829	50417
3601000	326	-19760	835	50593
3611000	332	-19710	854	50721
3621000	330	-19651	853	50873
3631000	321	-19597	836	51013
3641000	315	-19540	826	51164
3651000	319	-19493	840	51288
3661000	319	-19437	845	51435
3671000	319	-19374	848	51600
3681000	314	-19326	840	51731
3691000	321	-19268	865	51885
3701000	322	-19225	872	52000
3711000	317	-19163	862	52171
3721000	317	-19125	865	52274
3731000	313	-19067	862	52432
3741000	307	-19018	850	52567
3751000	307	-18961	853	52725
3761000	305	-18915	852	52856
3771000	311	-18858	874	53015
3781000	312	-18814	880	53137
3791000	312	-18761	887	53286
3801000	291	-18704	831	53450
3811000	298	-18665	857	53563
3821000	303	-18609	874	53723
3831000	299	-18567	867	53846
3841000	306	-18512	892	54004
3851000	302	-18469	885	54130
3861000	304	-18407	896	54313
3871000	302	-18361	894	54448
3881000	310	-18324	923	54558
3891000	291	-18269	871	54723
3901000	293	-18236	881	54824
3911000	290	-18184	878	54980
3921000	291	-18142	884	55108
3931000	291	-18087	889	55275
3941000	287	-18047	881	55396
3951000	292	-17986	903	55584
3961000	295	-17949	916	55698
3971000	296	-17906	922	55831
3981000	289	-17851	906	56005
3991000	292	-17807	920	56141
4001000	283	-17761	898	56288
4011000	277	-17729	882	56391
4021000	281	-17678	899	56552
4031000	277	-17631	891	56705
4041000	284	-17592	919	56828
4051000	280	-17539	911	57000
4061000	268	-17502	873	57123
4071000	270	-17455	885	57276
4081000	271	-17405	893	57440
4091000	277	-17372	919	57550
4101000	280	-17325	931	57705
4111000	281	-17287	940	57832
4121000	280	-17240	941	57990
4131000	273	-17197	923	58134
4141000	273	-17157	926	58270
4151000	273	-17114	933	58416
4161000	275	-17074	942	58552
4171000	266	-17031	918	58702
4181000	261	-16981	904	58875
4191000	262	-16946	914	58996
4201000	258	-16909	902	59127
4211000	261	-16867	917	59275
4221000	258	-16819	912	59441
4231000	262	-16780	930	59579
4241000	268	-16742	955	59715
4251000	263	-16697	944	59876
4261000	265	-16656	955	60023
4271000	260	-16616	940	60168
4281000	262	-16573	952	60322
4291000	262	-16545	955	60426
4301000	253	-16504	928	60579
4311000	252	-16466	930	60716
4321000	250	-16430	927	60852
4331000	247	-16387	920	61008
4341000	260	-16355	972	61127
4351000	255	-16303	959	61323
4361000	255	-16277	962	61423
4371000	258	-16241	978	61557
4381000	252	-16193	963	61740
4391000	259	-16154	991	61890
4401000	249	-16111	960	62055
4411000	248	-16084	958	62158
4421000	252	-16048	978	62298
4431000	245	-16007	957	62460
4441000	246	-15966	963	62618
4451000	244	-15939	961	62723
