f/Hz	Re{Y}/µS	Im{Y}/µS	Re{Z}/mOhm	Im{Z}/mOhm
1000	859635	-174872	1117	227
11000	167460	-344372	1142	2348
21000	53338	-209550	1141	4482
31000	25198	-146430	1141	6633
41000	14681	-112126	1148	8768
51000	9730	-90675	1170	10903
61000	6763	-76137	1158	13031
71000	5012	-65571	1159	15162
81000	3908	-57506	1176	17310
91000	3095	-51238	1174	19446
101000	2522	-46214	1177	21574
111000	2093	-42063	1180	23715
121000	1787	-38611	1196	25844
131000	1530	-35657	1201	27993
141000	1317	-33142	1197	30126
151000	1149	-30939	1198	32277
161000	1025	-29033	1214	34401
171000	905	-27335	1210	36543
181000	819	-25822	1227	38688
191000	735	-24474	1225	40822
201000	664	-23270	1226	42939
211000	620	-22149	1263	45113
221000	554	-21158	1237	47231
231000	515	-20245	1256	49363
241000	468	-19400	1242	51515
251000	450	-18637	1295	53625
261000	412	-17916	1283	55787
271000	389	-17255	1306	57926
281000	362	-16636	1307	60082
291000	344	-16081	1329	62159
301000	319	-15530	1322	64362
311000	303	-15028	1341	66517
321000	290	-14566	1367	68626
331000	265	-14121	1328	70793
341000	266	-13706	1413	72933
351000	243	-13320	1367	75047
361000	239	-12952	1424	77184
371000	229	-12602	1444	79329
381000	213	-12267	1417	81498
391000	211	-11962	1474	83571
401000	194	-11656	1425	85769
411000	186	-11374	1437	87899
421000	187	-11099	1514	90075
431000	173	-10844	1469	92193
441000	161	-10602	1430	94301
451000	164	-10361	1531	96491
461000	164	-10142	1597	98569
471000	149	-9918	1516	100803
481000	140	-9713	1486	102936
491000	146	-9527	1611	104945
501000	137	-9327	1573	107188
511000	137	-9136	1637	109431
521000	127	-8967	1579	111497
531000	122	-8799	1579	113627
541000	127	-8630	1706	115846
551000	114	-8479	1591	117917
561000	121	-8321	1749	120145
571000	115	-8184	1719	122165
581000	103	-8036	1601	124426
591000	109	-7893	1749	126669
601000	106	-7768	1764	128712
611000	107	-7635	1832	130957
621000	93	-7519	1638	132984
631000	95	-7405	1740	135017
641000	95	-7272	1799	137482
651000	95	-7171	1849	139422
661000	91	-7055	1838	141719
671000	87	-6957	1796	143719
681000	82	-6851	1754	145952
691000	81	-6752	1781	148075
701000	82	-6648	1844	150408
711000	86	-6550	2010	152649
721000	80	-6462	1919	154724
731000	74	-6379	1821	156740
741000	75	-6288	1899	159022
751000	70	-6208	1827	161050
761000	72	-6116	1932	163496
771000	71	-6041	1952	165509
781000	72	-5967	2015	167570
791000	69	-5883	1995	169972
801000	66	-5811	1969	172062
811000	69	-5746	2085	173999
821000	67	-5667	2072	176423
831000	58	-5602	1849	178474
841000	63	-5537	2049	180589
851000	63	-5460	2120	183114
861000	54	-5402	1866	185112
871000	62	-5348	2150	186945
881000	62	-5274	2236	189579
891000	52	-5216	1895	191689
901000	58	-5165	2170	193579
911000	50	-5099	1937	196083
921000	51	-5041	2004	198349
931000	55	-4995	2200	200196
941000	52	-4936	2137	202565
951000	61	-4884	2543	204734
961000	52	-4838	2216	206671
971000	52	-4784	2271	208989
981000	50	-4730	2254	211395
991000	46	-4680	2094	213652
1001000	43	-4640	1983	215478
1011000	47	-4590	2246	217865
1021000	58	-4542	2806	220141
1031000	47	-4495	2307	222425
