f/Hz	Re{Y}/µS	Im{Y}/µS	Re{Z}/mOhm	Im{Z}/mOhm
1000	2147390	-249358	459	53
11000	791156	-950597	517	621
21000	307398	-697921	529	1200
31000	157246	-521293	530	1758
41000	93052	-408350	530	2328
51000	62532	-333532	543	2896
61000	43701	-283099	533	3450
71000	32684	-243613	541	4032
81000	25189	-214825	538	4592
91000	20075	-191836	540	5156
101000	16596	-173196	548	5721
111000	13628	-157760	544	6292
121000	11538	-144747	547	6865
131000	9942	-133907	551	7427
141000	8687	-124471	558	7995
151000	7546	-116321	555	8561
161000	6734	-109142	563	9128
171000	6020	-102858	567	9689
181000	5416	-97183	572	10258
191000	4849	-92118	570	10826
201000	4485	-87489	584	11400
211000	4044	-83378	580	11965
221000	3752	-79627	591	12531
231000	3488	-76308	598	13077
241000	3171	-73097	592	13655
251000	2947	-70237	596	14212
261000	2785	-67547	609	14779
271000	2548	-65026	602	15355
281000	2369	-62763	601	15910
291000	2249	-60606	611	16477
301000	2140	-58584	623	17047
311000	2034	-56690	632	17617
321000	1902	-54918	630	18187
331000	1793	-53287	631	18745
341000	1680	-51740	627	19307
351000	1639	-50258	648	19876
361000	1550	-48881	648	20437
371000	1479	-47571	653	21001
381000	1424	-46297	664	21579
391000	1352	-45124	663	22141
401000	1278	-43998	660	22709
411000	1234	-42925	669	23277
421000	1197	-41940	680	23824
431000	1155	-40960	688	24394
441000	1114	-40035	695	24959
451000	1038	-39125	678	25541
461000	1011	-38298	689	26093
471000	981	-37493	697	26653
481000	964	-36693	715	27235
491000	939	-35957	726	27792
501000	870	-35242	700	28358
511000	877	-34598	732	28885
521000	829	-33910	721	29472
531000	804	-33259	726	30049
541000	773	-32679	723	30583
551000	767	-32065	746	31169
561000	737	-31500	743	31729
571000	715	-30949	746	32294
581000	702	-30425	758	32851
591000	686	-29901	766	33426
601000	655	-29410	757	33985
611000	642	-28927	767	34552
621000	623	-28470	768	35107
631000	614	-28024	782	35667
641000	621	-27573	816	36250
651000	585	-27153	793	36812
661000	564	-26760	787	37352
671000	550	-26341	793	37947
681000	553	-25967	820	38493
691000	529	-25584	807	39071
701000	527	-25229	828	39620
711000	515	-24881	832	40174
721000	498	-24529	827	40751
731000	495	-24191	846	41321
741000	470	-23872	824	41875
751000	462	-23547	833	42451
761000	467	-23240	864	43011
771000	461	-22937	876	43580
781000	453	-22652	882	44128
791000	440	-22368	878	44689
801000	429	-22087	879	45258
811000	423	-21812	890	45829
821000	414	-21561	890	46364
831000	409	-21290	903	46952
841000	395	-21021	894	47556
851000	384	-20784	888	48096
861000	377	-20542	894	48665
871000	384	-20300	931	49243
881000	378	-20081	937	49781
891000	367	-19854	931	50351
901000	365	-19646	944	50883
911000	351	-19415	930	51491
921000	348	-19220	941	52012
931000	352	-18994	976	52630
941000	343	-18807	970	53154
951000	334	-18601	966	53742
961000	329	-18408	969	54305
971000	330	-18222	993	54860
981000	315	-18035	969	55430
991000	323	-17854	1014	55993
1001000	307	-17680	980	56544
1011000	303	-17495	989	57141
1021000	298	-17333	991	57677
1031000	297	-17161	1006	58253
1041000	298	-16982	1033	58868
1051000	291	-16833	1026	59391
1061000	279	-16678	1002	59943
1071000	286	-16519	1048	60516
1081000	278	-16372	1037	61062
1091000	274	-16212	1043	61666
1101000	268	-16079	1036	62175
1111000	273	-15912	1076	62828
1121000	258	-15775	1035	63373
1131000	265	-15651	1083	63875
