f/Hz	Re{Y}/µS	Im{Y}/µS	Re{Z}/mOhm	Im{Z}/mOhm
1000	2424392	-275598	407	46
11000	1218783	-1116289	446	409
21000	559437	-978642	440	770
31000	292315	-758437	442	1148
41000	180812	-607418	450	1512
51000	124979	-503309	465	1871
61000	85043	-428603	445	2245
71000	64515	-373688	449	2599
81000	49821	-327990	453	2980
91000	40777	-293546	464	3342
101000	33370	-266137	464	3699
111000	27640	-242622	464	4069
121000	23245	-222854	463	4439
131000	20194	-206220	470	4803
141000	17463	-192014	470	5165
151000	15121	-179613	465	5528
161000	13457	-168511	471	5897
171000	11992	-158834	473	6260
181000	10647	-149924	471	6637
191000	9581	-142290	471	6996
201000	8907	-135198	485	7365
211000	8040	-128866	482	7730
221000	7495	-123009	493	8099
231000	6807	-117750	489	8464
241000	6414	-112989	501	8822
251000	5942	-108535	503	9186
261000	5399	-104424	494	9551
271000	5080	-100588	501	9916
281000	4742	-97004	503	10284
291000	4457	-93642	507	10655
301000	4180	-90531	509	11022
311000	3988	-87732	517	11375
321000	3745	-84944	518	11750
331000	3566	-82356	525	12120
341000	3412	-79984	532	12480
351000	3194	-77770	527	12837
361000	3035	-75618	530	13203
371000	2929	-73574	540	13570
381000	2788	-71657	542	13934
391000	2624	-69804	538	14306
401000	2531	-68122	545	14659
411000	2440	-66439	552	15031
421000	2332	-64859	554	15398
431000	2253	-63354	561	15764
441000	2139	-61987	556	16113
451000	2069	-60603	563	16482
461000	2014	-59300	572	16844
471000	1921	-58026	570	17215
481000	1836	-56800	568	17587
491000	1797	-55672	579	17944
501000	1733	-54583	581	18302
511000	1669	-53519	582	18667
521000	1633	-52485	592	19035
531000	1582	-51504	596	19398
541000	1531	-50566	598	19758
551000	1474	-49659	597	20120
561000	1409	-48753	592	20494
571000	1400	-47909	610	20855
581000	1350	-47090	608	21218
591000	1306	-46272	609	21594
601000	1277	-45525	616	21949
611000	1233	-44804	614	22302
621000	1193	-44046	614	22687
631000	1195	-43366	635	23042
641000	1142	-42705	626	23399
651000	1100	-42033	622	23774
661000	1087	-41406	634	24135
671000	1070	-40795	643	24496
681000	1043	-40194	645	24863
691000	1032	-39612	657	25228
701000	997	-39070	653	25578
711000	954	-38521	643	25944
721000	928	-37999	643	26301
731000	938	-37476	668	26667
741000	913	-36980	668	27025
751000	892	-36472	670	27402
761000	875	-36011	675	27753
771000	853	-35524	676	28134
781000	837	-35075	680	28494
791000	812	-34616	677	28872
