"IWaveTheta [deg]","MonostaticRCSTotal [] - Freq='9.675GHz' IWavePhi='0deg'","MonostaticRCSTotal [] - Freq='9.675GHz' IWavePhi='90deg'"
0,12.7219938071678,0.100708640086522
6,0.0592046680660164,0.00644212637895921
12,0.00137779826626297,0.00334374401090131
18,0.00271177799526949,0.00190915523662167
24,0.00117639272422248,0.000743091233309989
30,0.000423873372094103,0.000866727826126685
36,0.000471636189666559,0.000749981947220039
42,0.000917637278043187,0.000882913953937211
48,0.000918680664753633,0.000774713178119042
54,0.000517760595401679,0.000874148447982334
60,0.000401936997750147,0.000815723726421774
66,0.00105527489440073,0.00198418093894182
72,0.00318549220028257,0.00224888962850395
78,0.00117681839965048,0.00694450291839086
84,0.0535928883479239,0.0816621352741144
90,12.9334387781346,0.0823217960307358
96,0.0536140801648665,0.0069689162013506
102,0.00118387137162222,0.00266800962696623
108,0.00278754231266177,0.00191857094053506
114,0.00103844876721408,0.000729774148535104
120,0.000435665216570421,0.000785286106870616
126,0.00057618543643782,0.000760292463038121
132,0.000836521010274848,0.000795906771801166
138,0.000866262250585515,0.000802216522070263
144,0.000515531132685841,0.000807300981560819
150,0.000465672200112101,0.000611197747099754
156,0.00148864382643593,0.0014797272811776
162,0.00411360705529168,0.00251668300686816
168,0.00142550413843613,0.00608791894123451
174,0.0620760685327666,0.101358135571455
180,12.7220053416357,12.8126774421408
186,0.0945177768801352,0.0586215432693176
192,0.00818410887035786,0.000444851903837422
198,0.00210588985070884,0.00367354538562496
204,0.00210478915035531,0.00100578784919769
210,0.000817573930530816,0.000533745847698047
216,0.000916117294493845,0.000425431038028944
222,0.000666618476143933,0.000826300939031133
228,0.00078828857542404,0.00080614893924332
234,0.000622130698609448,0.000462998524745197
240,0.000987248333631493,0.000345824573860558
246,0.00085546070078659,0.00101839533016711
252,0.00193953882651506,0.00292150490405469
258,0.00256466248440462,0.00102970077305298
264,0.00736334055917895,0.0527549863490612
270,0.0821073015324161,12.9241932109567
276,0.0820359596345398,0.0523393234132643
282,0.00720770574859549,0.0010672263444703
288,0.00255014714365775,0.00287987334276257
294,0.00192087045207937,0.00108822374016188
300,0.000803074733915814,0.000354506947818428
306,0.000880211307333685,0.000498447393836283
312,0.000774432594990051,0.000912002752881459
318,0.00087744645282581,0.000935018755898066
324,0.000781454683222205,0.000452922862597604
330,0.000906430503298673,0.0004628384419297
336,0.000780142220616705,0.00104930563909459
342,0.00173606547411918,0.00402395013030313
348,0.00161245894339674,0.000487040580422707
354,0.00806742961844263,0.0597406084743729
360,12.7219938071678,0.100708640086522
