"IWaveTheta [deg]","MonostaticRCSTotal [] - Freq='9.675GHz' IWavePhi='0deg'","MonostaticRCSTotal [] - Freq='9.675GHz' IWavePhi='90deg'"
0,12.7524177951092,0.100091481416634
6,0.0566014562059388,0.0078282873557825
12,0.00114691797498495,0.00244141068953264
18,0.00349474825355735,0.00176215400538539
24,0.00136291720732753,0.000660659707120687
30,0.000455353119304222,0.00100836145720087
36,0.000522690472586131,0.000730142187481111
42,0.000848746663890034,0.000801444396792011
48,0.000848746595935125,0.00075090205431232
54,0.000558984251656856,0.000944150729325967
60,0.000386470527241215,0.000892754328027324
66,0.00105280364511497,0.00185162397515386
72,0.0030363659137322,0.00256874905827901
78,0.00116217111376862,0.00701698419770349
84,0.053689967235754,0.0810179231019278
90,12.9490697585,0.0807354334799859
96,0.0532400962160976,0.00710313492967683
102,0.00120277325549921,0.00271882629242385
108,0.00294512391884994,0.00205558575072402
114,0.0010850218149977,0.000816702953835644
120,0.000381998117577787,0.00111977351028985
126,0.000518757441623629,0.000659176960967108
132,0.000910937090872204,0.000913499661947556
138,0.000931697065651316,0.000664622798694066
144,0.000423469176299301,0.00109766952114263
150,0.000457764582646666,0.000607834308190264
156,0.00155161687191744,0.00139051262779744
162,0.00451651102962701,0.00193500231017821
168,0.00130738703980457,0.00710986099471721
174,0.0590290912409072,0.101697252698382
180,12.7524168483217,12.7984589744573
186,0.0948738743209477,0.0572871718790413
192,0.0086659378247575,0.000289102922272336
198,0.00185287520428401,0.00387466586510978
204,0.00181002282334514,0.00106010639798254
210,0.000717705583350367,0.000559406592156773
216,0.00097192663276208,0.000444666232069663
222,0.000641727673350392,0.000834499353915868
228,0.000811574371843749,0.0008372287173951
234,0.000642220213291558,0.000452627342045409
240,0.000941117798960093,0.000384100944532023
246,0.000823382510609514,0.000986650352936031
252,0.0020095872452562,0.00290289076353159
258,0.00245734923808841,0.00110070611838776
264,0.00711001694485914,0.053413038377315
270,0.0826387123431203,12.9609020552931
276,0.0827459762442545,0.0537938580826399
282,0.007340051585196,0.00120615358850297
288,0.00249504057094405,0.00309353438634233
294,0.00197435477007804,0.00112055485381431
300,0.000793023853695337,0.000325167438276921
306,0.000927601274490334,0.000524417762026965
312,0.000691007953348454,0.000775310492440518
318,0.000734816759826432,0.000799324557551935
324,0.000695552585122356,0.000456844752058061
330,0.000911535136566096,0.000488348526625304
336,0.00072594238478492,0.0009571860384025
342,0.00178166947621083,0.00362131203132026
348,0.00175861980769902,0.000382391592073401
354,0.00830939697189682,0.0577766594992897
360,12.7524177951092,0.100091481416634
