"IWaveTheta [deg]","MonostaticRCSTotal [] - Freq='3.46GHz' IWavePhi='0deg'","MonostaticRCSTotal [] - Freq='3.46GHz' IWavePhi='90deg'"
0,0.367473926430322,0.344098544978976
3,0.281476161417008,0.199373927359314
6,0.12023819580845,0.0600411968962113
9,0.023971398994418,0.00802945999841303
12,0.00407208247426333,0.0046732457629591
15,0.00554112178430376,0.00538762147825448
18,0.00453382629924521,0.0035930679712982
21,0.00285355258301972,0.00227653966584777
24,0.00172883472325276,0.0011590439051369
27,0.000624527490709554,0.000228120848174179
30,4.69131808052153E-05,9.52956254977234E-05
33,0.000330864741894465,0.000681990793810716
36,0.00107454274733907,0.00145001392893265
39,0.00177147956576969,0.00202128418516716
42,0.00219496716829341,0.00229467215507631
45,0.00232397508343222,0.00228472175847568
48,0.00217598202016928,0.00199513667430894
51,0.00174106121284791,0.0014192057687496
54,0.00104792325783737,0.000664150577682878
57,0.000325168540264313,0.000102069062682521
60,6.16411367299662E-05,0.000240015607017164
63,0.000617362795171816,0.00111426089418045
66,0.00163168659559988,0.00212314828440378
69,0.00265480620030092,0.00337272279992638
72,0.00431943638528447,0.00519854971643532
75,0.00537925565592182,0.00452150343352185
78,0.00390016364070177,0.0078029403955386
81,0.0236628071682068,0.0596497219409005
84,0.119812660876555,0.199030916616245
87,0.281381065035847,0.344391687038469
90,0.368172849383701,0.344723072433636
93,0.281881455551512,0.199489076511466
96,0.120096418485223,0.0597668065024443
99,0.0237134008894784,0.00788482894155498
102,0.00404141527705547,0.00468093605403961
105,0.00549607460722191,0.00524096188373158
108,0.0043014829363461,0.00333548902973304
111,0.00263740567526231,0.0021432547121423
114,0.00168333791996077,0.00117695289815111
117,0.000670219737004991,0.00027081860193031
120,6.75973243096438E-05,8.82684513450752E-05
123,0.000300200725635833,0.000636129397001645
126,0.00102280754975175,0.0013991689968757
129,0.00172663900910961,0.00198413092643675
132,0.00216535131452516,0.00227092103960037
135,0.0023035309408456,0.00226488826305684
138,0.00215384704949932,0.00196816339191903
141,0.00170776474256735,0.00137973672157249
144,0.00100447315900094,0.000621722222354358
147,0.000291878994745666,8.80020917435337E-05
150,7.7111330267064E-05,0.000291297225871023
153,0.000701632134667096,0.00121534945225591
156,0.00171693604194698,0.00214754523366254
159,0.00257550724796382,0.00316813912374271
162,0.00400997372307734,0.00485563555752679
165,0.00511079925891707,0.0044321795290492
168,0.00404261780839682,0.00814484707124049
171,0.0240909649781588,0.0600110042301899
174,0.119970682656578,0.198909089357041
177,0.280976397430668,0.343776989578178
180,0.367473781458663,0.36549798282187
183,0.342095902242632,0.279722977487936
186,0.198080125404878,0.119468353979745
189,0.0597196891463385,0.023941138702635
192,0.0081243440828526,0.00415924155715429
195,0.00467400017171407,0.00543186262109537
198,0.00519044827916511,0.00429861216335161
201,0.00337597441101125,0.00269656442671533
204,0.00219618054125804,0.00171605002824085
207,0.00118772408302879,0.000665604382943315
210,0.000259262169121837,5.59251729469E-05
213,8.01531058675158E-05,0.000296888929781492
216,0.00063674848623854,0.00102600602548667
219,0.0014043330926893,0.00173254920065096
222,0.00199089176012599,0.00217324335637087
225,0.00228053631313189,0.00231549770741642
228,0.00227949705577004,0.00217133860960393
231,0.00198848983673528,0.00173026892296787
234,0.00140306307400578,0.00102662898667186
237,0.000639851369253448,0.000302215653343816
240,8.5728718179606E-05,5.76030410927249E-05
243,0.000250876321985269,0.000640590375163576
246,0.00114225410696771,0.00165334396500943
249,0.00212984004504995,0.00264917711923316
252,0.00337096885582007,0.00434528122127619
255,0.00526740315431933,0.00548119548650748
258,0.00461912383721997,0.0039510573278362
261,0.00780410158609976,0.0236858950108365
264,0.0598298688990648,0.120279677331278
267,0.199819711979825,0.282380172817621
270,0.34538482400673,0.368948643750791
273,0.345179334722471,0.282067412264742
276,0.199533838735817,0.12011470016933
279,0.0597961447646652,0.0237239292161834
282,0.00783669584745025,0.0039347460012263
285,0.00456002759781309,0.00541729456819286
288,0.00523622026295663,0.00436169253597951
291,0.00342338369905755,0.00271296477809828
294,0.00218214477368831,0.00168325332409839
297,0.00115195019554778,0.000637871596664555
300,0.000246137457679232,5.74029370547169E-05
303,9.2039899211059E-05,0.000313209801044685
306,0.000652650026622541,0.00103758733574016
309,0.00141012129953789,0.00173144716210065
312,0.00198360050424957,0.00216066428617884
315,0.00226375437789397,0.00229553537174113
318,0.00225719806328601,0.00214746700128981
321,0.00196378108673568,0.00170544823727968
324,0.0013791487838139,0.00100559129339358
327,0.000623967551579886,0.000294129336623282
330,8.87926818709736E-05,7.41993983069136E-05
333,0.000281895785474835,0.000684594289036794
336,0.00119518836727227,0.00170697947149695
339,0.00217698858898295,0.00268392491372966
342,0.00339308217105187,0.00436246021998939
345,0.00529444454381742,0.00553685482625789
348,0.00471500770157756,0.00407296267328624
351,0.00788495471099855,0.0235822283864034
354,0.0593248590887992,0.119131330566784
357,0.197858737582484,0.279616422103736
360,0.367473926430321,0.344098544978973
