CharacteristicMode
"Mode index"[]	"CharacteristicModes1 []"	
1.00000000E+00	9.99999958E-01	
2.00000000E+00	9.99998159E-01	
3.00000000E+00	9.99998141E-01	
4.00000000E+00	9.99986023E-01	
5.00000000E+00	9.99973347E-01	
6.00000000E+00	9.99973097E-01	
