x[m],y[m],|B|
-0.0195959595959596,0.005,7.55400190038212e-07
-0.0195959595959596,0.005,7.405342507197e-07
-0.0195959595959596,0.005,7.25928231404316e-07
-0.0195959595959596,0.005,7.11580386113079e-07
-0.0195959595959596,0.005,6.97489359914154e-07
-0.0195959595959596,0.005,6.83654053263076e-07
-0.0191919191919192,0.005,4.44885754869121e-07
-0.0191919191919192,0.005,4.65549730979497e-07
-0.0191919191919192,0.005,4.88826149044622e-07
-0.0191919191919192,0.005,5.14884238082366e-07
-0.0191919191919192,0.005,5.43875616713723e-07
-0.0191919191919192,0.005,5.75932244285236e-07
-0.0191919191919192,0.005,6.11164900980721e-07
-0.0191919191919192,0.005,6.49662005703917e-07
-0.0191919191919192,0.005,6.91488561732591e-07
-0.0191919191919192,0.005,7.36685038810821e-07
-0.0191919191919192,0.005,7.85266044355114e-07
-0.0191919191919192,0.005,8.37218692719237e-07
-0.0191919191919192,0.005,8.92500639443924e-07
-0.0191919191919192,0.005,9.51037800478344e-07
-0.0191919191919192,0.005,1.01272182151389e-06
-0.0191919191919192,0.005,1.07740739937939e-06
-0.0191919191919192,0.005,1.14490958678558e-06
-0.0191919191919192,0.005,1.21500123477472e-06
-0.0191919191919192,0.005,1.28741074492512e-06
-0.0191919191919192,0.005,1.36182031598174e-06
-0.0191919191919192,0.005,1.43786487677482e-06
-0.0191919191919192,0.005,1.51513189813149e-06
-0.0191919191919192,0.005,1.59316226967696e-06
-0.0191919191919192,0.005,1.671452411506e-06
-0.0191919191919192,0.005,1.7494577643315e-06
-0.0191919191919192,0.005,1.82659776390615e-06
-0.0191919191919192,0.005,1.90226235593213e-06
-0.0191919191919192,0.005,1.97582004686684e-06
-0.0191919191919192,0.005,2.04662741561988e-06
-0.0191919191919192,0.005,2.11403993390716e-06
-0.0191919191919192,0.005,2.17742386293315e-06
-0.0191919191919192,0.005,2.23616891606338e-06
-0.0191919191919192,0.005,2.28970130687067e-06
-0.0191919191919192,0.005,2.33749674527468e-06
-0.0191919191919192,0.005,2.37909290700679e-06
-0.0191919191919192,0.005,2.41410088794814e-06
-0.0191919191919192,0.005,2.44221516811446e-06
-0.0191919191919192,0.005,2.46322165130903e-06
-0.0191919191919192,0.005,2.47700341457046e-06
-0.0191919191919192,0.005,2.48354389302962e-06
-0.0191919191919192,0.005,2.48292733511729e-06
-0.0191919191919192,0.005,2.47533648311305e-06
-0.0191919191919192,0.005,2.46104755679484e-06
-0.0191919191919192,0.005,2.44042273534494e-06
-0.0191919191919192,0.005,2.41390043729201e-06
-0.0191919191919192,0.005,2.38198378408301e-06
-0.0191919191919192,0.005,2.34522769567825e-06
-0.0191919191919192,0.005,2.30422510419176e-06
-0.0191919191919192,0.005,2.25959278390909e-06
-0.0191919191919192,0.005,2.21195728459794e-06
-0.0191919191919192,0.005,2.16194142279236e-06
-0.0191919191919192,0.005,2.11015173640162e-06
-0.0191919191919192,0.005,2.05716724562713e-06
-0.0191919191919192,0.005,2.00352979175892e-06
-0.0191919191919192,0.005,1.94973614864666e-06
-0.0191919191919192,0.005,1.89623202276753e-06
-0.0191919191919192,0.005,1.84340797974339e-06
-0.0191919191919192,0.005,1.79159726054609e-06
-0.0191919191919192,0.005,1.74107538201807e-06
-0.0191919191919192,0.005,1.69206135623773e-06
-0.0191919191919192,0.005,1.64472031410261e-06
-0.0191919191919192,0.005,1.59916728245108e-06
-0.0191919191919192,0.005,1.5554718426962e-06
-0.0191919191919192,0.005,1.51366339302774e-06
-0.0191919191919192,0.005,1.47373674533795e-06
-0.0191919191919192,0.005,1.43565781050955e-06
-0.0191919191919192,0.005,1.39936915882606e-06
-0.0191919191919192,0.005,1.3647952824957e-06
-0.0191919191919192,0.005,1.33184743076579e-06
-0.0191919191919192,0.005,1.30042793115869e-06
-0.0191919191919192,0.005,1.27043394990098e-06
-0.0191919191919192,0.005,1.24176067844808e-06
-0.0191919191919192,0.005,1.21430395992008e-06
-0.0191919191919192,0.005,1.18796238898381e-06
-0.0191919191919192,0.005,1.16263893170109e-06
-0.0191919191919192,0.005,1.13824211906989e-06
-0.0191919191919192,0.005,1.11468687060878e-06
-0.0191919191919192,0.005,1.09189500360601e-06
-0.0191919191919192,0.005,1.06979548068251e-06
-0.0191919191919192,0.005,1.04832444401562e-06
-0.0191919191919192,0.005,1.02742507962294e-06
-0.0191919191919192,0.005,1.00704734998472e-06
-0.0191919191919192,0.005,9.87147628286939e-07
-0.0191919191919192,0.005,9.67688262859207e-07
-0.0191919191919192,0.005,9.48637096038864e-07
-0.0191919191919192,0.005,9.29966957738693e-07
-0.0191919191919192,0.005,9.11655150424772e-07
-0.0191919191919192,0.005,8.9368293900798e-07
-0.0191919191919192,0.005,8.760350562984e-07
-0.0191919191919192,0.005,8.58699232149025e-07
-0.0191919191919192,0.005,8.41665752208372e-07
-0.0191919191919192,0.005,8.24927050295781e-07
-0.0191919191919192,0.005,8.08477336793529e-07
-0.0191919191919192,0.005,7.92312264099353e-07
-0.0191919191919192,0.005,7.76428629082604e-07
-0.0191919191919192,0.005,7.60824111616023e-07
-0.0191919191919192,0.005,7.45497047589555e-07
-0.0191919191919192,0.005,7.30446234328659e-07
-0.0191919191919192,0.005,7.15670766012271e-07
-0.0191919191919192,0.005,7.01169896490615e-07
-0.0187878787878788,0.005,4.63623044216644e-07
-0.0187878787878788,0.005,4.84605361612773e-07
-0.0187878787878788,0.005,5.08310225757852e-07
-0.0187878787878788,0.005,5.34937140697128e-07
-0.0187878787878788,0.005,5.64668871547134e-07
-0.0187878787878788,0.005,5.9766858092094e-07
-0.0187878787878788,0.005,6.34077590930686e-07
-0.0187878787878788,0.005,6.74013607393937e-07
-0.0187878787878788,0.005,7.17569192522162e-07
-0.0187878787878788,0.005,7.64810267218643e-07
-0.0187878787878788,0.005,8.15774455180608e-07
-0.0187878787878788,0.005,8.7046913473538e-07
-0.0187878787878788,0.005,9.28869127593592e-07
-0.0187878787878788,0.005,9.90914016666006e-07
-0.0187878787878788,0.005,1.05650514208111e-06
-0.0187878787878788,0.005,1.12550237332848e-06
-0.0187878787878788,0.005,1.19772079598823e-06
-0.0187878787878788,0.005,1.27292748467078e-06
-0.0187878787878788,0.005,1.35083856047152e-06
-0.0187878787878788,0.005,1.43111675179942e-06
-0.0187878787878788,0.005,1.51336969148063e-06
-0.0187878787878788,0.005,1.59714918945422e-06
-0.0187878787878788,0.005,1.68195171749477e-06
-0.0187878787878788,0.005,1.76722032823952e-06
-0.0187878787878788,0.005,1.85234820341529e-06
-0.0187878787878788,0.005,1.93668398397389e-06
-0.0187878787878788,0.005,2.01953897703077e-06
-0.0187878787878788,0.005,2.10019626133483e-06
-0.0187878787878788,0.005,2.1779216261576e-06
-0.0187878787878788,0.005,2.25197618124601e-06
-0.0187878787878788,0.005,2.32163037273752e-06
-0.0187878787878788,0.005,2.38617903806261e-06
-0.0187878787878788,0.005,2.44495703931961e-06
-0.0187878787878788,0.005,2.49735493736255e-06
-0.0187878787878788,0.005,2.54283411557336e-06
-0.0187878787878788,0.005,2.58094073954103e-06
-0.0187878787878788,0.005,2.61131795119206e-06
-0.0187878787878788,0.005,2.63371574516877e-06
-0.0187878787878788,0.005,2.64799806015888e-06
-0.0187878787878788,0.005,2.65414673394977e-06
-0.0187878787878788,0.005,2.65226211082599e-06
-0.0187878787878788,0.005,2.64256024395346e-06
-0.0187878787878788,0.005,2.62536679277994e-06
-0.0187878787878788,0.005,2.60110786532102e-06
-0.0187878787878788,0.005,2.57029818760967e-06
-0.0187878787878788,0.005,2.53352708965518e-06
-0.0187878787878788,0.005,2.49144287368005e-06
-0.0187878787878788,0.005,2.44473617375672e-06
-0.0187878787878788,0.005,2.39412292658304e-06
-0.0187878787878788,0.005,2.34032755367416e-06
-0.0187878787878788,0.005,2.28406691002806e-06
-0.0187878787878788,0.005,2.22603548858142e-06
-0.0187878787878788,0.005,2.16689228896779e-06
-0.0187878787878788,0.005,2.10724966835397e-06
-0.0187878787878788,0.005,2.04766439596137e-06
-0.0187878787878788,0.005,1.98863103507505e-06
-0.0187878787878788,0.005,1.9305776801557e-06
-0.0187878787878788,0.005,1.87386398507175e-06
-0.0187878787878788,0.005,1.81878133443098e-06
-0.0187878787878788,0.005,1.76555493663478e-06
-0.0187878787878788,0.005,1.71434755781004e-06
-0.0187878787878788,0.005,1.66526457318561e-06
-0.0187878787878788,0.005,1.61835998905972e-06
-0.0187878787878788,0.005,1.57364308530487e-06
-0.0187878787878788,0.005,1.53108534477572e-06
-0.0187878787878788,0.005,1.49062736962788e-06
-0.0187878787878788,0.005,1.45218553143122e-06
-0.0187878787878788,0.005,1.41565815701172e-06
-0.0187878787878788,0.005,1.38093110977771e-06
-0.0187878787878788,0.005,1.34788268188238e-06
-0.0187878787878788,0.005,1.31638776196913e-06
-0.0187878787878788,0.005,1.28632128384154e-06
-0.0187878787878788,0.005,1.25756099205256e-06
-0.0187878787878788,0.005,1.22998958125044e-06
-0.0187878787878788,0.005,1.20349627823175e-06
-0.0187878787878788,0.005,1.17797794066357e-06
-0.0187878787878788,0.005,1.15333974616673e-06
-0.0187878787878788,0.005,1.12949554162298e-06
-0.0187878787878788,0.005,1.10636791663977e-06
-0.0187878787878788,0.005,1.08388805818778e-06
-0.0187878787878788,0.005,1.06199543628858e-06
-0.0187878787878788,0.005,1.04063736374734e-06
-0.0187878787878788,0.005,1.01976846654744e-06
-0.0187878787878788,0.005,9.9935009575025e-07
-0.0187878787878788,0.005,9.79349706578855e-07
-0.0187878787878788,0.005,9.5974022577496e-07
-0.0187878787878788,0.005,9.40499424249465e-07
-0.0187878787878788,0.005,9.21609308451115e-07
-0.0187878787878788,0.005,9.03055540712329e-07
-0.0187878787878788,0.005,8.8482689606549e-07
-0.0187878787878788,0.005,8.66914760631562e-07
-0.0187878787878788,0.005,8.49312674645045e-07
-0.0187878787878788,0.005,8.3201592147432e-07
-0.0187878787878788,0.005,8.15021162602237e-07
-0.0187878787878788,0.005,7.98326117424192e-07
-0.0187878787878788,0.005,7.81929285872478e-07
-0.0187878787878788,0.005,7.65829711257433e-07
-0.0187878787878788,0.005,7.50026780297543e-07
-0.0187878787878788,0.005,7.34520057061731e-07
-0.0187878787878788,0.005,7.19309147438293e-07
-0.0183838383838384,0.005,4.83786168313557e-07
-0.0183838383838384,0.005,5.050851283201e-07
-0.0183838383838384,0.005,5.29208642300555e-07
-0.0183838383838384,0.005,5.56388832286714e-07
-0.0183838383838384,0.005,5.86842815414111e-07
-0.0183838383838384,0.005,6.20768912833575e-07
-0.0183838383838384,0.005,6.58343540107461e-07
-0.0183838383838384,0.005,6.99718669426007e-07
-0.0183838383838384,0.005,7.45019667955505e-07
-0.0183838383838384,0.005,7.94343279389194e-07
-0.0183838383838384,0.005,8.47755524713558e-07
-0.0183838383838384,0.005,9.05289341817275e-07
-0.0183838383838384,0.005,9.66941847318308e-07
-0.0183838383838384,0.005,1.03267117494172e-06
-0.0183838383838384,0.005,1.10239291395894e-06
-0.0183838383838384,0.005,1.17597623377884e-06
-0.0183838383838384,0.005,1.253239835104e-06
-0.0183838383838384,0.005,1.33394791423812e-06
-0.0183838383838384,0.005,1.41780636578517e-06
-0.0183838383838384,0.005,1.50445948042463e-06
-0.0183838383838384,0.005,1.59348741821585e-06
-0.0183838383838384,0.005,1.68440475261755e-06
-0.0183838383838384,0.005,1.77666038396431e-06
-0.0183838383838384,0.005,1.86963911086659e-06
-0.0183838383838384,0.005,1.96266512111848e-06
-0.0183838383838384,0.005,2.05500761776677e-06
-0.0183838383838384,0.005,2.145888729426e-06
-0.0183838383838384,0.005,2.23449376648139e-06
-0.0183838383838384,0.005,2.31998377809022e-06
-0.0183838383838384,0.005,2.4015102426075e-06
-0.0183838383838384,0.005,2.47823159224691e-06
-0.0183838383838384,0.005,2.54933113961543e-06
-0.0183838383838384,0.005,2.61403584909832e-06
-0.0183838383838384,0.005,2.67163529070368e-06
-0.0183838383838384,0.005,2.72150003854599e-06
-0.0183838383838384,0.005,2.76309873993547e-06
-0.0183838383838384,0.005,2.79601309072239e-06
-0.0183838383838384,0.005,2.81995001115121e-06
-0.0183838383838384,0.005,2.83475042269529e-06
-0.0183838383838384,0.005,2.84039417435059e-06
-0.0183838383838384,0.005,2.83700084675398e-06
-0.0183838383838384,0.005,2.82482636123093e-06
-0.0183838383838384,0.005,2.8042555237313e-06
-0.0183838383838384,0.005,2.77579082576816e-06
-0.0183838383838384,0.005,2.7400379926484e-06
-0.0183838383838384,0.005,2.69768890306111e-06
-0.0183838383838384,0.005,2.64950259680062e-06
-0.0183838383838384,0.005,2.59628513644405e-06
-0.0183838383838384,0.005,2.53886909539191e-06
-0.0183838383838384,0.005,2.47809341313721e-06
-0.0183838383838384,0.005,2.41478429536312e-06
-0.0183838383838384,0.005,2.34973774886408e-06
-0.0183838383838384,0.005,2.28370423668237e-06
-0.0183838383838384,0.005,2.21737582380386e-06
-0.0183838383838384,0.005,2.15137606365556e-06
-0.0183838383838384,0.005,2.08625275474152e-06
-0.0183838383838384,0.005,2.02247357849486e-06
-0.0183838383838384,0.005,1.96042451699463e-06
-0.0183838383838384,0.005,1.90041084601932e-06
-0.0183838383838384,0.005,1.84266040892368e-06
-0.0183838383838384,0.005,1.78732880439945e-06
-0.0183838383838384,0.005,1.7345060705925e-06
-0.0183838383838384,0.005,1.68422442267389e-06
-0.0183838383838384,0.005,1.63646660237854e-06
-0.0183838383838384,0.005,1.59117442533946e-06
-0.0183838383838384,0.005,1.54825716168414e-06
-0.0183838383838384,0.005,1.50759945143691e-06
-0.0183838383838384,0.005,1.46906853145869e-06
-0.0183838383838384,0.005,1.43252062733896e-06
-0.0183838383838384,0.005,1.39780643506602e-06
-0.0183838383838384,0.005,1.36477567838542e-06
-0.0183838383838384,0.005,1.33328077558686e-06
-0.0183838383838384,0.005,1.30317968322305e-06
-0.0183838383838384,0.005,1.27433800487298e-06
-0.0183838383838384,0.005,1.24663046258629e-06
-0.0183838383838384,0.005,1.21994182970654e-06
-0.0183838383838384,0.005,1.19416741902805e-06
-0.0183838383838384,0.005,1.16921321203449e-06
-0.0183838383838384,0.005,1.1449957051357e-06
-0.0183838383838384,0.005,1.12144153865057e-06
-0.0183838383838384,0.005,1.09848696457453e-06
-0.0183838383838384,0.005,1.07607720032909e-06
-0.0183838383838384,0.005,1.05416570785696e-06
-0.0183838383838384,0.005,1.03271343058088e-06
-0.0183838383838384,0.005,1.01168801478798e-06
-0.0183838383838384,0.005,9.91063036815173e-07
-0.0183838383838384,0.005,9.70817252884358e-07
-0.0183838383838384,0.005,9.50933884480801e-07
-0.0183838383838384,0.005,9.31399948721359e-07
-0.0183838383838384,0.005,9.12205640176317e-07
-0.0183838383838384,0.005,8.93343768058304e-07
-0.0183838383838384,0.005,8.7480925054832e-07
-0.0183838383838384,0.005,8.565986662671e-07
-0.0183838383838384,0.005,8.38709861493297e-07
-0.0183838383838384,0.005,8.21141610647441e-07
-0.0183838383838384,0.005,8.03893326768681e-07
-0.0183838383838384,0.005,7.86964818173787e-07
-0.0183838383838384,0.005,7.70356087167403e-07
-0.0183838383838384,0.005,7.54067166532508e-07
-0.0183838383838384,0.005,7.38097989535108e-07
-0.017979797979798,0.005,5.05513722997978e-07
-0.017979797979798,0.005,5.27136772715618e-07
-0.017979797979798,0.005,5.51676263564618e-07
-0.017979797979798,0.005,5.79398864973293e-07
-0.017979797979798,0.005,6.10559005400042e-07
-0.017979797979798,0.005,6.4539407998559e-07
-0.017979797979798,0.005,6.8412033109958e-07
-0.017979797979798,0.005,7.26929372978813e-07
-0.017979797979798,0.005,7.73985210399615e-07
-0.017979797979798,0.005,8.25421525628898e-07
-0.017979797979798,0.005,8.81338984879842e-07
-0.017979797979798,0.005,9.41802339145508e-07
-0.017979797979798,0.005,1.00683715101789e-06
-0.017979797979798,0.005,1.07642605378882e-06
-0.017979797979798,0.005,1.15050452927425e-06
-0.017979797979798,0.005,1.22895626823553e-06
-0.017979797979798,0.005,1.31160824788043e-06
-0.017979797979798,0.005,1.39822572338017e-06
-0.017979797979798,0.005,1.48850738459393e-06
-0.017979797979798,0.005,1.58208097528794e-06
-0.017979797979798,0.005,1.67849970942097e-06
-0.017979797979798,0.005,1.77723984584818e-06
-0.017979797979798,0.005,1.87769979633485e-06
-0.017979797979798,0.005,1.97920113853104e-06
-0.017979797979798,0.005,2.08099188164514e-06
-0.017979797979798,0.005,2.18225228429855e-06
-0.017979797979798,0.005,2.28210344868835e-06
-0.017979797979798,0.005,2.37961881161308e-06
-0.017979797979798,0.005,2.47383852234264e-06
-0.017979797979798,0.005,2.56378654384512e-06
-0.017979797979798,0.005,2.64849014481889e-06
-0.017979797979798,0.005,2.72700127574642e-06
-0.017979797979798,0.005,2.79841915581956e-06
-0.017979797979798,0.005,2.86191325371685e-06
-0.017979797979798,0.005,2.91674573862823e-06
-0.017979797979798,0.005,2.96229242182318e-06
-0.017979797979798,0.005,2.99806121326447e-06
-0.017979797979798,0.005,3.02370718712897e-06
-0.017979797979798,0.005,3.03904348342115e-06
-0.017979797979798,0.005,3.04404746259724e-06
-0.017979797979798,0.005,3.03886176287857e-06
-0.017979797979798,0.005,3.02379016789931e-06
-0.017979797979798,0.005,2.99928845527429e-06
-0.017979797979798,0.005,2.96595064431989e-06
-0.017979797979798,0.005,2.9244912755358e-06
-0.017979797979798,0.005,2.87572452178945e-06
-0.017979797979798,0.005,2.82054104308213e-06
-0.017979797979798,0.005,2.75988355075207e-06
-0.017979797979798,0.005,2.69472204573007e-06
-0.017979797979798,0.005,2.62602964591827e-06
-0.017979797979798,0.005,2.55475982941798e-06
-0.017979797979798,0.005,2.48182580361306e-06
-0.017979797979798,0.005,2.40808257489623e-06
-0.017979797979798,0.005,2.3343121483967e-06
-0.017979797979798,0.005,2.26121213770914e-06
-0.017979797979798,0.005,2.18938791578704e-06
-0.017979797979798,0.005,2.11934829317017e-06
-0.017979797979798,0.005,2.05150457171722e-06
-0.017979797979798,0.005,1.98617269489057e-06
-0.017979797979798,0.005,1.9235781044876e-06
-0.017979797979798,0.005,1.86386282468351e-06
-0.017979797979798,0.005,1.80709423366778e-06
-0.017979797979798,0.005,1.75327495613206e-06
-0.017979797979798,0.005,1.7023533188042e-06
-0.017979797979798,0.005,1.65423385473984e-06
-0.017979797979798,0.005,1.60878741473281e-06
-0.017979797979798,0.005,1.56586053717043e-06
-0.017979797979798,0.005,1.52528383021732e-06
-0.017979797979798,0.005,1.48687922158916e-06
-0.017979797979798,0.005,1.45046602225849e-06
-0.017979797979798,0.005,1.41586582493851e-06
-0.017979797979798,0.005,1.38290631310571e-06
-0.017979797979798,0.005,1.35142409165422e-06
-0.017979797979798,0.005,1.32126666830218e-06
-0.017979797979798,0.005,1.2922937191973e-06
-0.017979797979798,0.005,1.26437776682227e-06
-0.017979797979798,0.005,1.23740438703536e-06
-0.017979797979798,0.005,1.21127204795892e-06
-0.017979797979798,0.005,1.18589166865797e-06
-0.017979797979798,0.005,1.16118597151898e-06
-0.017979797979798,0.005,1.13708868966088e-06
-0.017979797979798,0.005,1.11354367982128e-06
