x[m],y[m],z[m]
0.005,-0.0002546,-0
0.00526315789473684,-0.0002546,-0
0.00552631578947368,-0.0002546,-0
0.00578947368421053,-0.0002546,-0
0.00605263157894737,-0.0002546,-0
0.00631578947368421,-0.0002546,-0
0.00657894736842105,-0.0002546,-0
0.0068421052631579,-0.0002546,-0
0.00710526315789474,-0.0002546,-0
0.00736842105263158,-0.0002546,-0
0.00763157894736842,-0.0002546,-0
0.00789473684210526,-0.0002546,-0
0.00815789473684211,-0.0002546,-0
0.00842105263157895,-0.0002546,-0
0.00868421052631579,-0.0002546,-0
0.00894736842105263,-0.0002546,-0
0.00921052631578947,-0.0002546,-0
0.00947368421052632,-0.0002546,-0
0.00973684210526316,-0.0002546,-0
0.01,-0.0002546,-0
0.005,-0.0002546,-0
0.005,-0.000452325,-0
0.005,-0.00065005,-0
0.005,-0.000847775,-0
0.005,-0.0010455,-0
0.005,-0.001243225,-0
0.005,-0.00144095,-0
0.005,-0.001638675,-0
0.005,-0.0018364,-0
0.005,-0.002034125,-0
0.005,-0.00223185,-0
0.005,-0.002429575,-0
0.005,-0.0026273,-0
0.005,-0.002825025,-0
0.005,-0.00302275,-0
0.005,-0.003220475,-0
0.005,-0.0034182,-0
0.005,-0.003615925,-0
0.005,-0.00381365,-0
0.005,-0.004011375,-0
0.005,-0.0042091,-0
0.005,-0.004406825,-0
0.005,-0.00460455,-0
0.005,-0.004802275,-0
0.005,-0.005,-0
-0.005,-0.005,-0
-0.00479591836734694,-0.005,-0
-0.00459183673469388,-0.005,-0
-0.00438775510204082,-0.005,-0
-0.00418367346938776,-0.005,-0
-0.00397959183673469,-0.005,-0
-0.00377551020408163,-0.005,-0
-0.00357142857142857,-0.005,-0
-0.00336734693877551,-0.005,-0
-0.00316326530612245,-0.005,-0
-0.00295918367346939,-0.005,-0
-0.00275510204081633,-0.005,-0
-0.00255102040816327,-0.005,-0
-0.0023469387755102,-0.005,-0
-0.00214285714285714,-0.005,-0
-0.00193877551020408,-0.005,-0
-0.00173469387755102,-0.005,-0
-0.00153061224489796,-0.005,-0
-0.0013265306122449,-0.005,-0
-0.00112244897959184,-0.005,-0
-0.000918367346938776,-0.005,-0
-0.000714285714285714,-0.005,-0
-0.000510204081632653,-0.005,-0
-0.000306122448979592,-0.005,-0
-0.000102040816326531,-0.005,-0
0.000102040816326531,-0.005,-0
0.000306122448979592,-0.005,-0
0.000510204081632653,-0.005,-0
0.000714285714285714,-0.005,-0
0.000918367346938776,-0.005,-0
0.00112244897959184,-0.005,-0
0.0013265306122449,-0.005,-0
0.00153061224489796,-0.005,-0
0.00173469387755102,-0.005,-0
0.00193877551020408,-0.005,-0
0.00214285714285714,-0.005,-0
0.0023469387755102,-0.005,-0
0.00255102040816327,-0.005,-0
0.00275510204081633,-0.005,-0
0.00295918367346939,-0.005,-0
0.00316326530612245,-0.005,-0
0.00336734693877551,-0.005,-0
0.00357142857142857,-0.005,-0
0.00377551020408163,-0.005,-0
0.00397959183673469,-0.005,-0
0.00418367346938776,-0.005,-0
0.00438775510204082,-0.005,-0
0.00459183673469388,-0.005,-0
0.00479591836734694,-0.005,-0
0.005,-0.005,-0
-0.005,-0.005,-0
-0.005,-0.00479591836734694,-0
-0.005,-0.00459183673469388,-0
-0.005,-0.00438775510204082,-0
-0.005,-0.00418367346938776,-0
-0.005,-0.00397959183673469,-0
-0.005,-0.00377551020408163,-0
-0.005,-0.00357142857142857,-0
-0.005,-0.00336734693877551,-0
-0.005,-0.00316326530612245,-0
-0.005,-0.00295918367346939,-0
-0.005,-0.00275510204081633,-0
-0.005,-0.00255102040816327,-0
-0.005,-0.0023469387755102,-0
-0.005,-0.00214285714285714,-0
-0.005,-0.00193877551020408,-0
-0.005,-0.00173469387755102,-0
-0.005,-0.00153061224489796,-0
-0.005,-0.0013265306122449,-0
-0.005,-0.00112244897959184,-0
-0.005,-0.000918367346938776,-0
-0.005,-0.000714285714285714,-0
-0.005,-0.000510204081632653,-0
-0.005,-0.000306122448979592,-0
-0.005,-0.000102040816326531,-0
-0.005,0.000102040816326531,0
-0.005,0.000306122448979592,0
-0.005,0.000510204081632653,0
-0.005,0.000714285714285714,0
-0.005,0.000918367346938776,0
-0.005,0.00112244897959184,0
-0.005,0.0013265306122449,0
-0.005,0.00153061224489796,0
-0.005,0.00173469387755102,0
-0.005,0.00193877551020408,0
-0.005,0.00214285714285714,0
-0.005,0.0023469387755102,0
-0.005,0.00255102040816327,0
-0.005,0.00275510204081633,0
-0.005,0.00295918367346939,0
-0.005,0.00316326530612245,0
-0.005,0.00336734693877551,0
-0.005,0.00357142857142857,0
-0.005,0.00377551020408163,0
-0.005,0.00397959183673469,0
-0.005,0.00418367346938776,0
-0.005,0.00438775510204082,0
-0.005,0.00459183673469388,0
-0.005,0.00479591836734694,0
-0.005,0.005,0
-0.005,0.005,0
-0.00479591836734694,0.005,0
-0.00459183673469388,0.005,0
-0.00438775510204082,0.005,0
-0.00418367346938776,0.005,0
-0.00397959183673469,0.005,0
-0.00377551020408163,0.005,0
-0.00357142857142857,0.005,0
-0.00336734693877551,0.005,0
-0.00316326530612245,0.005,0
-0.00295918367346939,0.005,0
-0.00275510204081633,0.005,0
-0.00255102040816327,0.005,0
-0.0023469387755102,0.005,0
-0.00214285714285714,0.005,0
-0.00193877551020408,0.005,0
-0.00173469387755102,0.005,0
-0.00153061224489796,0.005,0
-0.0013265306122449,0.005,0
-0.00112244897959184,0.005,0
-0.000918367346938776,0.005,0
-0.000714285714285714,0.005,0
-0.000510204081632653,0.005,0
-0.000306122448979592,0.005,0
-0.000102040816326531,0.005,0
0.000102040816326531,0.005,0
0.000306122448979592,0.005,0
0.000510204081632653,0.005,0
0.000714285714285714,0.005,0
0.000918367346938776,0.005,0
0.00112244897959184,0.005,0
0.0013265306122449,0.005,0
0.00153061224489796,0.005,0
0.00173469387755102,0.005,0
0.00193877551020408,0.005,0
0.00214285714285714,0.005,0
0.0023469387755102,0.005,0
0.00255102040816327,0.005,0
0.00275510204081633,0.005,0
0.00295918367346939,0.005,0
0.00316326530612245,0.005,0
0.00336734693877551,0.005,0
0.00357142857142857,0.005,0
