y[m],z[m],|B|
-0.000202020202020202,-0.005,2.32289639303251e-06
-0.000202020202020202,-0.005,2.47035795580853e-06
-0.000202020202020202,-0.005,2.63106151654723e-06
-0.000202020202020202,-0.005,2.8064581237936e-06
-0.000202020202020202,-0.005,2.99817609164709e-06
-0.000202020202020202,-0.005,3.20804284908842e-06
-0.000202020202020202,-0.005,3.43810891477289e-06
-0.000202020202020202,-0.005,3.69067390053777e-06
-0.000202020202020202,-0.005,3.96831427379452e-06
-0.000202020202020202,-0.005,4.27391235191882e-06
-0.000202020202020202,-0.005,4.61068562870998e-06
-0.000202020202020202,-0.005,4.982215001877e-06
-0.000202020202020202,-0.005,5.39246972706829e-06
-0.000202020202020202,-0.005,5.84582590010838e-06
-0.000202020202020202,-0.005,6.34707388252272e-06
-0.000202020202020202,-0.005,6.9014082420315e-06
-0.000202020202020202,-0.005,7.51439138163447e-06
-0.000202020202020202,-0.005,8.19187899451841e-06
-0.000202020202020202,-0.005,8.93989177235627e-06
-0.000202020202020202,-0.005,9.76441348622674e-06
-0.000202020202020202,-0.005,1.0671090936293e-05
-0.000202020202020202,-0.005,1.16648069749365e-05
-0.000202020202020202,-0.005,1.27490950750389e-05
-0.000202020202020202,-0.005,1.39253648276213e-05
-0.000202020202020202,-0.005,1.51919155609304e-05
-0.000202020202020202,-0.005,1.65427345991937e-05
-0.000202020202020202,-0.005,1.79661133905655e-05
-0.000202020202020202,-0.005,1.94431750304137e-05
-0.000202020202020202,-0.005,2.09464947708234e-05
-0.000202020202020202,-0.005,2.24391085824351e-05
-0.000202020202020202,-0.005,2.3874327843915e-05
-0.000202020202020202,-0.005,2.5196873284218e-05
-0.000202020202020202,-0.005,2.63458448208985e-05
-0.000202020202020202,-0.005,2.7259874903762e-05
-0.000202020202020202,-0.005,2.78844062554926e-05
-0.000202020202020202,-0.005,2.81804018960548e-05
-0.000202020202020202,-0.005,2.81330861454212e-05
-0.000202020202020202,-0.005,2.77588189406696e-05
-0.000202020202020202,-0.005,2.7108223905408e-05
-0.000202020202020202,-0.005,2.62643112762899e-05
-0.000202020202020202,-0.005,2.53352914276872e-05
-0.000202020202020202,-0.005,2.44426125468816e-05
-0.000202020202020202,-0.005,2.37053375692526e-05
-0.000202020202020202,-0.005,2.32228034283851e-05
-0.000202020202020202,-0.005,2.30591015343493e-05
-0.000202020202020202,-0.005,2.32343132112401e-05
-0.000202020202020202,-0.005,2.37261367905562e-05
-0.000202020202020202,-0.005,2.44809237061866e-05
-0.000202020202020202,-0.005,2.5428748055687e-05
-0.000202020202020202,-0.005,2.64966897855987e-05
-0.000202020202020202,-0.005,2.76173457802638e-05
-0.000202020202020202,-0.005,2.87325375271003e-05
-0.000202020202020202,-0.005,2.97935736592074e-05
-0.000202020202020202,-0.005,3.07595574111113e-05
-0.000202020202020202,-0.005,3.15949193110986e-05
-0.000202020202020202,-0.005,3.22670621179577e-05
-0.000202020202020202,-0.005,3.2744812150745e-05
-0.000202020202020202,-0.005,3.29982014973193e-05
-0.000202020202020202,-0.005,3.29998619176404e-05
-0.000202020202020202,-0.005,3.27279397861974e-05
-0.000202020202020202,-0.005,3.21699676186884e-05
-0.000202020202020202,-0.005,3.1326678405663e-05
-0.000202020202020202,-0.005,3.02145306855468e-05
-0.000202020202020202,-0.005,2.88659125397069e-05
-0.000202020202020202,-0.005,2.73266324299109e-05
-0.000202020202020202,-0.005,2.56511568152674e-05
-0.000202020202020202,-0.005,2.38967380501471e-05
-0.000202020202020202,-0.005,2.21177911762266e-05
-0.000202020202020202,-0.005,2.03615916031787e-05
-0.000202020202020202,-0.005,1.86657954886486e-05
-0.000202020202020202,-0.005,1.70577231786333e-05
-0.000202020202020202,-0.005,1.55549867621432e-05
-0.000202020202020202,-0.005,1.41669248708015e-05
-0.000202020202020202,-0.005,1.28963651525095e-05
-0.000202020202020202,-0.005,1.17413725955079e-05
-0.000202020202020202,-0.005,1.06967869053161e-05
-0.000202020202020202,-0.005,9.75546683103097e-06
-0.000202020202020202,-0.005,8.90923410561199e-06
-0.000202020202020202,-0.005,8.14954992927782e-06
-0.000202020202020202,-0.005,7.46797300156292e-06
-0.000202020202020202,-0.005,6.85644973925501e-06
-0.000202020202020202,-0.005,6.30748170744344e-06
-0.000202020202020202,-0.005,5.8142070006226e-06
-0.000202020202020202,-0.005,5.3704238611667e-06
-0.000202020202020202,-0.005,4.97057739076506e-06
-0.000202020202020202,-0.005,4.60972418938283e-06
-0.000202020202020202,-0.005,4.28348513339983e-06
-0.000202020202020202,-0.005,3.98799309101813e-06
-0.000202020202020202,-0.005,3.71983992926205e-06
-0.000202020202020202,-0.005,3.47602546360047e-06
-0.000202020202020202,-0.005,3.25390984382548e-06
-0.000202020202020202,-0.005,3.05117010411244e-06
-0.000202020202020202,-0.005,2.86576111421998e-06
-0.000202020202020202,-0.005,2.69588086662967e-06
-0.000202020202020202,-0.005,2.53993985941213e-06
-0.000202020202020202,-0.005,2.39653424335882e-06
-0.000202020202020202,-0.005,2.26442236442738e-06
-0.000202020202020202,-0.005,2.14250432839455e-06
-0.000202020202020202,-0.005,2.02980423012295e-06
-0.000202020202020202,-0.005,1.92545471604688e-06
-0.000202020202020202,-0.00447368421052632,2.35600635488573e-06
-0.000202020202020202,-0.00447368421052632,2.50828351535883e-06
-0.000202020202020202,-0.00447368421052632,2.67461602433925e-06
-0.000202020202020202,-0.00447368421052632,2.85660691507668e-06
-0.000202020202020202,-0.00447368421052632,3.05606712923285e-06
-0.000202020202020202,-0.00447368421052632,3.27504388068957e-06
-0.000202020202020202,-0.00447368421052632,3.51585255837204e-06
-0.000202020202020202,-0.00447368421052632,3.7811123654043e-06
