"IWaveTheta [deg]","MonostaticRCSTotal [] - Freq='3.24GHz' IWavePhi='0deg'","MonostaticRCSTotal [] - Freq='3.24GHz' IWavePhi='90.0000000000002deg'"
0,3.17242575056833,2.07573723632814E-06
6,1.63720624146303,0.000217477634968035
12,1.62750305233641,0.000381996546329082
18,0.0979964818899382,0.00196458611011594
24,0.0988570094297192,0.000743405783077914
30,0.100178931305194,0.00217734597326462
36,0.0419866589389682,0.00286710937202738
42,0.0194237768484751,0.00513985409805177
48,0.00126548076831641,0.0050499578053763
54,0.000991086902619929,0.00539948491577052
60,0.00412814925419329,0.00876518777418191
66,0.000987723427141464,0.00674471951997438
72,0.00076429112123437,0.00393604041529793
78,0.000846676052812693,0.00114112953807313
84,0.00073509145664582,0.00190825319186537
90,0.00193950013615513,0.000641763239555813
96,0.00164434765411606,0.000491218668486233
102,0.00599189778234585,0.00185530375187831
108,0.00741906675480778,0.0034830184209738
114,0.0118480043395739,0.0039133635112993
120,0.0102500836011816,0.00294540657946052
126,0.00879841147572884,0.00207484785059556
132,0.00988913420042108,0.00217741223219348
138,0.00618004336274835,0.0438285971620828
144,0.00587490348200147,0.0533866645586876
150,0.00203531098278197,0.0285112130556822
156,0.00117076555949152,0.0439045727286442
162,0.000303636499501175,1.0546331295948
168,0.000891582319615072,1.02486393053976
174,1.07040671424529E-06,3.43092916485016
180,1.30670984908317E-06,3.44067215892332
186,0.000398811560920356,3.42858415095674
192,0.000914572671571152,1.02264286770365
198,0.00515251445587458,1.02866366764363
204,0.00121415715922015,0.0435083251472663
210,0.00260420439905666,0.0306985517183626
216,0.00611428550200796,0.0530776893780497
222,0.0108323314542174,0.0411096375156339
228,0.0103060181610325,0.00218833053348565
234,0.0102702291214338,0.00157600579958763
240,0.0106456590972503,0.00304550690986454
246,0.00726960375187621,0.00349678903401137
252,0.00735842643838936,0.00344155952574893
258,0.00256367095408421,0.00173238088220364
264,0.00149799783017021,0.000467458063134051
270,0.000523423978167239,0.000729568378710508
276,0.000710997284233919,0.00188784810508268
282,0.000409320868720726,0.00106205505302614
288,0.000682093086705635,0.00397247166442933
294,0.00326345380153353,0.00653783058458601
300,0.00411419244074791,0.00887414515943014
306,0.00466745589409501,0.00552794023099255
312,0.00140481021391337,0.00492958335707763
318,0.011004354163387,0.0050140194573922
324,0.0428880524214394,0.00296161750032182
330,0.105303176949173,0.00214847427576413
336,0.100209471981206,0.00070466884459501
342,1.61711262673028,0.00189458115991068
348,1.63052708983875,0.000390734087511391
354,3.17408603564167,0.000217482031361498
360,3.17242575056824,2.07573723632813E-06
