"IWaveTheta [deg]","MonostaticRCSTotal [] - Freq='3.59GHz' IWavePhi='0deg'","MonostaticRCSTotal [] - Freq='3.59GHz' IWavePhi='90deg'"
0,1.7691355227291,0.892879181737392
6,0.0476307748381622,0.0355825554690534
12,0.0215029045356862,0.00405946640134393
18,0.0026973521821067,0.000693524394786963
24,0.00689055425546836,0.0112525437119343
30,0.0102955574132,0.00622157314306412
36,0.00244851274354129,0.000549182615974685
42,4.18180953071501E-05,3.39482070217714E-07
48,3.63155996488022E-05,0.000502553107827473
54,0.00226952843412398,0.00576142499868779
60,0.00949542942522348,0.0104439043115337
66,0.0066060559999613,0.000780450160422726
72,0.00242478663206447,0.0038380948802582
78,0.0232090953163909,0.0378261886470482
84,0.0470314740098176,0.898875115264114
90,1.78790466863858,0.89732691339928
96,0.047238356138176,0.0372550668590979
102,0.0214797800545425,0.00401359246458322
108,0.00257940994482674,0.000867062287588602
114,0.00744227360611735,0.0114322860896063
120,0.0100460160128874,0.00592516858954307
126,0.00228992631174383,0.000501731581104598
132,3.6099991891056E-05,3.14524479202305E-07
138,3.89363941934654E-05,0.000525246980520714
144,0.00236831977645201,0.00607385133518437
150,0.0101859513004388,0.0114239718016252
156,0.00736358734436338,0.000930420496865394
162,0.00238450450611942,0.00405311166178243
168,0.022598289069746,0.0368925344651231
174,0.0466162464290684,0.887255758197229
180,1.76914505077844,1.76614815308118
186,0.886112503251207,0.0462684845806014
192,0.0364165099856373,0.0217604732702305
198,0.00443171182032502,0.00278562723457454
204,0.000750787327689257,0.00699444760764543
210,0.0108377229551007,0.00957354660544035
216,0.00568497695983887,0.00220923388148687
222,0.00048571516873306,3.53393764587368E-05
228,4.26137786250855E-07,3.99534327002509E-05
234,0.000519152036261046,0.00230347988341574
240,0.00583515780349987,0.00968791265893681
246,0.010776688780878,0.00680364665956013
252,0.000746456209787987,0.00280760824177907
258,0.00406377950358875,0.0215955545619205
264,0.0366600570679664,0.0480575705958897
270,0.898985392536514,1.78880866374188
276,0.900053403289054,0.0477531394341223
282,0.0377876424315587,0.0228113273378809
288,0.00387702726655047,0.00234959236062968
294,0.000911187698356891,0.00755932784044452
300,0.0122212875582563,0.011285304270835
306,0.00686514766189338,0.00270275113121782
312,0.000602327826788402,4.49908823617688E-05
318,4.13309651171513E-07,4.26536409762985E-05
324,0.000580156915299446,0.00261577283340909
330,0.00668770257655327,0.0111628450784863
336,0.0123650339837449,0.00767152831213408
342,0.000800321556190294,0.00275317383917351
348,0.00391201717691704,0.0209303134143897
354,0.035790232097668,0.0473462890139598
360,1.7691355227291,0.892879181737392
