"IWaveTheta [deg]","MonostaticRCSPhi [] - Freq='3.24GHz' IWavePhi='0deg'","MonostaticRCSPhi [] - Freq='3.24GHz' IWavePhi='90.0000000000002deg'","MonostaticRCSTheta [] - Freq='3.24GHz' IWavePhi='0deg'","MonostaticRCSTheta [] - Freq='3.24GHz' IWavePhi='90.0000000000002deg'"
0,3.57773994930376E-06,2.95960129848617E-07,3.17242217282838,1.77977710647952E-06
6,6.44299942890515E-08,3.42838431848121E-07,1.63720617703303,0.000217134796536187
12,8.91526596393606E-05,0.000344635994858964,1.62741389967677,3.73605514701182E-05
18,0.00124745045955153,0.0013844947858353,0.0967490314303867,0.000580091324280644
24,0.00372053474248319,0.000263421179284421,0.095136474687236,0.000479984603793493
30,0.00304020045252866,0.000278022848801309,0.0971387308526653,0.00189932312446331
36,0.00407788288022022,0.00239320416200074,0.0379087760587479,0.000473905210026639
42,0.000534305409458125,0.00345537944272927,0.018889471439017,0.0016844746553225
48,0.000706421613842212,0.000379904719082417,0.000559059154474197,0.00467005308629388
54,0.000453801391601577,3.30871417917324E-05,0.000537285511018352,0.00536639777397879
60,0.000966442340078174,0.00205440170622609,0.00316170691411511,0.00671078606795582
66,0.000684623145322198,0.000870613229095734,0.000303100281819266,0.00587410629087864
72,0.000335504209405826,0.000531330839235014,0.000428786911828544,0.00340470957606292
78,0.000553165622141827,0.000483261020163709,0.000293510430670867,0.000657868517909421
84,0.000715562227657286,0.00100161626503277,1.95292289885336E-05,0.000906636926832593
90,0.000994657916120293,0.000586957342246448,0.000944842220034834,5.48058973093652E-05
96,8.14349272310607E-05,0.000121591479075157,0.001562912726885,0.000369627189411076
102,0.000312707374928891,0.000330097060917465,0.00567919040741696,0.00152520669096085
108,7.6924898607452E-05,0.000949599863528275,0.00734214185620033,0.00253341855744552
114,4.52252359313347E-05,0.000701517096763732,0.0118027791036425,0.00321184641453557
120,0.000274044219353271,0.00115014692456539,0.00997603938182831,0.00179525965489513
126,0.000126107294453861,0.00080052325168964,0.00867230418127498,0.00127432459890592
132,0.00229898889154648,0.00188676080960716,0.0075901453088746,0.000290651422586313
138,0.00251830407013332,0.000129537125203932,0.00366173929261503,0.0436990600368789
144,0.00116925501975492,0.000372391281258506,0.00470564846224656,0.0530142732774291
150,0.000808596851555566,0.00399637051876029,0.0012267141312264,0.0245148425369219
156,0.00111344467820363,0.00197738701455515,5.73208812878971E-05,0.041927185714089
162,0.000298710678574502,0.00209865681560931,4.92582092667276E-06,1.05253447277919
168,0.000749529525490352,0.000636879398373676,0.00014205279412472,1.02422705114138
174,2.53867053458808E-07,9.3394285834661E-05,8.1653966078648E-07,3.43083577056432
180,5.62980679947264E-09,9.89755994822202E-08,1.3010800422837E-06,3.44067205994772
186,1.92016158987398E-07,0.000176133271346321,0.000398619544761369,3.42840801768539
192,0.000768246764684568,0.000662338182198187,0.000146325906886583,1.02198052952145
198,0.00305597162692431,0.00232408295358944,0.00209654282895026,1.02633958469004
204,0.00114951259517267,0.00204663636793572,6.46445640474762E-05,0.0414616887793305
210,0.00240417017712065,0.0038951926819807,0.000200034221936011,0.0268033590363819
216,0.00122676003518404,0.000374956115975962,0.00488752546682393,0.0527027332620737
222,0.00101936569306083,0.000210144449566216,0.00981296576115656,0.0408994930660677
228,0.00241170286786821,0.00189242380242502,0.00789431529316428,0.00029590673106063
234,0.00120360855161046,0.000891602318534973,0.00906662056982338,0.000684403481052654
240,0.000232904183918546,0.0011734383088744,0.0104127549133318,0.00187206860099014
246,0.000276952488336878,0.000836016817367154,0.00699265126353933,0.00266077221664422
252,5.59756889331828E-05,0.000957887731027707,0.00730245074945617,0.00248367179472123
258,5.52796780025247E-05,0.000431502332510332,0.00250839127608169,0.00130087854969331
264,0.000124064912484344,0.000107564513670461,0.00137393291768587,0.000359893549463591
270,0.000105705704919559,0.000714445310337832,0.00041771827324768,1.51230683726753E-05
276,0.000682317479789509,0.000989572016411832,2.86798044444095E-05,0.000898276088670844
282,0.00032001403909422,0.000564937319360735,8.93068296265062E-05,0.000497117733665401
288,0.000315278069389368,0.000548326157399738,0.000366815017316268,0.00342414550702959
294,0.000335900829749261,0.00104301077749805,0.00292755297178427,0.00549481980708796
300,0.00110182037555466,0.00205761371046569,0.00301237206519326,0.00681653144896445
306,0.000963100716474841,4.01147578291207E-05,0.00370435517762016,0.00548782547316343
312,0.000775065906656094,0.000337646196220643,0.000629744307257276,0.00459193716085699
318,0.00369594410435581,0.00342236639374488,0.00730841005903122,0.00159165306364732
324,0.00418089490257701,0.00243291531284756,0.0387071575188624,0.000528702187474257
330,0.00570421868644604,0.000339507761509098,0.0995989582627273,0.00180896651425504
336,0.00381638808797191,0.000226688993685504,0.0963930838932346,0.000477979850909507
342,0.000345186799816669,0.00136236846326956,1.61676743993046,0.000532212696641127
348,0.000103049330881403,0.000350994609968582,1.63042404050787,3.97394775428096E-05
354,9.34163127457518E-05,3.42224241963337E-07,3.17399261932892,0.000217139807119535
360,3.57773994930369E-06,2.95960129848607E-07,3.17242217282829,1.77977710647952E-06
