Far field
"Plane Wave Phi"[deg]	"FarField1 [V]"	
0.00000000E+00	1.68081419E-05	
2.00000000E+00	7.57502562E-04	
4.00000000E+00	1.50915845E-03	
6.00000000E+00	2.25901823E-03	
8.00000000E+00	3.00617384E-03	
1.00000000E+01	3.74963081E-03	
1.20000000E+01	4.48856855E-03	
1.40000000E+01	5.22200392E-03	
1.60000000E+01	5.94909040E-03	
1.80000000E+01	6.66894412E-03	
2.00000000E+01	7.38061321E-03	
2.20000000E+01	8.08332995E-03	
2.40000000E+01	8.77620932E-03	
2.60000000E+01	9.45841190E-03	
2.80000000E+01	1.01290678E-02	
3.00000000E+01	1.07873962E-02	
3.20000000E+01	1.14325732E-02	
3.40000000E+01	1.20637850E-02	
3.60000000E+01	1.26803637E-02	
3.80000000E+01	1.32814677E-02	
4.00000000E+01	1.38664138E-02	
4.20000000E+01	1.44343918E-02	
4.40000000E+01	1.49848529E-02	
4.60000000E+01	1.55169859E-02	
4.80000000E+01	1.60302958E-02	
5.00000000E+01	1.65240557E-02	
5.20000000E+01	1.69976206E-02	
5.40000000E+01	1.74504954E-02	
5.60000000E+01	1.78821693E-02	
5.80000000E+01	1.82920517E-02	
6.00000000E+01	1.86795614E-02	
6.20000000E+01	1.90444655E-02	
6.40000000E+01	1.93859893E-02	
6.60000000E+01	1.97040705E-02	
6.80000000E+01	1.99980185E-02	
7.00000000E+01	2.02676055E-02	
7.20000000E+01	2.05125985E-02	
7.40000000E+01	2.07324432E-02	
7.60000000E+01	2.09272086E-02	
7.80000000E+01	2.10963121E-02	
8.00000000E+01	2.12398226E-02	
8.20000000E+01	2.13574256E-02	
8.40000000E+01	2.14490207E-02	
8.60000000E+01	2.15143870E-02	
8.80000000E+01	2.15536944E-02	
9.00000000E+01	2.15666316E-02	
9.20000000E+01	2.15533516E-02	
9.40000000E+01	2.15137571E-02	
9.60000000E+01	2.14479684E-02	
9.80000000E+01	2.13561163E-02	
1.00000000E+02	2.12381961E-02	
1.02000000E+02	2.10944103E-02	
1.04000000E+02	2.09249261E-02	
1.06000000E+02	2.07299055E-02	
1.08000000E+02	2.05096633E-02	
1.10000000E+02	2.02644398E-02	
1.12000000E+02	1.99944910E-02	
1.14000000E+02	1.97002495E-02	
1.16000000E+02	1.93819858E-02	
1.18000000E+02	1.90400039E-02	
1.20000000E+02	1.86749588E-02	
1.22000000E+02	1.82870961E-02	
1.24000000E+02	1.78769535E-02	
1.26000000E+02	1.74450395E-02	
1.28000000E+02	1.69919026E-02	
1.30000000E+02	1.65180044E-02	
1.32000000E+02	1.60240450E-02	
1.34000000E+02	1.55105128E-02	
1.36000000E+02	1.49780995E-02	
1.38000000E+02	1.44274464E-02	
1.40000000E+02	1.38591923E-02	
1.42000000E+02	1.32740672E-02	
1.44000000E+02	1.26727811E-02	
1.46000000E+02	1.20560471E-02	
1.48000000E+02	1.14246509E-02	
1.50000000E+02	1.07793208E-02	
1.52000000E+02	1.01208345E-02	
1.54000000E+02	9.45000057E-03	
1.56000000E+02	8.76769583E-03	
1.58000000E+02	8.07467849E-03	
1.60000000E+02	7.37185890E-03	
1.62000000E+02	6.66003934E-03	
1.64000000E+02	5.94010335E-03	
1.66000000E+02	5.21294478E-03	
1.68000000E+02	4.47941080E-03	
1.70000000E+02	3.74043755E-03	
1.72000000E+02	2.99691903E-03	
1.74000000E+02	2.24973594E-03	
1.76000000E+02	1.49983219E-03	
1.78000000E+02	7.48167973E-04	
1.80000000E+02	1.68072902E-05	
1.82000000E+02	7.57513290E-04	
1.84000000E+02	1.50916775E-03	
1.86000000E+02	2.25903185E-03	
1.88000000E+02	3.00616417E-03	
1.90000000E+02	3.74965991E-03	
1.92000000E+02	4.48856732E-03	
1.94000000E+02	5.22202000E-03	
1.96000000E+02	5.94908621E-03	
1.98000000E+02	6.66891140E-03	
2.00000000E+02	7.38061623E-03	
2.02000000E+02	8.08337498E-03	
2.04000000E+02	8.77624178E-03	
2.06000000E+02	9.45839520E-03	
2.08000000E+02	1.01290691E-02	
2.10000000E+02	1.07873478E-02	
2.12000000E+02	1.14325551E-02	
2.14000000E+02	1.20637910E-02	
2.16000000E+02	1.26803502E-02	
2.18000000E+02	1.32814481E-02	
2.20000000E+02	1.38663827E-02	
2.22000000E+02	1.44344171E-02	
2.24000000E+02	1.49848606E-02	
2.26000000E+02	1.55169859E-02	
2.28000000E+02	1.60302958E-02	
2.30000000E+02	1.65240557E-02	
2.32000000E+02	1.69976206E-02	
2.34000000E+02	1.74504954E-02	
2.36000000E+02	1.78821693E-02	
2.38000000E+02	1.82920517E-02	
2.40000000E+02	1.86795614E-02	
2.42000000E+02	1.90444655E-02	
2.44000000E+02	1.93859893E-02	
2.46000000E+02	1.97040705E-02	
2.48000000E+02	1.99980185E-02	
2.50000000E+02	2.02676055E-02	
2.52000000E+02	2.05125985E-02	
2.54000000E+02	2.07324432E-02	
2.56000000E+02	2.09272086E-02	
2.58000000E+02	2.10963121E-02	
2.60000000E+02	2.12398226E-02	
2.62000000E+02	2.13574256E-02	
2.64000000E+02	2.14490207E-02	
2.66000000E+02	2.15143870E-02	
2.68000000E+02	2.15536944E-02	
2.70000000E+02	2.15666316E-02	
2.72000000E+02	2.15533516E-02	
2.74000000E+02	2.15137571E-02	
2.76000000E+02	2.14479684E-02	
2.78000000E+02	2.13561163E-02	
2.80000000E+02	2.12381961E-02	
2.82000000E+02	2.10944103E-02	
2.84000000E+02	2.09249261E-02	
2.86000000E+02	2.07299055E-02	
2.88000000E+02	2.05096633E-02	
2.90000000E+02	2.02644398E-02	
2.92000000E+02	1.99944910E-02	
2.94000000E+02	1.97002495E-02	
2.96000000E+02	1.93819858E-02	
2.98000000E+02	1.90400039E-02	
3.00000000E+02	1.86749588E-02	
3.02000000E+02	1.82870961E-02	
3.04000000E+02	1.78769535E-02	
3.06000000E+02	1.74450395E-02	
3.08000000E+02	1.69919026E-02	
3.10000000E+02	1.65180044E-02	
3.12000000E+02	1.60240450E-02	
3.14000000E+02	1.55105128E-02	
3.16000000E+02	1.49780995E-02	
3.18000000E+02	1.44274464E-02	
3.20000000E+02	1.38591923E-02	
3.22000000E+02	1.32740672E-02	
3.24000000E+02	1.26727811E-02	
3.26000000E+02	1.20560471E-02	
3.28000000E+02	1.14246509E-02	
3.30000000E+02	1.07793208E-02	
3.32000000E+02	1.01208345E-02	
3.34000000E+02	9.45000057E-03	
3.36000000E+02	8.76769583E-03	
3.38000000E+02	8.07467849E-03	
3.40000000E+02	7.37185890E-03	
3.42000000E+02	6.66003934E-03	
3.44000000E+02	5.94010335E-03	
3.46000000E+02	5.21294478E-03	
3.48000000E+02	4.47941080E-03	
3.50000000E+02	3.74043755E-03	
3.52000000E+02	2.99691903E-03	
3.54000000E+02	2.24973594E-03	
3.56000000E+02	1.49983219E-03	
3.58000000E+02	7.48167973E-04	
3.60000000E+02	1.68072902E-05	
