Far field
"Plane Wave Phi"[deg]	"FarField1 [V]"	
3.32000000E+02	3.52786170E-02	
3.34000000E+02	4.59223453E-02	
3.36000000E+02	5.89314314E-02	
3.38000000E+02	6.82686918E-02	
3.40000000E+02	6.93607557E-02	
3.42000000E+02	5.92786026E-02	
3.44000000E+02	3.88634870E-02	
3.46000000E+02	3.15301456E-02	
3.48000000E+02	7.15611264E-02	
3.50000000E+02	1.29178988E-01	
3.52000000E+02	1.90953514E-01	
3.54000000E+02	2.49072042E-01	
3.56000000E+02	2.96565287E-01	
3.58000000E+02	3.27644498E-01	
3.60000000E+02	3.38452260E-01	
