"Freq [GHz]","re(Z(1,1)) []","im(Z(1,1)) []"
7.9,13.6792522726496,59.1634793914762
7.9084,13.3990753110799,59.6424227747572
7.9168,13.1243952249094,60.1171823057462
7.9252,12.8550989845418,60.5878524251291
7.9336,12.5910766396568,61.05452706505
7.942,12.3322212328419,61.5172997113367
7.9504,12.0784287169991,61.9762634677336
7.9588,11.8295978764253,62.4315111223055
7.9672,11.5856302514769,62.8831352161887
7.9756,11.3464300667388,63.3312281148851
7.984,11.1119041626259,63.7758820823108
7.9924,10.8819619303572,64.2171893578309
8.0008,10.6565152502527,64.6552422365366
8.0092,10.4354784333136,65.0901331530389
8.0176,10.2187681660562,65.521954769085
8.026,10.0063034585847,65.950800065326
8.0344,9.79800559589769,66.3767624376
8.0428,9.59379809243639,66.7999357981263
8.0512,9.39360664989885,67.2204146820452
8.0596,9.19735911835649,67.638294359778
8.068,9.00498546072757,68.0536709557301
8.0764,8.81641772067934,68.4666415739095
8.0848,8.63158999404937,68.8773044310882
8.0932,8.45043840389902,69.2857589982017
8.1016,8.27290107933408,69.6921061507447
8.11,8.09891813825479,70.096448329006
8.1184,7.928431674226,70.4988897090669
8.1268,7.76138574769013,70.8995363855895
8.1352,7.597726381783,71.2984965675261
8.1436,7.43740156305267,71.695880788005
8.152,7.28036124742793,72.091802129787
8.1604,7.12655737183505,72.4863764678355
8.1688,6.97594387192211,72.8797227307248
8.1772,6.82847670641596,73.2719631827996
8.1856,6.68411388871607,73.6632237292254
8.194,6.54281552641692,74.0536342463208
8.2024,6.40454386955337,74.4433289398416
8.2108,6.26926336847913,74.8324467342195
8.2192,6.1369407424256,75.2211316961175
8.2276,6.00754505994294,75.6095334960911
8.236,5.88104783260802,75.9978079126208
8.2444,5.757423123594,76.3861173833324
8.2528,5.63664767294359,76.7746316088537
8.2612,5.51870104167421,77.1635282154799
8.2696,5.40356577718186,77.5529934836589
8.278,5.2912276028067,77.9432231502687
8.2864,5.18167563488941,78.3344232937851
8.2948,5.07490263120186,78.7268113127255
8.3032,4.97090527528832,79.120617009274
8.3116,4.86968450203328,79.5160837917447
8.32,4.77124587070051,79.9134700116063
8.3284,4.67559999279905,80.3130504531962
8.3368,4.58276302346684,80.7151179971001
8.3452,4.49275722666915,81.1199854815099
8.3536,4.40561162645441,81.5279877898383
8.362,4.32136275886711,81.9394841975604
8.3704,4.24005554199171,82.3548610168447
8.3788,4.16174428511518,82.7745345842095
8.3872,4.08649386231188,83.1989546444442
8.3956,4.01438108107673,83.6286081936528
8.404,3.94549628322757,84.0640238558953
8.4124,3.8799452235055,84.5057768819788
8.4208,3.81785128156865,84.954494876076
8.4292,3.75935807598212,85.4108643767764
8.4376,3.7046325651194,85.8756384448568
8.446,3.65386874062351,86.3496454417107
8.4544,3.60729204557931,86.8337992215808
8.4628,3.56516468364031,87.3291110095304
8.4712,3.52779202948269,87.8367032981168
8.4796,3.49553040847481,88.3578261724717
8.488,3.46879658894712,88.8938765705235
8.4964,3.44807943028536,89.4464211084775
8.5048,3.43395426315926,90.0172232594894
8.5132,3.42710075708757,90.6082758765831
8.5216,3.42832527313667,91.2218403139242
8.53,3.43858903163726,91.8604937435058
8.5384,3.45904388393471,92.5271867143902
8.5468,3.4910781187187,93.225313596402
8.5552,3.5363756400113,93.9587993415279
8.5636,3.59699315037057,94.7322070565119
8.572,3.67546185094742,95.5508723100983
8.5804,3.77492292819826,96.4210720391184
8.5888,3.89931020771706,97.3502385659677
8.5972,4.05359957939031,98.3472328684369
8.6056,4.24415438225664,99.4226962216959
8.614,4.47921096798492,100.589506145106
8.6224,4.76957270076505,101.863371811665
8.6308,5.1296199172916,103.263616256513
8.6392,5.57880897743663,104.814207900985
8.6476,6.14394583789443,106.545120290919
8.656,6.86271679407716,108.494109080738
8.6644,7.78931468761558,110.708975509513
8.6728,9.00365752152931,113.25026643454
8.6812,10.6269462041123,116.193942386576
8.6896,12.8487199806894,119.632246482093
8.698,15.9752063503139,123.667105210105
8.7064,20.5171388970447,128.378641800677
8.7148,27.3463724858539,133.715655820231
8.7232,37.9392401203294,139.148346184812
8.7316,54.5168177140787,142.651427633162
8.74,78.6964857801502,138.382456617354
8.7484,104.362563540812,115.890398917253
8.7568,110.535485547329,75.7888808561166
8.7652,89.8481676121628,44.2425482635873
8.7736,63.2449032919116,33.8244018861421
8.782,43.4240467753995,35.2984409124943
8.7904,30.6011805833234,40.482046250022
8.7988,22.4109095779132,46.1149365469222
8.8072,17.0412052579644,51.2404207824427
8.8156,13.3964735690475,55.6833870878083
8.824,10.8386789921616,59.4979017434184
8.8324,8.99102919964094,62.7892203023474
8.8408,7.62470160197161,65.6606607326405
8.8492,6.59666265812065,68.2005886777047
8.8576,5.81539412299483,70.4818063282046
8.866,5.22167697157069,72.5643578021738
8.8744,4.77771951108361,74.4989372436896
8.8828,4.46118997867292,76.3301484899219
8.8912,4.26249446620744,78.0995580379912
8.8996,4.18475639948954,79.8487076475964
8.908,4.24694246708,81.622275185133
8.9164,4.49198496513735,83.4713231455475
8.9248,5.00449205789103,85.4554114897086
8.9332,5.94858761093731,87.6376308383846
8.9416,7.64821373510394,90.0476577941547
8.95,10.7392044531605,92.5127221718974
8.9584,16.2626905758732,94.00639726961
8.9668,24.2617453544652,91.1335696092231
8.9752,28.3953076921188,80.8675711438202
8.9836,22.9178778190112,71.8110416651751
8.992,15.493420398579,69.8003137405628
9.0004,10.5209249884176,71.0682734265172
9.0088,7.56560698202284,73.009777021128
9.0172,5.76789981942581,74.8693117982136
9.0256,4.61560871095342,76.5036132135495
9.034,3.83749439458809,77.9218872980531
9.0424,3.2877081405666,79.162115460139
9.0508,2.8842806559247,80.261007010511
9.0592,2.57888309848431,81.2482580045779
9.0676,2.34171775075173,82.1467856298528
9.076,2.1536644274571,82.974119884855
9.0844,2.0020160495821,83.743744250001
9.0928,1.87806379256386,84.4661491871426
9.1012,1.77567587214704,85.1496108601706
9.1096,1.69043153525765,85.800756270619
9.118,1.61907667886662,86.4249728784451
9.1264,1.55917200198018,87.0267074626064
9.1348,1.50885989663384,87.6096864643223
9.1432,1.46670658244886,88.1770804971735
9.1516,1.43159312712417,88.7316288962267
9.16,1.40263897735412,89.2757354504196
9.1684,1.37914759856542,89.811543208857
9.1768,1.36056748873815,90.3409940136816
9.1852,1.34646413761949,90.8658768683395
9.1936,1.33649998848439,91.3878681817204
9.202,1.33042044223723,91.9085661889805
9.2104,1.3280446138581,92.4295213407716
9.2188,1.32926002715958,92.9522641089362
9.2272,1.33402079148398,93.4783314356637
9.2356,1.34234909482758,94.0092929272407
9.244,1.35434010988704,94.5467778465492
9.2524,1.37017067436968,95.0925039823955
9.2608,1.39011240556427,95.6483095674202
9.2692,1.41455027702905,96.2161895847618
9.2776,1.44400816805138,96.7983380578343
9.286,1.47918355831367,97.3971982749709
9.2944,1.52099447516595,98.0155233854789
9.3028,1.57064315206315,98.656450446739
9.3112,1.629702846056,99.32359183906
9.3196,1.70023724067346,100.021149029709
9.328,1.78496639220117,100.75405497316
9.3364,1.88750018343218,101.528152928861
9.3448,2.01267125710762,102.350420936979
9.3532,2.16701698233949,103.229251977051
9.3616,2.35948854509379,104.174798327888
9.37,2.60251229894086,105.199380959236
9.3784,2.91360711943058,106.317941721453
9.3868,3.31789404319748,107.548455963357
9.3952,3.85205786377292,108.912074455506
9.4036,4.57068906252216,110.432402387095
9.412,5.556500687755,112.132450402923
9.4204,6.93659626613258,114.025688244963
9.4288,8.90694484926157,116.092639701325
9.4372,11.7625999432834,118.22335047325
9.4456,15.9072016224002,120.086336368217
9.454,21.7298366650513,120.879030293829
9.4624,29.0541219401903,119.080757488647
9.4708,35.9993745877804,113.029030624837
9.4792,38.9815858418405,103.347023239104
9.4876,36.3668614179949,94.0234646099888
9.496,30.5590980543647,88.2710591834551
9.5044,24.5423606089601,86.0193994772174
9.5128,19.6024039460883,85.8754594880057
9.5212,15.8654184171274,86.7301996124953
9.5296,13.0966347899795,87.9784578872584
9.538,11.0362113079246,89.3352497849286
