"Freq [GHz]","re(Z(1,1)) []","im(Z(1,1)) []"
0.29,0.117390336381206,6.55231082330627
0.29362,0.121177898819692,6.68120038076016
0.29724,0.125209323173782,6.81371538194333
0.30086,0.129510589553804,6.95012591418313
0.30448,0.134110991822299,7.0907299088481
0.3081,0.139043681742423,7.23585688410293
0.31172,0.144346320071094,7.38587231217126
0.31534,0.150061859523758,7.54118273673586
0.31896,0.156239491287702,7.70224179590186
0.32258,0.162935795608541,7.86955734414813
0.3262,0.170216148662265,8.04369991547957
0.32982,0.178156453489497,8.22531283308702
0.33344,0.18684528367395,8.41512435303628
0.33706,0.196386556782451,8.61396233750656
0.34068,0.206902893364619,8.82277209618549
0.3443,0.218539870935927,9.04263822573809
0.34792,0.231471457341666,9.27481153554627
0.35154,0.245907013963045,9.52074250024241
0.35516,0.262100411177715,9.78212316554749
0.35878,0.280362019158607,10.0609401123129
0.3624,0.301074662294402,10.3595420428494
0.36602,0.324715112412152,10.6807269287293
0.36964,0.351883437628251,11.0278556603526
0.37326,0.383343674700403,11.4050020983731
0.37688,0.420081116182409,11.8171538830738
0.3805,0.46338445800909,12.2704851973299
0.38412,0.514965960106546,12.772733402156
0.38774,0.577141150469559,13.3337286742395
0.39136,0.6531043534956,13.9661541207084
0.39498,0.747363205745161,14.6866618946065
0.3986,0.866446267358307,15.5175549366074
0.40222,1.0200987861017,16.4893965712206
0.40584,1.22339224886877,17.6451985133853
0.40946,1.50063971779129,19.0474079684139
0.41308,1.89311741904679,20.7901007018564
0.4167,2.4754605692483,23.0213961257221
0.42032,3.39382665395277,25.9871827623204
0.42394,4.96574640535935,30.121959069811
0.42756,7.98450879452205,36.2462533574401
0.43118,14.8546133309465,45.9479007094775
0.4348,34.9305542525556,60.9060492279598
0.43842,99.2925865683414,50.6053454707948
0.44204,80.9670798805647,-47.6295666128761
0.44566,27.8870906861772,-42.6141473909946
0.44928,12.417436385893,-28.396596360794
0.4529,6.8649926328692,-19.5062763295215
0.45652,4.35342931485112,-13.8015998912908
0.46014,3.03034263697655,-9.86568545972119
0.46376,2.25944719981087,-6.97359761895854
0.46738,1.77914427060345,-4.73611808419787
0.471,1.46715598178329,-2.92875726413454
0.47462,1.26085205351521,-1.41293713576608
0.47824,1.12615135293809,-0.0974882789311009
0.48186,1.04405040086432,1.08155331025699
0.48548,1.00439466225186,2.17240018171863
0.4891,1.00301456593439,3.21465872797254
0.49272,1.0407229778889,4.2444512671594
0.49634,1.12372576335996,5.2989213934226
0.49996,1.2657178610559,6.42131806657523
0.50358,1.4929209461708,7.66818443766045
0.5072,1.8555303734681,9.12127398715883
0.51082,2.45530641784679,10.9093399364232
0.51444,3.51978473910405,13.2495943195764
0.51806,5.63396242675395,16.5168680623803
0.52168,10.6018450975316,21.1947639184168
0.5253,24.6642417007831,25.1360722202586
0.52892,46.0640285743054,1.92004285799131
0.53254,22.8892464178566,-20.2109692228354
0.53616,8.80950239770654,-14.9634595001381
0.53978,4.16615505401061,-9.71084187304005
0.5434,2.30822950933558,-6.1582043456206
0.54702,1.43185756743469,-3.62682076067935
0.55064,0.985433813931023,-1.66054056296129
0.55426,0.775914685086319,0.00936500201210209
0.55788,0.747438725190992,1.56548875189791
0.5615,0.935693946963828,3.16615489550262
0.56512,1.51754759992397,4.98289278867755
0.56874,3.0367729131444,7.15526224237936
0.57236,6.97388529871614,9.03726630070004
0.57598,13.5244882186459,5.69082680646752
0.5796,12.2226496921598,-2.40611741534442
0.58322,7.21597339012941,-4.13508408732111
0.58684,4.41673834864201,-3.2836938744651
0.59046,2.99012769152642,-2.21937592865475
0.59408,2.19342062969214,-1.31024728764595
0.5977,1.70500724728072,-0.564275622432469
0.60132,1.38250289958067,0.0545585963111703
0.60494,1.15697939449334,0.578273674406944
0.60856,0.992081031996057,1.0302871336032
0.61218,0.867189449758958,1.42721057337149
0.6158,0.769888190128753,1.78091590713156
0.61942,0.692318843051495,2.10004403323855
0.62304,0.62929685531557,2.39101617734034
0.62666,0.577279754219009,2.65870251338407
0.63028,0.533773733761962,2.90686796646931
0.6339,0.496977633445365,3.13847434367129
0.63752,0.465561373265881,3.35588898862987
0.64114,0.43852358272807,3.56103167113589
0.64476,0.415097505504007,3.75547994055227
0.64838,0.394687239036521,3.94054604472896
0.652,0.376823555835946,4.1173340481757
0.65562,0.36113267126363,4.28678294218346
0.65924,0.347313754463017,4.44969970441185
0.66286,0.335122454309453,4.6067850615283
0.66648,0.324358628380514,4.75865390746964
0.6701,0.314857043032692,4.90585179093623
0.67372,0.306480184901311,5.04886852089129
0.67734,0.299112563456007,5.18814969279079
0.68096,0.292656034500061,5.32410677622179
0.68458,0.287025760345621,5.45712630515686
0.6882,0.282146455299298,5.58757866283725
0.69182,0.277948545635728,5.71582694868997
0.69544,0.274363790305352,5.84223645406962
0.69906,0.271319735041862,5.96718536017733
0.70268,0.268732055334441,6.09107740989426
0.7063,0.266493285059423,6.21435749547344
0.70992,0.26445544854007,6.3375313245606
0.71354,0.262402386976765,6.46119048933108
0.71716,0.260004496499372,6.58604409124874
0.72078,0.256743093568088,6.71295678465251
