f/Hz	Re{Y}/µS	Im{Y}/µS	Re{Z}/mOhm	Im{Z}/mOhm
12381000	11	224	221393	-4447681
12391000	14	226	263065	-4405323
12401000	13	225	249273	-4435181
12411000	13	226	261045	-4412952
12421000	13	226	257288	-4417122
12431000	11	225	212596	-4436527
12441000	12	229	221447	-4349102
12451000	12	227	235520	-4395380
12461000	13	228	247910	-4374114
12471000	13	228	243215	-4376215
12481000	13	229	249869	-4354403
12491000	13	229	250153	-4357874
12501000	11	231	202778	-4310482
12511000	13	230	254263	-4339955
12521000	12	230	223833	-4335065
12531000	11	232	210646	-4302633
12541000	13	231	236648	-4321639
12551000	12	233	212610	-4283436
12561000	11	231	196577	-4314337
12571000	13	231	234850	-4307372
12581000	15	232	273477	-4298971
12591000	13	231	233705	-4317597
12601000	12	233	215349	-4282666
12611000	13	234	227535	-4260252
12621000	14	233	255528	-4275614
12631000	11	235	197747	-4254512
12641000	13	235	229857	-4243612
12651000	12	233	212608	-4276367
12661000	12	236	207603	-4218621
12671000	13	235	229767	-4234534
12681000	10	235	188702	-4251507
12691000	12	237	211765	-4207127
12701000	11	235	198292	-4237452
12711000	11	236	191963	-4236693
12721000	12	236	221948	-4226699
12731000	14	235	244721	-4245095
12741000	11	236	195004	-4226496
12751000	11	239	190290	-4169851
12761000	10	236	186134	-4235007
12771000	13	237	231908	-4201906
12781000	11	238	202778	-4195861
12791000	13	240	223367	-4151090
12801000	13	240	217497	-4152855
12811000	11	241	187589	-4145686
12821000	12	240	208737	-4159811
12831000	11	242	195689	-4125729
12841000	13	241	219040	-4142504
12851000	12	243	205687	-4111923
12861000	13	244	214445	-4092360
12871000	13	244	212538	-4094730
12881000	14	246	227221	-4050470
12891000	13	248	211776	-4021568
12901000	14	247	235706	-4035123
12911000	15	248	241889	-4015707
12921000	15	248	241257	-4017767
12931000	16	247	262463	-4032038
12941000	15	249	246241	-4005466
12951000	14	249	219681	-3998372
12961000	16	251	257083	-3965454
12971000	15	253	240952	-3937384
12981000	16	251	249998	-3974601
12991000	17	255	253533	-3901179
13001000	17	255	253970	-3905816
13011000	18	254	272731	-3921071
13021000	18	257	266229	-3871122
13031000	18	255	279996	-3902002
13041000	17	256	252239	-3893146
13051000	16	256	249287	-3895350
13061000	17	260	252555	-3825655
13071000	16	259	241910	-3850097
13081000	17	256	250511	-3884534
13091000	16	260	241277	-3837010
13101000	16	259	239582	-3842954
13111000	17	261	242179	-3823137
13121000	17	262	249908	-3807156
13131000	18	260	268680	-3820235
13141000	17	261	241797	-3814524
13151000	17	262	247507	-3797212
13161000	18	260	258326	-3830264
13171000	18	263	255224	-3784529
13181000	19	262	273175	-3796906
13191000	16	261	238945	-3813365
13201000	18	262	264916	-3803176
13211000	15	263	220271	-3789719
13221000	17	262	239995	-3803819
13231000	16	264	224926	-3778794
13241000	16	261	233710	-3812486
13251000	14	264	199572	-3774495
13261000	16	265	226440	-3765847
13271000	17	267	233489	-3726340
13281000	18	265	249069	-3758946
13291000	17	271	232654	-3680504
13301000	18	270	249725	-3693327
13311000	19	271	252889	-3675549
13321000	18	273	240451	-3651832
13331000	17	271	230871	-3675222
13341000	20	273	265547	-3648466
13351000	20	274	267157	-3630181
13361000	20	275	268075	-3611642
13371000	20	274	259081	-3634710
13381000	19	275	247523	-3612961
13391000	21	280	266389	-3557658
13401000	21	279	263278	-3559907
13411000	22	278	280942	-3570658
13421000	20	279	261073	-3566203
13431000	21	282	267496	-3531957
13441000	25	283	311997	-3509404
13451000	22	286	262447	-3475688
13461000	22	284	273420	-3503908
13471000	22	284	266205	-3505929
13481000	20	284	246207	-3502712
13491000	23	286	279257	-3477145
13501000	21	288	247438	-3451064
13511000	24	285	291067	-3488749
13521000	25	289	302523	-3436717
13531000	20	288	237119	-3456395
13541000	20	288	239852	-3457239
13551000	21	290	251036	-3425821
13561000	23	293	261152	-3392037
