f/Hz	Re{Y}/µS	Im{Y}/µS	Re{Z}/mOhm	Im{Z}/mOhm
1000	938460	-42889	1063	49
11000	771724	-329264	1096	468
21000	544550	-446926	1097	901
31000	369617	-445316	1104	1330
41000	257235	-407628	1107	1755
51000	185006	-362563	1117	2188
61000	137563	-324882	1105	2610
71000	106197	-289676	1116	3043
81000	83991	-261436	1114	3467
91000	68215	-237336	1119	3892
101000	56111	-216744	1119	4324
111000	47062	-199386	1121	4751
121000	40172	-184303	1129	5180
131000	34470	-171360	1128	5609
141000	30107	-160217	1133	6029
151000	26391	-150119	1136	6462
161000	23347	-141273	1139	6890
171000	20750	-133420	1138	7318
181000	18559	-126275	1139	7752
191000	16911	-120015	1151	8170
201000	15265	-114296	1148	8596
211000	13990	-109100	1156	9018
221000	12753	-104191	1157	9456
231000	11694	-99801	1158	9884
241000	10851	-95727	1169	10314
251000	9960	-92106	1160	10732
261000	9285	-88619	1169	11162
271000	8633	-85420	1171	11588
281000	8093	-82422	1180	12017
291000	7550	-79645	1180	12444
301000	7052	-77078	1177	12866
311000	6662	-74616	1187	13296
321000	6296	-72329	1194	13722
331000	5943	-70155	1199	14152
341000	5611	-68164	1200	14572
351000	5333	-66235	1208	15000
361000	5041	-64410	1208	15431
371000	4790	-62737	1210	15847
381000	4572	-61082	1219	16280
391000	4318	-59545	1211	16706
401000	4144	-58063	1223	17136
411000	3926	-56694	1216	17554
421000	3784	-55354	1229	17982
431000	3621	-54085	1232	18407
441000	3461	-52894	1232	18825
451000	3344	-51695	1246	19264
461000	3203	-50574	1247	19694
471000	3078	-49527	1250	20113
481000	2959	-48508	1253	20539
491000	2836	-47527	1251	20966
501000	2745	-46615	1259	21378
511000	2630	-45690	1256	21815
521000	2535	-44842	1257	22229
531000	2480	-43995	1277	22658
541000	2380	-43175	1273	23091
551000	2314	-42406	1283	23511
561000	2232	-41646	1283	23943
571000	2163	-40929	1288	24365
581000	2090	-40213	1289	24800
591000	2023	-39543	1290	25223
601000	1962	-38889	1294	25649
611000	1928	-38266	1313	26067
621000	1860	-37660	1308	26489
631000	1800	-37059	1307	26920
641000	1754	-36476	1315	27352
651000	1703	-35912	1318	27783
661000	1663	-35383	1326	28200
671000	1610	-34863	1322	28622
681000	1578	-34366	1334	29037
691000	1533	-33870	1334	29465
701000	1492	-33391	1335	29888
711000	1461	-32923	1345	30314
721000	1424	-32451	1350	30757
731000	1395	-32017	1358	31175
741000	1344	-31593	1345	31595
751000	1325	-31185	1360	32009
761000	1291	-30778	1360	32433
771000	1267	-30384	1371	32855
781000	1240	-29997	1375	33280
791000	1215	-29608	1384	33717
801000	1192	-29250	1391	34131
811000	1154	-28891	1381	34557
821000	1126	-28542	1380	34981
831000	1106	-28193	1389	35415
841000	1083	-27880	1392	35814
851000	1074	-27540	1413	36256
861000	1050	-27212	1416	36693
871000	1018	-26915	1403	37101
881000	1007	-26603	1420	37535
891000	970	-26310	1400	37957
901000	961	-26022	1417	38376
911000	947	-25730	1429	38813
921000	932	-25454	1437	39233
931000	919	-25167	1449	39682
941000	895	-24923	1439	40073
951000	877	-24661	1440	40499
961000	868	-24406	1456	40922
971000	842	-24139	1444	41377
981000	835	-23897	1461	41795
991000	815	-23661	1454	42213
1001000	806	-23435	1466	42620
1011000	796	-23194	1479	43063
1021000	779	-22971	1474	43483
1031000	764	-22752	1473	43902
1041000	747	-22529	1471	44338
1051000	737	-22325	1477	44744
1061000	733	-22106	1498	45188
1071000	710	-21905	1479	45605
