Excitation
"Frequency"[Hz]	"VoltageSource1 [Ohm]"	
1.00000000E+3	-1.31870792E+4	
9.00350175E+3	-7.27986366E+2	
1.70070035E+4	-3.87936869E+2	
2.50105053E+4	-6.23183964E+2	
3.30140070E+4	-1.08580514E+2	
4.10175088E+4	5.42282471E+1	
4.90210105E+4	-3.81345209E+2	
5.70245123E+4	5.74006793E+1	
6.50280140E+4	-1.65331419E+2	
7.30315158E+4	-1.47061491E+2	
8.10350175E+4	-1.26880359E+2	
8.90385193E+4	-5.78755571E+1	
9.70420210E+4	-5.27457466E+1	
1.05045523E+5	-8.54562542E+1	
1.13049025E+5	-1.00015099E+2	
1.21052526E+5	-9.78808913E+1	
1.29056028E+5	-1.58676596E+1	
1.37059530E+5	-6.39520799E+0	
1.45063032E+5	-3.26422849E+1	
1.53066533E+5	-8.25113757E+1	
1.61070035E+5	-7.92040986E+1	
1.69073537E+5	-3.10082480E+1	
1.77077039E+5	-4.12457585E+1	
1.85080540E+5	-3.33325516E+1	
1.93084042E+5	-2.37281966E+1	
2.01087544E+5	-1.98787430E+1	
2.09091046E+5	-3.31565497E+1	
2.17094547E+5	-2.61095950E+1	
2.25098049E+5	3.81168645E+1	
2.33101551E+5	-1.53950978E+1	
2.41105053E+5	-2.32295937E+1	
2.49108554E+5	-3.46058844E+1	
2.57112056E+5	3.28426030E+1	
2.65115558E+5	9.99031207E+0	
2.73119060E+5	1.37683563E+1	
2.81122561E+5	1.57178755E+1	
2.89126063E+5	2.41296408E+1	
2.97129565E+5	6.79614632E+0	
3.05133067E+5	3.50506077E+1	
3.13136568E+5	1.57311123E+1	
3.21140070E+5	2.48597315E+1	
3.29143572E+5	8.91521334E+0	
3.37147074E+5	2.80626065E+1	
3.45150575E+5	1.22049031E+1	
3.53154077E+5	3.27330153E+1	
3.61157579E+5	1.80719921E+1	
3.69161081E+5	6.04607665E+0	
3.77164582E+5	3.53445803E+1	
3.85168084E+5	2.64833637E+1	
3.93171586E+5	2.44800046E+1	
4.01175088E+5	2.92494227E+1	
4.09178589E+5	1.61393575E+1	
4.17182091E+5	4.47228757E+1	
4.25185593E+5	5.90267842E+1	
4.33189095E+5	2.13184921E+1	
4.41192596E+5	2.90879778E+1	
4.49196098E+5	2.75694396E+1	
4.57199600E+5	4.74788301E+1	
4.65203102E+5	3.04042114E+1	
4.73206603E+5	4.83609255E+1	
4.81210105E+5	4.11216712E+1	
4.89213607E+5	6.12380890E+1	
4.97217109E+5	3.72864293E+1	
5.05220610E+5	5.58347579E+1	
5.13224112E+5	4.48731770E+1	
5.21227614E+5	4.14853626E+1	
5.29231116E+5	5.32913465E+1	
5.37234617E+5	4.42031738E+1	
5.45238119E+5	4.36180896E+1	
5.53241621E+5	5.34997987E+1	
5.61245123E+5	4.86905147E+1	
5.69248624E+5	5.97505467E+1	
5.77252126E+5	6.59020557E+1	
5.85255628E+5	5.77259754E+1	
5.93259130E+5	5.87637181E+1	
6.01262631E+5	5.49069065E+1	
6.09266133E+5	6.24903748E+1	
6.17269635E+5	6.12271417E+1	
6.25273137E+5	7.88817289E+1	
6.33276638E+5	5.90197251E+1	
6.41280140E+5	7.29354283E+1	
6.49283642E+5	6.99910898E+1	
6.57287144E+5	7.06969250E+1	
6.65290645E+5	7.22775274E+1	
6.73294147E+5	7.00566613E+1	
6.81297649E+5	6.69613716E+1	
6.89301151E+5	7.05840815E+1	
6.97304652E+5	7.66091993E+1	
7.05308154E+5	7.08028896E+1	
7.13311656E+5	7.67421830E+1	
7.21315158E+5	7.44083926E+1	
7.29318659E+5	7.95905970E+1	
7.37322161E+5	8.86085293E+1	
7.45325663E+5	9.87266405E+1	
7.53329165E+5	7.59209071E+1	
7.61332666E+5	8.01277576E+1	
