Excitation
"Frequency"[Hz]	"VoltageSource1 [Ohm]"	
7.16833667E+03	2.18881744E+02	
7.20641283E+03	-9.40914313E+01	
7.24448898E+03	3.12287968E+02	
7.28256513E+03	4.66566524E+02	
7.32064128E+03	-6.24889734E+02	
7.35871743E+03	6.20857471E+02	
7.39679359E+03	-8.41938818E+02	
7.43486974E+03	-3.65084587E+02	
7.47294589E+03	-2.92514445E+02	
7.51102204E+03	3.28152475E+02	
7.54909820E+03	-5.92106507E+02	
7.58717435E+03	9.66818555E+02	
7.62525050E+03	1.07454474E+03	
7.66332665E+03	7.11619450E+02	
7.70140281E+03	1.49353274E+03	
7.73947896E+03	1.64534403E+02	
7.77755511E+03	1.18146479E+02	
7.81563126E+03	1.25454537E+03	
7.85370741E+03	-8.17832876E+01	
7.89178357E+03	1.32736952E+03	
7.92985972E+03	-3.12154011E+02	
7.96793587E+03	3.57886827E+02	
8.00601202E+03	-4.92576846E+02	
8.04408818E+03	8.72452165E+02	
8.08216433E+03	-1.09968852E+03	
8.12024048E+03	-3.75443006E+02	
8.15831663E+03	4.75165307E+02	
8.19639279E+03	-8.60479681E+02	
8.23446894E+03	-1.54662357E+01	
8.27254509E+03	-8.75899326E+02	
8.31062124E+03	5.46106031E+02	
8.34869739E+03	-1.89977489E+02	
8.38677355E+03	6.96860793E+02	
8.42484970E+03	-5.66348595E+02	
8.46292585E+03	-1.07908474E+03	
8.50100200E+03	-2.82516138E+02	
8.53907816E+03	4.47043590E+02	
8.57715431E+03	-1.74832094E+02	
8.61523046E+03	-2.34059363E+02	
8.65330661E+03	-2.91965740E+01	
8.69138277E+03	5.54135856E+02	
8.72945892E+03	-2.16501199E+02	
8.76753507E+03	-2.75824192E+02	
8.80561122E+03	1.86203255E+02	
8.84368737E+03	4.91880519E+02	
8.88176353E+03	1.81304553E+02	
8.91983968E+03	8.49611619E+02	
8.95791583E+03	1.40772063E+03	
8.99599198E+03	5.90326403E+02	
9.03406814E+03	6.50497629E+02	
9.07214429E+03	-5.93976744E+02	
9.11022044E+03	7.35402341E+02	
9.14829659E+03	4.91391117E+02	
9.18637275E+03	-8.95031832E+01	
9.22444890E+03	-1.18222088E+02	
9.26252505E+03	-2.27904079E+02	
9.30060120E+03	-5.15850908E+01	
9.33867735E+03	-3.45884042E+02	
9.37675351E+03	-8.71703723E+01	
9.41482966E+03	9.84234785E+02	
9.45290581E+03	-1.61314386E+02	
9.49098196E+03	8.74619765E+02	
9.52905812E+03	-6.16872298E+02	
9.56713427E+03	8.24575487E+02	
9.60521042E+03	3.94047175E+02	
9.64328657E+03	3.52196228E+02	
9.68136273E+03	7.58629270E+02	
9.71943888E+03	6.03148374E+01	
9.75751503E+03	-1.92182021E+02	
9.79559118E+03	1.85212206E+01	
9.83366733E+03	4.64090377E+02	
9.87174349E+03	-1.47645827E+02	
9.90981964E+03	-7.34284244E+02	
9.94789579E+03	7.60033652E+02	
9.98597194E+03	-1.33606681E+02	
1.00240481E+04	-3.77766535E+01	
1.00621242E+04	7.40443336E+02	
1.01002004E+04	-3.69644145E+02	
1.01382766E+04	4.23006357E+02	
1.01763527E+04	4.07206482E+02	
1.02144289E+04	7.85137027E+01	
1.02525050E+04	-4.48516478E+01	
1.02905812E+04	1.72292958E+02	
1.03286573E+04	-3.09027443E+02	
1.03667335E+04	-1.08699455E+02	
1.04048096E+04	6.52204042E+01	
1.04428858E+04	5.78380643E+02	
1.04809619E+04	-9.50530814E+01	
1.05190381E+04	6.31223735E+02	
1.05571142E+04	4.17445030E+02	
1.05951904E+04	-2.69027566E+02	
1.06332665E+04	-3.44756850E+02	
1.06713427E+04	8.14188970E+02	
1.07094188E+04	3.48301687E+02	
1.07474950E+04	1.27858267E+01	
1.07855711E+04	-4.71669985E+02	
1.08236473E+04	3.86905482E+02	
1.08617234E+04	2.23391719E+02	
1.08997996E+04	-2.23060309E+02	
1.09378758E+04	-1.88477234E+02	
1.09759519E+04	6.36748233E+01	
1.10140281E+04	6.35643137E+02	
1.10521042E+04	-1.23773762E+02	
1.10901804E+04	-9.75053111E+01	
1.11282565E+04	3.68803867E+02	
1.11663327E+04	3.20811645E+02	
1.12044088E+04	5.84860035E+02	
1.12424850E+04	3.91257281E+02	
1.12805611E+04	5.84218769E+01	
1.13186373E+04	-2.99621130E+02	
1.13567134E+04	1.23224013E+01	
1.13947896E+04	1.13719178E+02	
1.14328657E+04	4.42718214E+02	
1.14709419E+04	-8.96784657E+01	
1.15090180E+04	-1.06267122E+02	
1.15470942E+04	-7.46999874E+01	
1.15851703E+04	4.65261068E+01	
1.16232465E+04	6.73923965E+02	
1.16613226E+04	2.42300404E+01	
1.16993988E+04	1.35376746E+02	
1.17374749E+04	-5.90496324E+00	
1.17755511E+04	1.28659919E+02	
1.18136273E+04	3.94943283E+02	
1.18517034E+04	-4.52389967E+02	
1.18897796E+04	-3.61608844E+02	
1.19278557E+04	-5.09240542E+02	
1.19659319E+04	5.73932459E+02	
1.20040080E+04	2.80038764E+02	
1.20420842E+04	2.26111167E+02	
1.20801603E+04	-2.24454137E+02	
1.21182365E+04	-4.10361878E+02	
1.21563126E+04	9.23305744E+01	
1.21943888E+04	2.74342570E+02	
1.22324649E+04	1.15464860E+02	
1.22705411E+04	-2.01910879E+01	
1.23086172E+04	-1.77999449E+02	
1.23466934E+04	-4.07876560E+02	
1.23847695E+04	-3.17187045E+02	
1.24228457E+04	-3.36911417E+02	
1.24609218E+04	4.18617805E+02	
1.24989980E+04	4.21511818E+02	
1.25370741E+04	-3.56099901E+02	
1.25751503E+04	-5.30483357E+02	
1.26132265E+04	-1.11871485E+02	
1.26513026E+04	-2.29758018E+02	
1.26893788E+04	1.21380857E+02	
1.27274549E+04	-1.63628437E+02	
1.27655311E+04	2.78474036E+02	
1.28036072E+04	1.24246262E+02	
1.28416834E+04	4.66621424E+02	
1.28797595E+04	3.97172818E+02	
1.29178357E+04	1.08942894E+02	
1.29559118E+04	-1.41852974E+02	
1.29939880E+04	1.12353204E+02	
1.30320641E+04	1.00076742E+02	
1.30701403E+04	5.45789622E+01	
1.31082164E+04	-4.98241839E+01	
1.31462926E+04	4.75756359E+02	
1.31843687E+04	-8.14239305E+01	
1.32224449E+04	-4.74130556E+02	
1.32605210E+04	3.43758700E+02	
1.32985972E+04	-1.20758384E+02	
1.33366733E+04	-2.32788362E+02	
1.33747495E+04	-1.08861161E+02	
1.34128257E+04	5.06520581E+02	
1.34509018E+04	4.13317469E+01	
1.34889780E+04	-6.87933119E+01	
1.35270541E+04	-1.91299281E+02	
1.35651303E+04	-5.89074934E+00	
1.36032064E+04	-6.16385955E+02	
1.36412826E+04	-1.46262253E+02	
1.36793587E+04	3.03079928E+02	
1.37174349E+04	-2.40473766E+02	
1.37555110E+04	5.82895362E+02	
1.37935872E+04	-7.55144825E+02	
1.38316633E+04	6.49445549E+01	
1.38697395E+04	1.50414478E+02	
1.39078156E+04	1.22881290E+02	
1.39458918E+04	1.35320430E+02	
1.39839679E+04	5.48127642E+02	
1.40220441E+04	-3.62263916E+00	
1.40601202E+04	4.25656122E+02	
1.40981964E+04	1.99702806E+01	
1.41362725E+04	8.82525406E+01	
1.41743487E+04	-1.04616564E+02	
1.42124248E+04	-1.24430660E+02	
1.42505010E+04	2.14345426E+02	
1.42885772E+04	2.56534976E+02	
1.43266533E+04	1.39807070E+02	
1.43647295E+04	-1.86964744E+02	
1.44028056E+04	7.09635109E+02	
1.44408818E+04	5.21488063E+02	
1.44789579E+04	-8.02733957E+02	
1.45170341E+04	4.14393107E-01	
1.45551102E+04	1.87736967E+01	
1.45931864E+04	7.03297357E+01	
1.46312625E+04	-7.54435990E+01	
1.46693387E+04	3.07521017E+02	
1.47074148E+04	-3.33818352E+02	
1.47454910E+04	-6.09586199E+01	
1.47835671E+04	4.84170970E+02	
1.48216433E+04	1.75572520E+00	
1.48597194E+04	3.42073194E+02	
1.48977956E+04	-4.26632917E+02	
1.49358717E+04	2.38246320E+02	
1.49739479E+04	-1.56448623E+02	
1.50120240E+04	4.00436047E+02	
1.50501002E+04	-2.39634844E+02	
1.50881764E+04	7.16819317E+02	
1.51262525E+04	1.09764547E+02	
1.51643287E+04	-1.46051174E+02	
1.52024048E+04	-4.16796810E+02	
1.52404810E+04	2.18327553E+02	
1.52785571E+04	3.20476428E+02	
1.53166333E+04	4.57287725E+02	
1.53547094E+04	-1.23847448E+02	
1.53927856E+04	2.78128453E+01	
1.54308617E+04	6.23919014E+02	
1.54689379E+04	-1.59940600E+02	
1.55070140E+04	-2.03359072E+01	
1.55450902E+04	-2.89846440E+02	
1.55831663E+04	1.99141309E+02	
1.56212425E+04	2.40452201E+02	
1.56593186E+04	-9.83552921E+01	
1.56973948E+04	5.79936407E+01	
1.57354709E+04	7.94706643E+01	
1.57735471E+04	6.61948844E+01	
1.58116232E+04	1.00259720E+02	
1.58496994E+04	2.07256262E+02	
1.58877756E+04	-3.27807133E+02	
1.59258517E+04	1.30381839E+02	
1.59639279E+04	-9.93953947E+01	
1.60020040E+04	-1.96691850E+02	
1.60400802E+04	2.93123890E+02	
1.60781563E+04	4.79328181E+02	
1.61162325E+04	1.15689025E+02	
1.61543086E+04	-3.52093076E+02	
1.61923848E+04	1.75072577E+01	
1.62304609E+04	-4.61314642E+02	
1.62685371E+04	3.40350938E+02	
1.63066132E+04	8.56769729E+01	
1.63446894E+04	3.22722952E+02	
1.63827655E+04	9.05074204E+01	
1.64208417E+04	4.65076028E+02	
1.64589178E+04	-5.56136642E+01	
1.64969940E+04	1.24368462E+02	
1.65350701E+04	2.05876969E+02	
1.65731463E+04	1.47069494E+02	
1.66112224E+04	1.36500924E+02	
1.66492986E+04	3.34788449E+01	
1.66873747E+04	2.17232901E+01	
1.67254509E+04	9.84909641E+00	
1.67635271E+04	4.57123229E+02	
1.68016032E+04	1.74590282E+02	
1.68396794E+04	-1.43891154E+01	
1.68777555E+04	3.93969050E+02	
1.69158317E+04	1.67611171E+02	
1.69539078E+04	3.38989147E+02	
1.69919840E+04	-5.48491483E+01	
1.70300601E+04	5.01447048E+02	
1.70681363E+04	2.03174551E+02	
1.71062124E+04	1.24807503E+02	
1.71442886E+04	1.13713795E+02	
1.71823647E+04	1.08400038E+02	
1.72204409E+04	-2.19274601E+02	
1.72585170E+04	2.81244069E+02	
1.72965932E+04	3.67010434E+02	
1.73346693E+04	3.43336476E+02	
1.73727455E+04	-3.17587070E+02	
1.74108216E+04	1.14076401E+02	
1.74488978E+04	-4.60191354E+02	
1.74869739E+04	-3.64925699E+02	
1.75250501E+04	-5.23568521E+02	
1.75631263E+04	1.31253507E+02	
1.76012024E+04	1.41131337E+02	
1.76392786E+04	6.87130957E+01	
1.76773547E+04	2.89146317E+00	
1.77154309E+04	-6.28402071E+02	
1.77535070E+04	1.49712616E+02	
1.77915832E+04	1.96300755E+02	
1.78296593E+04	-3.42206850E+02	
1.78677355E+04	-3.57597552E+02	
1.79058116E+04	3.12549637E+00	
1.79438878E+04	7.14630234E+02	
1.79819639E+04	4.20743416E+02	
1.80200401E+04	2.33414336E+02	
1.80581162E+04	5.68408077E+01	
1.80961924E+04	3.93017737E+02	
1.81342685E+04	-8.14170686E+01	
1.81723447E+04	1.10892486E+02	
1.82104208E+04	5.57426721E+01	
1.82484970E+04	3.18363054E+02	
1.82865731E+04	4.32716543E+02	
1.83246493E+04	3.88340885E+02	
1.83627255E+04	1.91921432E+02	
1.84008016E+04	4.06557783E+02	
1.84388778E+04	2.27014247E+02	
1.84769539E+04	-3.06818151E+01	
1.85150301E+04	-1.72579762E+02	
1.85531062E+04	6.44280079E+01	
1.85911824E+04	4.02970052E+01	
1.86292585E+04	-6.09081091E+01	
1.86673347E+04	5.59259206E+01	
1.87054108E+04	-2.18117449E+02	
1.87434870E+04	3.25248417E+02	
1.87815631E+04	1.82319097E+01	
1.88196393E+04	-9.46752278E+01	
1.88577154E+04	3.50418170E+02	
1.88957916E+04	-3.45195746E+02	
1.89338677E+04	-3.70990318E+02	
1.89719439E+04	-1.82935588E+01	
1.90100200E+04	1.89875110E+02	
1.90480962E+04	5.70366550E+02	
1.90861723E+04	-2.15658300E+02	
1.91242485E+04	-1.40391841E+02	
1.91623246E+04	1.92110900E+02	
1.92004008E+04	1.10688244E+01	
1.92384770E+04	-2.63997722E+02	
1.92765531E+04	-3.95681866E+02	
1.93146293E+04	1.41671854E+02	
1.93527054E+04	2.20137573E+02	
1.93907816E+04	1.56220588E+02	
1.94288577E+04	-2.37363021E+02	
1.94669339E+04	-6.23146925E+02	
1.95050100E+04	1.62629049E+02	
1.95430862E+04	-1.87700873E+02	
1.95811623E+04	1.50412972E+02	
1.96192385E+04	2.36396458E+02	
1.96573146E+04	-4.12739552E+02	
1.96953908E+04	2.85052497E+02	
1.97334669E+04	4.25823827E+02	
1.97715431E+04	-2.34564217E+02	
1.98096192E+04	-2.20163274E+01	
1.98476954E+04	-1.11778800E+02	
1.98857715E+04	-1.45038783E+02	
1.99238477E+04	2.12691134E+02	
1.99619238E+04	1.72625615E+02	
2.00000000E+04	2.48095889E+02	
