Excitation
"Frequency"[Hz]	"VoltageSource1 [Ohm]"	
1.01660000E+7	1.69727579E+2	
1.01670000E+7	1.69628212E+2	
1.01680000E+7	1.69729899E+2	
1.01690000E+7	1.69544406E+2	
1.01700000E+7	1.69797568E+2	
1.01710000E+7	1.69678957E+2	
1.01720000E+7	1.69703206E+2	
1.01730000E+7	1.69818322E+2	
1.01740000E+7	1.69884560E+2	
1.01750000E+7	1.69923114E+2	
1.01760000E+7	1.69867828E+2	
1.01770000E+7	1.69647714E+2	
1.01780000E+7	1.69874876E+2	
1.01790000E+7	1.69750072E+2	
1.01800000E+7	1.69833490E+2	
1.01810000E+7	1.69981677E+2	
1.01820000E+7	1.70063401E+2	
1.01830000E+7	1.70063634E+2	
1.01840000E+7	1.70029443E+2	
1.01850000E+7	1.70095898E+2	
1.01860000E+7	1.69905076E+2	
1.01870000E+7	1.69873280E+2	
1.01880000E+7	1.70139063E+2	
1.01890000E+7	1.70091584E+2	
1.01900000E+7	1.70101292E+2	
1.01910000E+7	1.70197439E+2	
1.01920000E+7	1.69876476E+2	
1.01930000E+7	1.70264038E+2	
1.01940000E+7	1.70205611E+2	
1.01950000E+7	1.69975761E+2	
1.01960000E+7	1.70383215E+2	
1.01970000E+7	1.70090263E+2	
1.01980000E+7	1.70339507E+2	
1.01990000E+7	1.70186590E+2	
1.02000000E+7	1.70127758E+2	
1.02010000E+7	1.70155329E+2	
1.02020000E+7	1.70198650E+2	
1.02030000E+7	1.70369434E+2	
1.02040000E+7	1.70439155E+2	
1.02050000E+7	1.70381402E+2	
1.02060000E+7	1.70264476E+2	
1.02070000E+7	1.70456947E+2	
1.02080000E+7	1.70266518E+2	
1.02090000E+7	1.70274012E+2	
1.02100000E+7	1.70248124E+2	
1.02110000E+7	1.70436268E+2	
1.02120000E+7	1.70335155E+2	
1.02130000E+7	1.70347480E+2	
1.02140000E+7	1.70498656E+2	
1.02150000E+7	1.70451496E+2	
1.02160000E+7	1.70677866E+2	
1.02170000E+7	1.70487500E+2	
1.02180000E+7	1.70636095E+2	
1.02190000E+7	1.70576953E+2	
1.02200000E+7	1.70484936E+2	
1.02210000E+7	1.70749795E+2	
1.02220000E+7	1.70524693E+2	
1.02230000E+7	1.70471491E+2	
1.02240000E+7	1.70688173E+2	
1.02250000E+7	1.70671473E+2	
1.02260000E+7	1.70737050E+2	
1.02270000E+7	1.70891775E+2	
1.02280000E+7	1.70678344E+2	
1.02290000E+7	1.70815069E+2	
1.02300000E+7	1.70683741E+2	
1.02310000E+7	1.70684190E+2	
1.02320000E+7	1.70690576E+2	
1.02330000E+7	1.70704057E+2	
1.02340000E+7	1.70926317E+2	
1.02350000E+7	1.70700419E+2	
1.02360000E+7	1.70891159E+2	
1.02370000E+7	1.70922851E+2	
1.02380000E+7	1.70684753E+2	
1.02390000E+7	1.70902378E+2	
1.02400000E+7	1.70837981E+2	
1.02410000E+7	1.71044250E+2	
1.02420000E+7	1.70778875E+2	
1.02430000E+7	1.70982612E+2	
1.02440000E+7	1.70984463E+2	
1.02450000E+7	1.71033999E+2	
1.02460000E+7	1.71043964E+2	
1.02470000E+7	1.70863374E+2	
1.02480000E+7	1.70988114E+2	
1.02490000E+7	1.70952664E+2	
1.02500000E+7	1.70946924E+2	
1.02510000E+7	1.71113524E+2	
1.02520000E+7	1.71031838E+2	
1.02530000E+7	1.70989146E+2	
1.02540000E+7	1.71173796E+2	
1.02550000E+7	1.71308273E+2	
1.02560000E+7	1.71331746E+2	
1.02570000E+7	1.71026917E+2	
1.02580000E+7	1.71265514E+2	
1.02590000E+7	1.71269248E+2	
1.02600000E+7	1.71214023E+2	
1.02610000E+7	1.71184200E+2	
1.02620000E+7	1.70988011E+2	
1.02630000E+7	1.71113270E+2	
1.02640000E+7	1.71237879E+2	
1.02650000E+7	1.71331446E+2	
1.02660000E+7	1.71111984E+2	
1.02670000E+7	1.71215354E+2	
1.02680000E+7	1.71317250E+2	
1.02690000E+7	1.71379479E+2	
1.02700000E+7	1.71126191E+2	
1.02710000E+7	1.71315538E+2	
1.02720000E+7	1.71326134E+2	
1.02730000E+7	1.71347913E+2	
1.02740000E+7	1.71362223E+2	
1.02750000E+7	1.71409080E+2	
1.02760000E+7	1.71410813E+2	
1.02770000E+7	1.71575532E+2	
1.02780000E+7	1.71613865E+2	
1.02790000E+7	1.71412816E+2	
1.02800000E+7	1.71555468E+2	
1.02810000E+7	1.71642796E+2	
1.02820000E+7	1.71502409E+2	
1.02830000E+7	1.71707771E+2	
1.02840000E+7	1.71622422E+2	
1.02850000E+7	1.71740414E+2	
1.02860000E+7	1.71562356E+2	
1.02870000E+7	1.71641384E+2	
1.02880000E+7	1.71700040E+2	
1.02890000E+7	1.71571026E+2	
1.02900000E+7	1.71773062E+2	
1.02910000E+7	1.71724734E+2	
1.02920000E+7	1.71698861E+2	
1.02930000E+7	1.71671049E+2	
1.02940000E+7	1.71821331E+2	
1.02950000E+7	1.71732326E+2	
1.02960000E+7	1.71730960E+2	
1.02970000E+7	1.71808644E+2	
1.02980000E+7	1.71819502E+2	
1.02990000E+7	1.71612082E+2	
1.03000000E+7	1.72111587E+2	
1.03010000E+7	1.71833147E+2	
1.03020000E+7	1.71774024E+2	
