f/Hz	Re{Y}/µS	Im{Y}/µS	Re{Z}/mOhm	Im{Z}/mOhm
1000	562120	-147002	1665	435
11000	69661	-189624	1707	4647
21000	21120	-108641	1724	8869
31000	9897	-75125	1724	13084
41000	5729	-57207	1733	17307
51000	3746	-46150	1747	21527
61000	2602	-38667	1732	25745
71000	1930	-33250	1740	29974
81000	1492	-29166	1749	34197
91000	1190	-25977	1760	38416
101000	966	-23421	1758	42624
111000	796	-21302	1752	46878
121000	685	-19558	1790	51066
131000	581	-18056	1780	55327
141000	509	-16780	1807	59539
151000	450	-15668	1834	63771
161000	396	-14695	1831	67999
171000	344	-13833	1796	72244
181000	308	-13068	1805	76481
191000	283	-12394	1844	80642
201000	256	-11781	1846	84842
211000	236	-11215	1874	89127
221000	216	-10711	1882	93321
231000	196	-10247	1868	97551
241000	180	-9815	1866	101851
251000	177	-9428	1996	106031
261000	156	-9069	1892	110229
271000	142	-8743	1852	114350
281000	139	-8418	1957	118762
291000	134	-8128	2032	123001
301000	120	-7858	1940	127230
311000	117	-7610	2025	131380
321000	103	-7370	1902	135664
331000	104	-7146	2045	139907
341000	94	-6929	1964	144288
351000	91	-6738	2002	148391
361000	87	-6543	2035	152805
371000	88	-6375	2164	156830
381000	85	-6201	2206	161242
391000	73	-6039	2001	165567
401000	74	-5893	2135	169658
411000	69	-5741	2094	174161
421000	68	-5616	2149	178046
431000	65	-5484	2177	182332
441000	63	-5355	2208	186699
451000	54	-5237	1962	190933
461000	63	-5111	2413	195613
471000	54	-5010	2135	199582
481000	56	-4912	2336	203557
491000	53	-4810	2272	207854
501000	53	-4709	2395	212326
511000	46	-4618	2156	216537
521000	46	-4530	2262	220745
531000	42	-4446	2104	224904
541000	45	-4359	2386	229392
551000	44	-4280	2380	233636
561000	42	-4196	2401	238309
571000	38	-4125	2247	242397
581000	38	-4048	2346	247023
591000	36	-3996	2242	250258
601000	34	-3919	2231	255156
611000	31	-3857	2087	259244
621000	35	-3799	2426	263177
631000	37	-3729	2691	268155
641000	28	-3672	2042	272321
651000	32	-3619	2471	276325
661000	32	-3552	2507	281538
671000	29	-3500	2357	285696
681000	27	-3458	2296	289154
691000	33	-3403	2863	293867
701000	22	-3357	1919	297867
711000	25	-3302	2288	302847
721000	34	-3255	3246	307187
731000	26	-3214	2530	311109
741000	23	-3176	2320	314891
751000	25	-3120	2550	320514
761000	19	-3078	1963	324897
771000	25	-3050	2711	327886
781000	27	-3002	2945	333073
791000	31	-2961	3563	337726
801000	21	-2924	2482	341992
811000	20	-2885	2347	346568
821000	24	-2859	2879	349789
831000	21	-2816	2705	355041
841000	17	-2787	2195	358771
851000	19	-2753	2504	363268
861000	20	-2720	2660	367692
871000	21	-2683	2869	372701
881000	16	-2659	2277	376076
891000	16	-2625	2331	380933
901000	17	-2597	2462	385068
911000	22	-2568	3390	389360
921000	19	-2532	2918	394890
931000	16	-2511	2530	398302
941000	21	-2486	3436	402204
951000	16	-2455	2651	407391
961000	22	-2419	3720	413417
971000	16	-2401	2741	416479
981000	15	-2381	2578	419901
991000	13	-2349	2268	425629
1001000	15	-2332	2759	428787
1011000	16	-2309	2969	433057
1021000	25	-2284	4851	437784
1031000	14	-2257	2690	443051
1041000	9	-2238	1754	446722
1051000	12	-2216	2423	451197
1061000	17	-2195	3444	455650
1071000	13	-2166	2854	461665
1081000	15	-2143	3279	466675
1091000	12	-2124	2554	470763
1101000	10	-2106	2290	474809
1111000	18	-2090	4080	478366
1121000	11	-2069	2649	483283
1131000	9	-2052	2043	487373
1141000	8	-2027	2017	493361
1151000	16	-2007	3895	498168
1161000	17	-1998	4294	500461
1171000	11	-1976	2870	506023
1181000	9	-1958	2303	510819
1191000	11	-1941	3016	515308
1201000	8	-1924	2265	519627
1211000	13	-1905	3578	524954
1221000	20	-1892	5580	528612
1231000	13	-1879	3765	532287
1241000	7	-1863	1875	536657
1251000	8	-1846	2377	541557
1261000	8	-1830	2356	546558
1271000	10	-1817	3051	550351
1281000	10	-1805	3035	554047
1291000	13	-1783	3937	560842
1301000	11	-1760	3542	568221
1311000	12	-1753	3904	570318
1321000	11	-1744	3496	573235
1331000	7	-1732	2253	577338
1341000	6	-1719	2187	581873
1351000	10	-1707	3335	585830
1361000	12	-1692	4311	590896
1371000	12	-1677	4280	596280
1381000	11	-1657	3842	603499
1391000	9	-1640	3426	609553
1401000	6	-1630	2380	613611
1411000	7	-1620	2652	617225
1421000	3	-1612	1270	620246
1431000	8	-1606	2936	622703
1441000	8	-1588	3209	629725
1451000	2	-1572	888	635955
1461000	3	-1565	1051	638879
1471000	4	-1554	1502	643650
1481000	5	-1536	2063	650988
1491000	8	-1521	3455	657551
1501000	12	-1513	5317	661045
1511000	14	-1507	6102	663493
1521000	11	-1501	5100	666371
1531000	9	-1491	4048	670885
1541000	5	-1476	2522	677590
1551000	6	-1464	2584	682828
1561000	8	-1454	3906	687548
1571000	5	-1443	2269	692793
1581000	7	-1434	3193	697220
1591000	4	-1423	2012	702877
1601000	14	-1414	7241	707311
1611000	17	-1406	8569	711305
1621000	13	-1395	6493	716598
1631000	9	-1386	4652	721519
1641000	6	-1372	3279	728789
1651000	8	-1363	4279	733518
1661000	6	-1358	3279	736501
1671000	8	-1348	4146	741614
1681000	7	-1338	4013	747638
1691000	1	-1330	815	751883
1701000	1	-1324	797	755191
1711000	2	-1317	1266	759048
1721000	7	-1310	3911	763630
1731000	12	-1301	6890	768847
1741000	13	-1288	7970	776429
1751000	8	-1279	4728	782102
1761000	5	-1273	3384	785578
1771000	5	-1267	3099	789041
1781000	2	-1259	1266	794183
1791000	-2	-1254	-976	797687
1801000	-3	-1243	-1679	804257
1811000	-1	-1234	-826	810277
1821000	3	-1228	1827	814482
1831000	5	-1223	3399	817537
1841000	6	-1216	4319	822483
1851000	9	-1210	6476	826349
1861000	9	-1197	6370	835129
1871000	6	-1187	4411	842183
1881000	6	-1176	4345	850091
1891000	6	-1168	4762	856049
1901000	5	-1163	3834	859637
1911000	6	-1158	4779	863808
1921000	4	-1150	3112	869319
1931000	2	-1145	1545	873595
1941000	2	-1137	1293	879248
1951000	6	-1133	4347	882972
1961000	6	-1126	4556	888017
1971000	6	-1120	4904	893150
1981000	8	-1117	6753	895449
1991000	7	-1112	5804	899635
2001000	9	-1109	6920	901273
2011000	9	-1107	7404	903521
2021000	6	-1097	4844	911776
2031000	3	-1086	2922	920966
2041000	7	-1074	6381	931037
2051000	8	-1069	6708	935230
2061000	10	-1061	8593	942576
2071000	9	-1055	8146	947600
2081000	9	-1052	8479	950089
2091000	2	-1045	1967	957014
2101000	6	-1040	5595	961489
2111000	4	-1037	4128	964306
2121000	6	-1032	6067	968694
2131000	10	-1028	8981	972246
2141000	6	-1024	5936	976839
2151000	7	-1020	6985	980546
2161000	9	-1013	9151	986681
2171000	10	-1007	9691	992822
2181000	7	-998	7295	1001943
2191000	3	-993	3083	1007508
2201000	-0	-986	-124	1014157
2211000	2	-979	1989	1021072
2221000	2	-973	2157	1028001
2231000	4	-968	4319	1033133
2241000	8	-963	8521	1038086
2251000	12	-957	12900	1044907
2261000	16	-949	18190	1053005
2271000	11	-948	12400	1054443
2281000	10	-942	11810	1060904
2291000	11	-938	12278	1066250
2301000	12	-934	13591	1070632
2311000	13	-926	15008	1079240
2321000	11	-923	13336	1082833
2331000	12	-919	13985	1088313
2341000	12	-916	14436	1091875
2351000	12	-915	14712	1093287
2361000	12	-910	15080	1098996
2371000	9	-905	11076	1104809
2381000	8	-901	10235	1109496
2391000	7	-898	8264	1113257
2401000	4	-891	5199	1122453
2411000	1	-886	1157	1128249
2421000	1	-883	1477	1131930
2431000	1	-877	1522	1140299
2441000	-1	-874	-732	1144144
2451000	3	-864	4060	1157509
2461000	4	-858	5650	1165198
2471000	3	-852	4771	1173123
2481000	4	-846	4917	1182267
2491000	4	-843	5095	1186451
2501000	5	-839	6776	1191723
2511000	3	-838	4661	1193347
2521000	5	-835	7309	1197592
2531000	5	-834	7749	1199214
2541000	3	-832	4167	1202144
2551000	5	-829	6956	1206497
2561000	3	-826	4469	1210895
2571000	3	-825	4693	1212611
2581000	5	-822	7846	1216934
2591000	3	-816	4188	1225292
2601000	1	-810	1588	1235298
2611000	5	-803	7102	1245577
2621000	0	-794	64	1260029
2631000	3	-790	4572	1266247
2641000	-1	-785	-1161	1273813
2651000	0	-783	433	1277173
2661000	-0	-781	-727	1280591
2671000	3	-777	4157	1287060
2681000	5	-773	8821	1293514
2691000	4	-771	7534	1296858
2701000	8	-766	13798	1304924
2711000	10	-761	17083	1313010
2721000	9	-758	15689	1319611
2731000	10	-754	17476	1326362
2741000	9	-750	16062	1333243
2751000	10	-748	18144	1337176
2761000	9	-745	15521	1342371
2771000	9	-744	15902	1344589
2781000	7	-741	12786	1349968
2791000	6	-740	11334	1350507
2801000	6	-736	11415	1359238
2811000	5	-734	10009	1362932
2821000	6	-732	11908	1366807
2831000	6	-728	10405	1374107
2841000	8	-726	15634	1378131
2851000	9	-722	17738	1385431
2861000	8	-718	16392	1392836
2871000	8	-712	14805	1403940
2881000	8	-707	15169	1413332
2891000	4	-703	8133	1422781
2901000	3	-697	6327	1434390
2911000	3	-696	6454	1436914
2921000	3	-695	6613	1439536
2931000	1	-688	2806	1453172
2941000	2	-687	3193	1455561
2951000	-2	-684	-4138	1461558
2961000	3	-682	5475	1466393
2971000	2	-680	3444	1470751
2981000	-2	-675	-4514	1480826
2991000	-0	-670	-813	1491626
3001000	2	-671	3484	1490500
3011000	9	-658	21668	1519671
3021000	4	-655	9157	1526620
3031000	7	-651	15626	1535801
3041000	6	-647	13782	1544930
3051000	9	-645	20530	1549893
3061000	9	-642	20645	1557106
3071000	9	-640	23035	1562108
3081000	10	-640	25587	1562886
3091000	9	-638	21333	1565903
3101000	10	-636	23791	1571108
3111000	10	-635	24067	1574211
3121000	9	-633	22194	1579541
3131000	6	-631	15948	1584606
3141000	9	-631	23093	1585503
3151000	8	-627	20856	1595200
3161000	8	-626	21063	1598257
3171000	6	-622	14242	1608014
3181000	5	-620	12161	1613290
3191000	3	-613	6985	1630391
3201000	2	-608	4228	1645571
3211000	2	-604	6524	1656298
3221000	1	-599	1449	1669262
3231000	1	-597	4107	1675193
3241000	-0	-596	-648	1678362
3251000	1	-590	1529	1694476
3261000	1	-591	1926	1692838
3271000	-1	-586	-3754	1706418
3281000	-0	-586	-953	1707618
