f/Hz	Re{Y}/µS	Im{Y}/µS	Re{Z}/mOhm	Im{Z}/mOhm
1000	17575916	-3320505	55	10
11000	13694676	-2847462	70	15
21000	10867382	-4597623	78	33
31000	9007656	-5539320	81	50
41000	8194128	-6252262	77	59
51000	6835234	-5671216	87	72
61000	6138980	-6401613	78	81
71000	4816690	-5844473	84	102
81000	3908399	-5444543	87	121
91000	3325553	-5454800	81	134
101000	2837134	-5124544	83	149
111000	2351633	-4707502	85	170
121000	2143092	-4402062	89	184
131000	2020322	-4375341	87	188
141000	1839961	-4227704	87	199
151000	1632542	-3959105	89	216
161000	1437693	-3753826	89	232
171000	1312740	-3546139	92	248
181000	1249245	-3430470	94	257
191000	1120810	-3234461	96	276
201000	988400	-3134599	91	290
211000	933793	-2969442	96	306
221000	880941	-2912721	95	315
231000	818055	-2819025	95	327
241000	737517	-2694185	95	345
251000	676406	-2579200	95	363
261000	622074	-2471114	96	381
271000	586703	-2417114	95	391
281000	541720	-2350875	93	404
291000	496329	-2255857	93	423
301000	493344	-2223906	95	429
311000	475239	-2172654	96	439
321000	443391	-2092202	97	457
331000	401131	-2054305	92	469
341000	383288	-1977831	94	487
351000	378324	-1932747	98	498
361000	365354	-1872529	100	514
371000	349205	-1823190	101	529
381000	323749	-1789362	98	541
391000	316306	-1741978	101	556
401000	301512	-1705166	101	569
411000	296143	-1685156	101	576
421000	293735	-1632615	107	593
431000	275840	-1601974	104	606
441000	254250	-1566892	101	622
451000	243448	-1526693	102	639
461000	235124	-1485574	104	657
471000	216653	-1448299	101	675
481000	213922	-1433717	102	682
491000	208437	-1409702	103	694
501000	207286	-1379675	106	709
511000	188909	-1358927	100	722
521000	190068	-1323970	106	740
531000	182333	-1301409	106	754
541000	181780	-1290378	107	760
551000	174688	-1269212	106	773
561000	171679	-1241540	109	790
571000	162862	-1217950	108	807
581000	162836	-1195022	112	822
591000	157659	-1179142	111	833
601000	156594	-1159500	114	847
611000	150063	-1139436	114	863
621000	141897	-1121340	111	878
631000	138617	-1101555	112	894
641000	136080	-1088467	113	905
651000	129683	-1079284	110	913
661000	124466	-1069883	107	922
671000	121188	-1038988	111	950
681000	122545	-1022997	115	964
691000	123544	-1011724	119	974
701000	122898	-1002901	120	982
711000	121050	-993878	121	991
721000	120733	-976556	125	1009
731000	113381	-965160	120	1022
741000	110307	-954183	120	1034
751000	106090	-935870	120	1055
761000	101152	-928522	116	1064
771000	99273	-916959	117	1078
781000	96308	-901863	117	1096
791000	96141	-892374	119	1108
801000	98825	-880035	126	1122
811000	94840	-871113	124	1135
821000	91761	-860672	122	1149
831000	90477	-850640	124	1162
841000	85829	-841919	120	1176
851000	82822	-833192	118	1188
861000	79574	-819861	117	1208
871000	77659	-811493	117	1221
881000	75620	-803609	116	1233
891000	79861	-792704	126	1249
901000	79825	-784519	128	1262
911000	79943	-774841	132	1277
921000	74154	-768991	124	1288
931000	72486	-761856	124	1301
941000	72583	-753265	127	1315
951000	72519	-744205	130	1331
961000	73446	-735467	134	1346
971000	71207	-727123	133	1362
981000	66654	-724091	126	1369
991000	64763	-718145	125	1381
1001000	66725	-709799	131	1397
1011000	64386	-703433	129	1410
1021000	65858	-697108	134	1422
1031000	62295	-688026	131	1442
1041000	60058	-682609	128	1454
1051000	60468	-674969	132	1470
1061000	59421	-668830	132	1483
1071000	59035	-664791	133	1492
1081000	57483	-656170	132	1512
1091000	55122	-651031	129	1525
1101000	53448	-647430	127	1534
1111000	55436	-640412	134	1550
1121000	55922	-634145	138	1565
1131000	56944	-629235	143	1576
1141000	56952	-624101	145	1589
1151000	53896	-621128	139	1598
1161000	53693	-616305	140	1610
1171000	51254	-610599	137	1626
1181000	50655	-605090	137	1641
1191000	50401	-598863	140	1658
1201000	49151	-593364	139	1674
1211000	46431	-590870	132	1682
1221000	46446	-585496	135	1697
1231000	46835	-580057	138	1713
1241000	46835	-576538	140	1723
1251000	47394	-571044	144	1739
1261000	47013	-566840	145	1752
1271000	44614	-564093	139	1762
1281000	45297	-558779	144	1778
1291000	43613	-554026	141	1794
1301000	42204	-551361	138	1803
1311000	42948	-546326	143	1819
1321000	40923	-541483	139	1836
1331000	39900	-538550	137	1847
1341000	40469	-529650	143	1877
1351000	40681	-529196	144	1879
1361000	40993	-525505	148	1891
1371000	39544	-521658	144	1906
1381000	38615	-518630	143	1918
1391000	37224	-514768	140	1933
1401000	37027	-510948	141	1947
1411000	36543	-508626	141	1956
1421000	37258	-503999	146	1973
1431000	37651	-501084	149	1984
1441000	36928	-498785	148	1994
1451000	36438	-495085	148	2009
1461000	35974	-491499	148	2024
1471000	35674	-487877	149	2039
1481000	35809	-484008	152	2055
1491000	35309	-481932	151	2064
1501000	35537	-478735	154	2077
1511000	35202	-475265	155	2093
1521000	33839	-472316	151	2106
1531000	33234	-469485	150	2119
1541000	32451	-465655	149	2137
1551000	31686	-463184	147	2149
1561000	31608	-461548	148	2157
1571000	31517	-457950	150	2173
1581000	30748	-454323	148	2191
1591000	31058	-450757	152	2208
1601000	30829	-448400	153	2220
1611000	30305	-446385	151	2230
1621000	31044	-443085	157	2246
1631000	31302	-440559	160	2258
1641000	29943	-438331	155	2271
1651000	29581	-434314	156	2292
1661000	28404	-432512	151	2302
1671000	27274	-430973	146	2311
1681000	28128	-428518	153	2324
1691000	28443	-426291	156	2335
1701000	28618	-423792	159	2349
1711000	28795	-421147	162	2363
1721000	28119	-418610	160	2378
1731000	27282	-416507	157	2391
1741000	27324	-413640	159	2407
1751000	26581	-412150	156	2416
1761000	26494	-410509	157	2426
1771000	26885	-407820	161	2441
1781000	26834	-405762	162	2454
1791000	26521	-404061	162	2464
1801000	27262	-401218	169	2481
1811000	27067	-399086	169	2494
1821000	26108	-395658	166	2516
1831000	26060	-394240	167	2525
1841000	25075	-392350	162	2538
1851000	25014	-390031	164	2553
1861000	25158	-387089	167	2573
1871000	24950	-384917	168	2587
1881000	24289	-382766	165	2602
1891000	23406	-381582	160	2611
1901000	23061	-380534	159	2618
1911000	23139	-378527	161	2632
1921000	23370	-376315	164	2647
1931000	23874	-374592	169	2659
1941000	24077	-372531	173	2673
1951000	23498	-370962	170	2685
1961000	23145	-368805	169	2701
1971000	22843	-366537	169	2718
1981000	22446	-364996	168	2729
1991000	22401	-363141	169	2743
2001000	22661	-361521	173	2755
2011000	22404	-360485	172	2763
2021000	22151	-358614	172	2778
2031000	22255	-356605	174	2793
2041000	21543	-354687	171	2809
2051000	22137	-352317	178	2827
2061000	21533	-350940	174	2839
2071000	20989	-349749	171	2849
2081000	21129	-347954	174	2863
2091000	20955	-346374	174	2877
2101000	20851	-345311	174	2885
2111000	20675	-343316	175	2902
2121000	20606	-341767	176	2915
2131000	19917	-340672	171	2925
2141000	19808	-338857	172	2941
2151000	19768	-336976	173	2957
2161000	19462	-335520	172	2970
2171000	19209	-333588	172	2988
2181000	19504	-332494	176	2997
2191000	19460	-331209	177	3009
2201000	19171	-329106	176	3028
2211000	18602	-327943	172	3040
2221000	18416	-326773	172	3051
2231000	18433	-325040	174	3067
2241000	18203	-323762	173	3079
2251000	17886	-322737	171	3089
2261000	18153	-321133	175	3104
2271000	18235	-319603	178	3119
2281000	18727	-317939	185	3134
2291000	18149	-316564	181	3149
2301000	18094	-315675	181	3157
2311000	17718	-314422	179	3170
2321000	17481	-312752	178	3187
2331000	17069	-311701	175	3199
2341000	16874	-310300	175	3213
2351000	17142	-308755	179	3229
2361000	16945	-308176	178	3235
2371000	16934	-306754	179	3250
2381000	17051	-305459	182	3264
2391000	17073	-304192	184	3277
2401000	16690	-302191	182	3299
2411000	16921	-301019	186	3312
2421000	16408	-300222	182	3321
2431000	16652	-298506	186	3340
2441000	16368	-297643	184	3350
2451000	16481	-296717	187	3360
2461000	16361	-295181	187	3377
2471000	16198	-294515	186	3385
2481000	16162	-293692	187	3395
2491000	16236	-292341	189	3410
2501000	16250	-290968	191	3426
2511000	16316	-289549	194	3443
2521000	16145	-288541	193	3455
2531000	15964	-287780	192	3464
2541000	15841	-286544	192	3479
2551000	15807	-285337	194	3494
2561000	15468	-284547	190	3504
2571000	15043	-283555	187	3517
2581000	15149	-282129	190	3534
2591000	14856	-281433	187	3543
2601000	14801	-280182	188	3559
2611000	14845	-278817	190	3576
2621000	14423	-278061	186	3587
2631000	14447	-276638	188	3605
2641000	14380	-275657	189	3618
2651000	14225	-274876	188	3628
2661000	13949	-273593	186	3646
2671000	14192	-272836	190	3655
2681000	14193	-271851	192	3668
2691000	14099	-271081	191	3679
2701000	14048	-269963	192	3694
2711000	13859	-269247	191	3704
2721000	13905	-268078	193	3720
2731000	13792	-266762	193	3739
2741000	13501	-265521	191	3756
2751000	13563	-264831	193	3766
2761000	13271	-264121	190	3777
2771000	13199	-263362	190	3788
2781000	13234	-262005	192	3807
2791000	13100	-260923	192	3823
2801000	13236	-259996	195	3836
2811000	13122	-259217	195	3848
2821000	13019	-258892	194	3853
2831000	13014	-258067	195	3865
2841000	13027	-256774	197	3884
2851000	13072	-256109	199	3894
2861000	13272	-255269	203	3907
2871000	13094	-254084	202	3925
2881000	13037	-253396	203	3936
2891000	12842	-252324	201	3953
2901000	12768	-251342	202	3968
2911000	12475	-250780	198	3978
2921000	12663	-249770	202	3993
2931000	12482	-249103	201	4004
2941000	12211	-248548	197	4014
2951000	12273	-247705	200	4027
2961000	12434	-246889	203	4040
2971000	12437	-245722	205	4059
2981000	12434	-244788	207	4075
2991000	12275	-244327	205	4083
3001000	12101	-243627	203	4095
3011000	11940	-242766	202	4109
3021000	12218	-241573	209	4129
3031000	12239	-240456	211	4148
3041000	12088	-239905	209	4158
3051000	11737	-239561	204	4164
3061000	11566	-239092	202	4173
3071000	11495	-238058	202	4191
3081000	11349	-237139	201	4207
3091000	11360	-236664	202	4216
3101000	11595	-235782	208	4231
3111000	11322	-235134	204	4243
3121000	11202	-234265	204	4259
3131000	11418	-233569	209	4271
3141000	11092	-232926	204	4283
3151000	10891	-232386	201	4294
3161000	11013	-231527	205	4309
3171000	10649	-230833	199	4323
3181000	10990	-230264	207	4333
3191000	10716	-229404	203	4350
3201000	10806	-228463	207	4367
3211000	10890	-227681	210	4382
3221000	10655	-226987	206	4396
3231000	10455	-226527	203	4405
3241000	10333	-225922	202	4417
3251000	10387	-225026	205	4434
3261000	10400	-224439	206	4446
3271000	10272	-223707	205	4461
3281000	10252	-222993	206	4475
3291000	10232	-222557	206	4484
3301000	9981	-221853	202	4498
3311000	10225	-221125	209	4513
3321000	10106	-220630	207	4523
3331000	10351	-219863	214	4538
3341000	10205	-219228	212	4552
3351000	10279	-218481	215	4567
3361000	10363	-217886	218	4579
3371000	10309	-216798	219	4602
3381000	10243	-216572	218	4607
3391000	10184	-216122	218	4617
3401000	10227	-215529	220	4629
3411000	10182	-214990	220	4641
3421000	10137	-214706	219	4647
3431000	10005	-213736	219	4668
3441000	10020	-212843	221	4688
3451000	10068	-212185	223	4702
3461000	9852	-211662	219	4714
3471000	9713	-211178	217	4725
3481000	9693	-210544	218	4740
3491000	9732	-209695	221	4759
3501000	9701	-209206	221	4770
3511000	9783	-208595	224	4783
3521000	9656	-208147	222	4794
3531000	9447	-207927	218	4799
3541000	9343	-207469	217	4810
3551000	9420	-206700	220	4828
3561000	9344	-206099	220	4842
3571000	9444	-205424	223	4858
3581000	9355	-204849	222	4871
3591000	9301	-204547	222	4879
3601000	9227	-203890	222	4895
3611000	9356	-203254	226	4910
3621000	8979	-202958	218	4918
3631000	9500	-202783	231	4921
3641000	8937	-201485	220	4953
3651000	9163	-201284	226	4958
3661000	9021	-200660	224	4974
3671000	9118	-199998	227	4990
3681000	9218	-199409	231	5004
3691000	8560	-198563	217	5027
3701000	9076	-198302	230	5032
3711000	8697	-197860	222	5044
3721000	8396	-197526	215	5054
3731000	8875	-196570	229	5077
3741000	8883	-196069	231	5090
3751000	8498	-195502	222	5105
3761000	8574	-195162	225	5114
3771000	8449	-194974	222	5119
3781000	8570	-194396	226	5134
3791000	8660	-193923	230	5146
3801000	8430	-193419	225	5160
3811000	8423	-192743	226	5178
3821000	8440	-192267	228	5191
3831000	7870	-191851	213	5204
3841000	8289	-191133	226	5222
3851000	8030	-190208	222	5248
3861000	8120	-190272	224	5246
3871000	8419	-189544	234	5265
3881000	8205	-189240	229	5274
3891000	7856	-188969	220	5283
3901000	8056	-188409	227	5298
3911000	8152	-187810	231	5315
3921000	8122	-187290	231	5329
3931000	7950	-186659	228	5348
3941000	8011	-186421	230	5354
3951000	7858	-186098	226	5364
3961000	7853	-185524	228	5381
3971000	7924	-184930	231	5398
3981000	8009	-184090	236	5422
3991000	7954	-183754	235	5432
4001000	7864	-183566	233	5438
4011000	7721	-183366	229	5444
4021000	7676	-182934	229	5457
4031000	7668	-182336	230	5475
4041000	7679	-182007	231	5485
4051000	7705	-181412	234	5502
4061000	7583	-180974	231	5516
4071000	7539	-180635	231	5526
4081000	7697	-180215	237	5539
4091000	7558	-179750	234	5553
4101000	7485	-179332	232	5567
4111000	7625	-178828	238	5582
4121000	7436	-178466	233	5594
4131000	7490	-178175	236	5603
4141000	7349	-177741	232	5617
4151000	7335	-177227	233	5633
4161000	7220	-176724	231	5649
4171000	7387	-176201	238	5665
4181000	7350	-175812	237	5678
4191000	7242	-175573	235	5686
4201000	7155	-175244	233	5697
4211000	7237	-174708	237	5714
4221000	7187	-174347	236	5726
4231000	7067	-173971	233	5739
4241000	7124	-173333	237	5759
4251000	7148	-173161	238	5765
4261000	7033	-172892	235	5774
4271000	6961	-172462	234	5789
4281000	6987	-171956	236	5806
4291000	6950	-171574	236	5819
4301000	7020	-171008	240	5838
4311000	6980	-170647	239	5850
4321000	6951	-170318	239	5862
4331000	6903	-169899	239	5876
4341000	6939	-169548	241	5888
4351000	6904	-169227	241	5899
4361000	6947	-168636	244	5920
4371000	6881	-168367	242	5929
4381000	6723	-168118	237	5939
4391000	6752	-167740	240	5952
4401000	6767	-167350	241	5966
4411000	6595	-166933	236	5981
4421000	6730	-166432	243	5999
4431000	6730	-166067	244	6012
4441000	6568	-165882	238	6019
4451000	6622	-165417	242	6036
4461000	6567	-165069	241	6049
4471000	6500	-164805	239	6058
4481000	6497	-164499	240	6070
4491000	6565	-163945	244	6090
4501000	6440	-163672	240	6100
4511000	6399	-163476	239	6108
4521000	6383	-163023	240	6125
4531000	6390	-162651	241	6139
4541000	6392	-162340	242	6150
4551000	6347	-161864	242	6169
4561000	6380	-161567	244	6180
4571000	6332	-161297	243	6190
4581000	6296	-160876	243	6206
4591000	6292	-160539	244	6219
4601000	6319	-160335	245	6227
4611000	6251	-159899	244	6244
4621000	6286	-159490	247	6260
4631000	6284	-159344	247	6266
4641000	6254	-158937	247	6282
4651000	6293	-158495	250	6299
4661000	6276	-158152	251	6313
4671000	6322	-157655	254	6333
4681000	6284	-157471	253	6340
4691000	6202	-157194	251	6352
4701000	6233	-157015	252	6359
4711000	6199	-156482	253	6381
4721000	6152	-156091	252	6397
4731000	6232	-155685	257	6413
4741000	6199	-155434	256	6423
4751000	6115	-155303	253	6429
4761000	6031	-155063	250	6439
4771000	6048	-154701	252	6454
4781000	6069	-154339	254	6469
4791000	5974	-154010	251	6483
4801000	6012	-153642	254	6499
4811000	5975	-153315	254	6513
4821000	5928	-153040	253	6524
4831000	5912	-152666	253	6540
4841000	5939	-152390	255	6552
4851000	5835	-152109	252	6565
4861000	5813	-151732	252	6581
4871000	5847	-151343	255	6598
4881000	5808	-151162	254	6606
4891000	5743	-150949	252	6615
4901000	5751	-150582	253	6631
4911000	5708	-150273	252	6645
4921000	5814	-149866	258	6663
4931000	5807	-149493	259	6679
4941000	5699	-149334	255	6687
4951000	5720	-149120	257	6696
4961000	5727	-148771	258	6712
4971000	5716	-148526	259	6723
4981000	5700	-148233	259	6736
4991000	5637	-147847	258	6754
5001000	5640	-147589	259	6766
5011000	5611	-147307	258	6779
5021000	5576	-147138	257	6787
5031000	5544	-146809	257	6802
5041000	5548	-146456	258	6818
5051000	5515	-146222	258	6829
5061000	5532	-145824	260	6848
5071000	5480	-145541	258	6861
5081000	5399	-145263	256	6875
5091000	5375	-144990	255	6888
5101000	5357	-144644	256	6904
5111000	5316	-144487	254	6912
5121000	5275	-144222	253	6924
5131000	5205	-143861	251	6942
5141000	5186	-143608	251	6954
5151000	5092	-143391	247	6965
5161000	5183	-143117	253	6978
5171000	5264	-142752	258	6996
5181000	5169	-142369	255	7015
5191000	5184	-142113	256	7027
5201000	5143	-141879	255	7039
5211000	5163	-141741	257	7046
5221000	5091	-141427	254	7062
5231000	5170	-141173	259	7074
5241000	5157	-140968	259	7084
5251000	5133	-140625	259	7102
5261000	5156	-140309	262	7118
5271000	5099	-140061	260	7130
5281000	5012	-139909	256	7138
5291000	5007	-139576	257	7155
5301000	5059	-139329	260	7168
5311000	5079	-139126	262	7178
5321000	5010	-138789	260	7196
5331000	4986	-138478	260	7212
5341000	4985	-138213	261	7226
5351000	4983	-137978	261	7238
5361000	4935	-137673	260	7254
5371000	4969	-137425	263	7267
5381000	4924	-137209	261	7279
5391000	4983	-136953	265	7292
5401000	4948	-136704	264	7306
5411000	4896	-136527	262	7315
5421000	4870	-136392	261	7322
5431000	4927	-136097	266	7338
5441000	4924	-135786	267	7355
5451000	4925	-135445	268	7373
5461000	4888	-135184	267	7388
5471000	4859	-135000	266	7398
5481000	4865	-134803	267	7409
5491000	4844	-134543	267	7423
5501000	4823	-134203	267	7442
5511000	4762	-133930	265	7457
5521000	4793	-133772	267	7466
5531000	4802	-133456	269	7483
5541000	4725	-133340	265	7490
5551000	4616	-133191	260	7499
5561000	4734	-133007	267	7509
5571000	4727	-132672	268	7528
5581000	4728	-132423	269	7542
5591000	4684	-132201	268	7555
