f/Hz	Re{Y}/µS	Im{Y}/µS	Re{Z}/mOhm	Im{Z}/mOhm
1000	6	-7	75743090	77954617
11000	-11	0	-89748819	-290746
21000	-8	0	-123628986	-1946380
31000	-7	0	-137051655	-5234020
41000	-8	1	-123066754	-21518631
51000	-9	2	-107140616	-19288364
61000	-8	2	-114884840	-26220300
71000	-7	2	-124286313	-36248757
81000	-7	2	-133661203	-49813931
91000	-7	4	-99218902	-59014776
101000	-4	4	-127048144	-125569377
111000	-8	1	-120207417	-9460479
121000	-9	4	-88690421	-43220676
131000	-6	5	-100105824	-73977098
141000	-10	4	-85479708	-36151205
151000	-10	7	-66745719	-47737989
161000	-10	5	-81993185	-39509672
171000	-10	8	-63219539	-48930270
181000	-11	8	-60176259	-44411111
191000	-10	8	-59797265	-49808326
201000	-9	9	-58413932	-55569784
211000	-10	11	-47098530	-50715057
221000	-11	7	-63160943	-43912611
231000	-11	9	-56796855	-45833021
241000	-11	13	-36732509	-45836119
251000	-9	8	-65699992	-55965574
261000	-29	13	-28762928	-12905390
271000	-13	11	-45621815	-37024676
281000	-10	10	-49038178	-51519695
291000	-4	11	-29814040	-76058781
301000	-11	12	-42572349	-47241355
311000	-11	12	-41715974	-43830876
321000	-11	13	-37546443	-43508585
331000	-11	13	-39466205	-43871637
341000	-8	14	-30976121	-54829092
351000	-9	12	-37969920	-54235790
361000	-13	13	-39443267	-38426985
371000	-10	13	-37570887	-46890946
381000	-10	14	-33712916	-45792997
391000	-10	14	-31749294	-48136153
401000	-9	17	-24834464	-47341079
411000	-10	13	-35265913	-49550363
421000	-10	17	-25787453	-42454175
431000	-10	18	-24056334	-43924406
441000	-10	17	-25303774	-44665685
451000	-8	16	-23738599	-49602027
461000	-7	18	-17834971	-47348679
471000	-8	17	-22271006	-48431761
481000	-8	18	-19881217	-46273214
491000	-6	18	-17379643	-50576635
501000	-2	15	-7968153	-67755877
511000	-8	20	-16912654	-43198101
521000	-9	19	-20597958	-44062816
531000	-5	20	-12392133	-47106787
541000	-5	21	-11134883	-44688099
551000	-6	21	-12446790	-43261165
561000	-5	20	-12400601	-46937524
571000	-6	24	-10274398	-39448885
581000	-5	21	-11667202	-45625710
591000	-10	23	-15992307	-37429451
601000	-7	23	-12240920	-39866986
611000	-7	22	-12851392	-40671749
621000	-8	24	-12111427	-37034593
631000	-10	24	-14751334	-35986594
641000	-8	25	-11626140	-36249538
651000	-6	25	-9769489	-38297961
661000	-5	27	-7359631	-36073911
671000	-9	26	-11843771	-34402036
681000	-11	27	-12604478	-31859990
691000	-9	27	-11407957	-33741179
701000	-11	28	-12139498	-31277336
711000	-12	28	-12627494	-30335980
721000	-9	25	-12812948	-35447664
731000	-13	29	-13408228	-28522093
741000	-11	27	-12580651	-31624937
751000	-10	24	-14610990	-35456997
761000	-13	30	-12199880	-28526853
771000	-12	30	-11375786	-28891744
781000	-14	31	-11772812	-26995990
791000	-14	31	-12136170	-27339170
801000	-13	31	-11399994	-27690630
811000	-14	29	-12925199	-28030014
821000	-13	30	-12148483	-28433215
831000	-15	34	-11287215	-24605793
841000	-15	33	-11611115	-24864493
851000	-15	32	-12027542	-26111396
861000	-14	32	-11354384	-26460168
871000	-14	33	-10704877	-25751299
881000	-13	33	-10070728	-26033561
891000	-14	35	-9570209	-24464606
901000	-15	34	-10743669	-24772288
911000	-14	34	-10100831	-25041163
921000	-15	36	-9584604	-23585281
931000	-15	36	-9855502	-23839914
941000	-14	34	-10108680	-24989070
951000	-15	36	-9602449	-23530632
961000	-14	37	-9051344	-23751593
971000	-13	35	-9230261	-24833421
981000	-13	38	-8036646	-23307676
991000	-15	43	-7279304	-20700731
1001000	-11	37	-7551399	-24502066
1011000	-13	45	-5848154	-20796566
1021000	-12	39	-7512913	-23394692
1031000	-12	41	-6445164	-22646339
1041000	-10	42	-5293257	-22509675
1051000	-10	40	-5884014	-23670577
1061000	-9	40	-5360040	-23739126
1071000	-10	42	-5339961	-22459781
1081000	-9	41	-5237273	-23362895
1091000	-8	43	-4373087	-22485762
1101000	-8	42	-4484993	-22756574
1111000	-8	42	-4604326	-23037689
1121000	-7	43	-3498058	-22720280
1131000	-6	43	-3029923	-22684816
1141000	-7	42	-3707725	-23315624
1151000	-5	43	-2628773	-22932830
1161000	-7	44	-3384612	-22105642
1171000	-5	44	-2603356	-22588255
1181000	-5	45	-2483773	-21978563
1191000	-5	43	-2743970	-23147900
1201000	-7	44	-3506193	-22312277
1211000	-4	44	-2181954	-22452585
1221000	-6	44	-3129737	-22524212
1231000	-9	44	-4369547	-21965118
1241000	-5	43	-2727899	-22742608
1251000	-5	45	-2613551	-22134448
1261000	-7	44	-3547978	-22196580
1271000	-7	45	-3390263	-21633252
1281000	-7	45	-3484005	-21891844
1291000	-8	45	-3858623	-21597596
1301000	-7	43	-3676470	-22407725
1311000	-7	43	-3771759	-22678442
1321000	2	40	1550648	-24875519
1331000	-8	46	-3732730	-20989329
1341000	-9	45	-4362519	-21458067
1351000	-9	44	-4472041	-21712432
1361000	-9	45	-4270272	-21158660
1371000	-11	47	-4809165	-20349161
1381000	-12	45	-5459376	-20753524
1391000	-10	45	-4852508	-21352378
1401000	-11	45	-5187615	-21037345
1411000	-11	46	-4947462	-20519245
1421000	-11	46	-5072251	-20726000
1431000	-13	47	-5531674	-19904670
1441000	-13	46	-5669673	-20112170
1451000	-12	48	-4946357	-19509882
1461000	-12	48	-5065822	-19709282
1471000	-13	46	-5701532	-20068706
1481000	-13	46	-5830277	-20268512
1491000	-15	49	-5811205	-18820892
1501000	-13	50	-5013028	-18757552
1511000	-14	50	-5257030	-18493222
1521000	-15	50	-5485829	-18224045
1531000	-12	48	-4732081	-19644986
1541000	-13	48	-5482044	-19495636
1551000	-13	49	-5263298	-19069198
1561000	-15	50	-5625552	-18323270
1571000	-13	49	-5038309	-19290874
1581000	-15	53	-4809259	-17480603
1591000	-15	52	-5316778	-17749473
1601000	-12	51	-4325259	-18494764
1611000	-14	52	-4700509	-17831490
1621000	-12	54	-4003750	-17708771
1631000	-11	52	-3933261	-18271191
1641000	-13	53	-4331144	-17658054
1651000	-13	56	-3960678	-16811592
1661000	-11	55	-3385847	-17530694
1671000	-12	55	-3620575	-17325121
1681000	-12	56	-3499072	-16981870
1691000	-8	56	-2536777	-17476387
1701000	-9	56	-2779988	-17302493
1711000	-10	55	-3195416	-17652783
1721000	-11	57	-3246798	-16948749
1731000	-7	61	-1778742	-16221304
1741000	-9	58	-2704621	-16914513
1751000	-9	59	-2614434	-16563658
1761000	-9	60	-2536810	-16245261
1771000	-7	61	-1832014	-16321397
1781000	-6	59	-1673092	-16761502
1791000	-9	59	-2391227	-16502753
1801000	-7	61	-1862934	-16284245
1811000	-9	62	-2262979	-15861431
1821000	-9	59	-2438687	-16459411
1831000	-5	63	-1373709	-15862947
1841000	-7	60	-1945101	-16388130
1851000	-6	62	-1629418	-15879135
1861000	-6	63	-1401544	-15821164
1871000	-7	62	-1877965	-15875461
1881000	-9	61	-2360203	-15911807
1891000	-4	61	-1018263	-16300180
