f/Hz	Re{Y}/µS	Im{Y}/µS	Re{Z}/mOhm	Im{Z}/mOhm
13751000	19	90	2233640	-10613866
13761000	21	87	2571178	-10881930
13771000	18	90	2186715	-10708061
13781000	21	91	2413309	-10389084
13791000	18	95	1903981	-10187942
13801000	19	97	1910913	-9889090
13811000	20	93	2184372	-10283930
13821000	20	96	2057145	-9966157
13831000	19	100	1791992	-9632867
13841000	15	100	1447098	-9745311
13851000	17	99	1721666	-9842480
13861000	19	98	1888269	-9895820
13871000	19	97	1916707	-9911567
13881000	21	98	2087945	-9811733
13891000	11	104	1005268	-9466712
13901000	16	103	1445332	-9473385
13911000	10	104	952603	-9530549
13921000	15	106	1336318	-9215052
13931000	14	104	1292708	-9397690
13941000	15	106	1314455	-9291500
13951000	18	105	1607146	-9239399
13961000	14	104	1255040	-9484334
13971000	19	104	1713277	-9303037
13981000	9	109	758329	-9113771
13991000	19	107	1613614	-9081181
14001000	10	110	786089	-9044915
14011000	11	107	973214	-9286659
14021000	12	109	1033151	-9046164
14031000	12	109	1015126	-9069184
14041000	9	114	718481	-8722143
14051000	16	110	1314424	-8913532
14061000	9	113	665189	-8765949
14071000	7	114	527544	-8743942
14081000	11	111	887595	-8891918
14091000	9	114	659390	-8727589
14101000	7	112	574108	-8860988
14111000	8	115	631162	-8638569
14121000	8	115	634487	-8667627
14131000	10	114	753562	-8733237
14141000	8	116	555531	-8563335
14151000	8	121	552413	-8216338
14161000	12	115	916049	-8596965
14171000	12	122	825406	-8104855
14181000	10	117	712553	-8457647
14191000	10	122	672804	-8115647
14201000	10	122	678762	-8130224
14211000	7	126	410958	-7930867
14221000	10	127	638937	-7821530
14231000	12	131	718466	-7558013
14241000	11	131	631969	-7557029
14251000	9	130	500132	-7638271
14261000	16	137	824533	-7189111
14271000	11	130	649872	-7629925
14281000	11	133	624765	-7444676
14291000	7	133	420100	-7492533
14301000	7	133	418334	-7508051
14311000	12	143	601340	-6951009
14321000	7	143	338854	-6960065
14331000	12	144	551120	-6886626
14341000	13	143	612435	-6929910
14351000	15	145	696235	-6808519
14361000	16	148	734685	-6677560
14371000	15	149	656041	-6667345
14381000	13	145	604632	-6831747
14391000	18	148	794891	-6671494
14401000	12	152	523701	-6538155
14411000	13	153	535736	-6485847
14421000	16	153	665428	-6465450
14431000	15	155	603869	-6390463
14441000	14	151	614889	-6558195
14451000	13	157	539425	-6334770
14461000	14	154	590813	-6433254
14471000	16	155	660680	-6401435
14481000	14	155	592612	-6401802
14491000	12	158	478838	-6310427
14501000	12	155	516505	-6410083
14511000	16	159	623771	-6242681
14521000	15	158	601960	-6259029
14531000	14	159	532450	-6235433
14541000	12	160	467871	-6233619
14551000	11	162	426980	-6156589
14561000	15	159	603135	-6237798
14571000	10	159	388210	-6245589
14581000	15	160	591752	-6175887
14591000	12	161	469131	-6158251
14601000	13	159	493818	-6259277
14611000	10	162	378072	-6158559
14621000	17	164	619429	-6050956
14631000	15	164	548154	-6043303
14641000	15	164	548021	-6055731
14651000	11	164	393841	-6087743
14661000	11	168	391131	-5908956
14671000	13	165	474923	-6011470
14681000	12	165	449330	-6020802
14691000	10	164	362142	-6071294
14701000	12	164	439429	-6047496
14711000	13	166	456839	-6001753
14721000	12	167	409326	-5943838
14731000	9	165	343303	-6057937
14741000	8	167	296075	-5984095
14751000	12	166	431824	-5982908
14761000	10	167	364377	-5980135
14771000	11	169	383478	-5876807
14781000	10	171	343669	-5816484
14791000	11	169	388791	-5892479
14801000	10	171	347110	-5837927
14811000	11	174	358818	-5735198
14821000	13	170	445371	-5834387
14831000	8	171	268120	-5838710
14841000	11	174	364466	-5708003
14851000	10	177	309461	-5646474
14861000	13	173	435990	-5763869
14871000	10	177	324716	-5623903
14881000	10	173	334819	-5756031
14891000	9	179	275205	-5576817
14901000	11	177	350107	-5612946
14911000	10	178	300571	-5607407
14921000	13	181	396927	-5496728
14931000	12	183	354286	-5444419
14941000	13	182	382249	-5466142
14951000	14	183	403350	-5426307
14961000	10	183	298305	-5450200
14971000	10	181	309634	-5520661
14981000	14	186	404833	-5350970
14991000	15	189	426877	-5268655
15001000	15	191	399312	-5215293
15011000	15	190	424909	-5241920
15021000	14	190	375453	-5235363
15031000	11	189	314937	-5279897
15041000	12	190	328149	-5238566
15051000	11	192	292352	-5186134
15061000	13	191	351431	-5216243
15071000	15	191	403088	-5195510
15081000	15	191	398690	-5204095
15091000	14	193	360274	-5152354
15101000	13	193	345466	-5162165
15111000	12	198	299959	-5020317
15121000	14	191	386323	-5194028
15131000	13	196	325387	-5088843
15141000	13	197	324201	-5053238
15151000	11	194	282697	-5142551
15161000	15	199	383562	-4992016
15171000	16	200	385970	-4961928
15181000	12	201	299285	-4947413
15191000	13	200	328337	-4969065
15201000	14	202	337146	-4932288
15211000	11	201	283350	-4968531
15221000	17	201	409969	-4932098
15231000	12	207	278822	-4817340
15241000	12	206	278745	-4828707
15251000	17	205	402847	-4835179
15261000	14	208	325292	-4778206
15271000	16	209	359420	-4761683
15281000	20	210	448271	-4715506
15291000	18	214	395612	-4631552
15301000	19	216	395177	-4599933
15311000	19	213	409824	-4651426
15321000	14	219	285857	-4549023
15331000	19	218	394431	-4553855
