f/Hz	Re{Y}/µS	Im{Y}/µS	Re{Z}/mOhm	Im{Z}/mOhm
1000	759328	-161655	1260	268
11000	115431	-269588	1342	3135
21000	35696	-159332	1339	5976
31000	16797	-110603	1342	8837
41000	9818	-84602	1354	11663
51000	6456	-68275	1373	14517
61000	4482	-57247	1359	17362
71000	3297	-49280	1351	20202
81000	2556	-43222	1363	23056
91000	2048	-38487	1379	25910
101000	1660	-34708	1375	28746
111000	1383	-31595	1383	31590
121000	1168	-28979	1389	34452
131000	987	-26789	1374	37278
141000	862	-24887	1390	40134
151000	756	-23238	1399	42988
161000	677	-21803	1422	45821
171000	598	-20526	1418	48678
181000	529	-19390	1405	51534
191000	485	-18382	1434	54362
201000	452	-17464	1482	57222
211000	412	-16638	1486	60066
221000	362	-15887	1432	62911
231000	341	-15199	1475	65760
241000	311	-14566	1467	68621
251000	293	-13985	1498	71474
261000	269	-13453	1484	74305
271000	258	-12958	1533	77140
281000	240	-12499	1535	79977
291000	227	-12064	1557	82861
301000	215	-11661	1577	85725
311000	199	-11290	1563	88543
321000	182	-10937	1520	91404
331000	176	-10603	1567	94291
341000	171	-10290	1611	97156
351000	157	-9999	1566	99988
361000	158	-9716	1676	102900
371000	139	-9456	1558	105725
381000	149	-9213	1750	108518
391000	130	-8970	1611	111456
401000	131	-8744	1707	114336
411000	118	-8535	1625	117148
421000	123	-8331	1774	120004
431000	111	-8143	1679	122780
441000	112	-7954	1775	125705
451000	104	-7776	1720	128583
461000	101	-7615	1740	131305
471000	98	-7447	1767	134257
481000	84	-7288	1573	137196
491000	95	-7138	1859	140079
501000	90	-7002	1826	142802
511000	83	-6851	1769	145945
521000	84	-6726	1859	148662
531000	80	-6594	1831	151624
541000	81	-6478	1930	154339
551000	78	-6356	1932	157301
561000	66	-6249	1695	160013
571000	77	-6127	2039	163185
581000	71	-6030	1966	165827
591000	70	-5928	1989	168679
601000	61	-5828	1809	171571
611000	61	-5725	1871	174663
621000	55	-5635	1726	177442
631000	54	-5546	1741	180298
641000	58	-5456	1965	183267
651000	51	-5371	1752	186159
661000	63	-5292	2245	188947
671000	55	-5221	2031	191516
681000	48	-5139	1821	194584
691000	50	-5056	1964	197768
701000	47	-4986	1875	200524
711000	52	-4912	2168	203548
721000	48	-4854	2035	205983
731000	48	-4783	2087	209032
741000	47	-4710	2117	212281
751000	35	-4652	1602	214943
761000	44	-4593	2083	217715
771000	45	-4521	2205	221173
781000	43	-4468	2159	223804
791000	36	-4417	1825	226399
801000	43	-4356	2289	229571
811000	46	-4309	2489	232023
821000	40	-4249	2196	235317
831000	44	-4198	2504	238209
841000	39	-4146	2284	241177
851000	32	-4095	1924	244174
861000	41	-4049	2514	246928
871000	36	-4006	2268	249631
881000	31	-3957	1972	252680
891000	32	-3907	2078	255918
901000	39	-3875	2565	258040
911000	30	-3826	2019	261349
921000	28	-3783	1933	264300
931000	33	-3741	2347	267296
941000	33	-3696	2399	270549
951000	32	-3664	2414	272892
961000	30	-3622	2273	276103
971000	35	-3580	2694	279288
981000	32	-3538	2579	282617
991000	35	-3511	2849	284786
1001000	34	-3480	2812	287291
1011000	27	-3443	2299	290385
1021000	31	-3399	2701	294141
1031000	27	-3375	2367	296254
1041000	23	-3340	2026	299408
1051000	29	-3306	2638	302418
1061000	34	-3275	3170	305345
1071000	25	-3239	2354	308743
