f/Hz	Re{Y}/µS	Im{Y}/µS	Re{Z}/mOhm	Im{Z}/mOhm
1000	3245721	-334047	305	31
11000	1529298	-1470348	340	327
21000	678769	-1242534	339	620
31000	368389	-958709	349	909
41000	226361	-765398	355	1201
51000	152819	-631700	362	1496
61000	106049	-536287	355	1795
71000	78658	-465996	352	2086
81000	61717	-411120	357	2379
91000	49591	-368422	359	2666
101000	40477	-331949	362	2968
111000	33928	-303737	363	3252
121000	29186	-278992	371	3546
131000	24597	-258191	366	3838
141000	21476	-239946	370	4134
151000	19091	-224435	376	4424
161000	16652	-210620	373	4718
171000	15070	-198517	380	5008
181000	13486	-187460	382	5307
191000	12189	-178187	382	5586
201000	11147	-169209	388	5884
211000	10004	-161490	382	6169
221000	9130	-154033	383	6469
231000	8431	-147488	386	6758
241000	7866	-141303	393	7055
251000	7381	-135706	400	7347
261000	6814	-130628	398	7635
271000	6422	-125722	405	7933
281000	6018	-121412	407	8216
291000	5608	-117305	407	8505
301000	5228	-113398	406	8800
311000	4949	-109780	410	9091
321000	4657	-106261	412	9393
331000	4501	-103098	423	9681
341000	4136	-100126	412	9970
351000	3979	-97317	419	10259
361000	3816	-94597	426	10554
371000	3612	-92080	425	10843
381000	3563	-89678	442	11133
391000	3295	-87455	430	11418
401000	3194	-85231	439	11716
411000	3074	-83176	444	12006
421000	2937	-81195	445	12300
431000	2811	-79357	446	12585
441000	2713	-77545	451	12880
451000	2611	-75840	453	13170
461000	2506	-74208	454	13460
471000	2459	-72656	465	13748
481000	2309	-71129	456	14044
491000	2233	-69701	459	14332
501000	2165	-68311	464	14624
511000	2125	-66990	473	14913
521000	2058	-65669	477	15213
531000	2022	-64448	486	15501
541000	1909	-63291	476	15786
551000	1856	-62159	480	16073
561000	1798	-61025	482	16372
571000	1811	-59985	503	16656
581000	1720	-58931	495	16954
591000	1654	-57969	492	17237
601000	1639	-56975	505	17537
611000	1578	-56109	501	17808
621000	1550	-55181	509	18108
631000	1518	-54305	514	18400
641000	1465	-53441	512	18698
651000	1430	-52632	516	18986
661000	1391	-51845	517	19275
671000	1346	-51082	515	19563
681000	1334	-50343	526	19850
691000	1321	-49617	536	20140
701000	1300	-48910	543	20431
711000	1242	-48224	534	20723
721000	1246	-47586	550	21000
731000	1177	-46933	534	21294
741000	1166	-46285	544	21592
751000	1148	-45689	550	21873
761000	1134	-45095	557	22161
771000	1091	-44516	550	22450
781000	1084	-43960	561	22734
791000	1053	-43394	559	23031
801000	1030	-42856	561	23321
811000	997	-42319	557	23617
821000	988	-41790	566	23916
831000	979	-41280	574	24211
841000	949	-40790	570	24503
851000	952	-40328	585	24783
861000	925	-39862	582	25073
871000	902	-39437	580	25344
881000	883	-38961	581	25653
891000	848	-38544	571	25932
901000	867	-38102	597	26232
911000	860	-37671	606	26532
921000	836	-37299	601	26797
931000	807	-36878	593	27103
941000	787	-36529	590	27363
951000	801	-36111	614	27679
961000	790	-35738	618	27968
971000	759	-35380	606	28251
981000	764	-35024	623	28538
991000	747	-34651	622	28846
1001000	746	-34325	633	29120
1011000	720	-33988	623	29409
1021000	709	-33634	627	29719
1031000	714	-33330	643	29989
1041000	680	-33005	624	30286
1051000	683	-32684	639	30583
1061000	684	-32384	652	30866
1071000	668	-32098	648	31141
1081000	644	-31787	638	31446
1091000	651	-31502	656	31730
1101000	641	-31219	657	32018
1111000	630	-30940	658	32308
1121000	621	-30660	660	32603
1131000	600	-30397	649	32886
1141000	613	-30130	674	33176
1151000	603	-29867	676	33468
1161000	598	-29597	683	33773
1171000	586	-29364	680	34042
1181000	583	-29110	687	34338
1191000	555	-28875	666	34620
1201000	555	-28635	676	34909
1211000	541	-28386	671	35215
1221000	552	-28152	696	35508
1231000	525	-27964	671	35748
1241000	542	-27720	705	36061
1251000	539	-27492	713	36360
1261000	529	-27277	711	36648
1271000	510	-27056	696	36947
1281000	508	-26840	705	37245
1291000	500	-26648	704	37513
1301000	506	-26441	724	37806
1311000	499	-26235	725	38103
1321000	491	-26030	724	38403
1331000	484	-25848	725	38674
1341000	471	-25662	715	38956
1351000	472	-25455	729	39271
1361000	472	-25277	738	39549
1371000	468	-25098	742	39830
1381000	460	-24910	742	40130
1391000	450	-24731	736	40422
1401000	459	-24564	761	40697
1411000	448	-24378	754	41007
1421000	444	-24211	758	41289
1431000	431	-24031	746	41600
1441000	429	-23880	751	41862
1451000	425	-23712	756	42158
1461000	420	-23546	757	42457
1471000	419	-23385	767	42748
1481000	405	-23237	750	43021
1491000	405	-23074	760	43325
1501000	408	-22932	776	43594
1511000	406	-22783	782	43878
1521000	399	-22612	781	44211
1531000	392	-22475	777	44481
1541000	382	-22326	766	44778
1551000	380	-22179	773	45075
1561000	386	-22034	794	45370
1571000	375	-21891	783	45667
1581000	377	-21759	795	45945
1591000	381	-21630	814	46218
1601000	387	-21491	838	46517
1611000	362	-21355	794	46813
1621000	366	-21228	813	47093
1631000	360	-21098	808	47385
1641000	353	-20970	803	47673
1651000	350	-20840	806	47972
1661000	349	-20723	813	48241
1671000	352	-20588	831	48557
1681000	341	-20474	813	48828
1691000	330	-20339	797	49154
1701000	345	-20227	844	49426
1711000	338	-20112	836	49707
1721000	339	-19990	848	50012
1731000	322	-19880	815	50290
1741000	333	-19756	853	50604
1751000	328	-19652	849	50872
1761000	327	-19527	859	51197
1771000	308	-19441	814	51425
1781000	306	-19320	819	51748
1791000	329	-19216	889	52025
1801000	312	-19106	854	52325
1811000	308	-19001	852	52615
1821000	315	-18889	884	52925
1831000	308	-18802	871	53170
1841000	306	-18688	877	53496
1851000	294	-18585	852	53794
1861000	299	-18467	877	54136
1871000	287	-18379	851	54398
1881000	296	-18298	882	54637
1891000	297	-18190	899	54959
1901000	293	-18093	896	55254
1911000	295	-17990	910	55572
1921000	285	-17903	889	55843
1931000	275	-17814	865	56122
1941000	278	-17724	884	56406
1951000	287	-17636	923	56686
1961000	275	-17540	892	56997
1971000	275	-17452	903	57285
1981000	273	-17362	906	57584
1991000	265	-17262	889	57916
2001000	273	-17191	923	58155
2011000	274	-17102	937	58458
2021000	268	-17018	925	58746
2031000	266	-16935	928	59033
2041000	262	-16844	924	59355
2051000	263	-16771	935	59611
2061000	262	-16682	941	59929
2071000	265	-16608	962	60198
2081000	261	-16520	957	60516
