f/Hz	Re{Y}/µS	Im{Y}/µS	Re{Z}/mOhm	Im{Z}/mOhm
1000	2335619	-453717	413	80
11000	1049522	-1116471	447	475
21000	438928	-883051	451	908
31000	232639	-670955	461	1330
41000	139478	-531282	462	1761
51000	92615	-437051	464	2190
61000	64523	-371152	455	2615
71000	48852	-320516	465	3049
81000	36987	-282769	455	3477
91000	30345	-252133	471	3910
101000	24466	-227621	467	4343
111000	20675	-208009	473	4760
121000	17695	-190811	482	5196
131000	15100	-176662	480	5619
141000	13218	-164064	488	6056
151000	11414	-153519	482	6478
161000	10154	-144034	487	6908
171000	9091	-135700	491	7336
181000	8021	-128284	485	7765
191000	7241	-121496	489	8202
201000	6705	-115602	500	8621
211000	6115	-110035	503	9060
221000	5525	-105177	498	9482
231000	5142	-100621	507	9912
241000	4740	-96487	508	10339
251000	4383	-92682	509	10766
261000	4133	-89156	519	11192
271000	3867	-85816	524	11629
281000	3591	-82838	522	12049
291000	3403	-79999	531	12478
301000	3197	-77383	533	12901
311000	2998	-74908	533	13328
321000	2845	-72587	539	13756
331000	2682	-70403	540	14183
341000	2565	-68311	549	14618
351000	2396	-66384	543	15044
361000	2335	-64549	560	15472
371000	2207	-62807	559	15902
381000	2089	-61187	557	16324
391000	2018	-59644	567	16747
401000	1965	-58156	580	17176
411000	1856	-56718	576	17612
421000	1787	-55354	583	18047
431000	1715	-54134	585	18454
441000	1646	-52888	588	18890
451000	1576	-51737	588	19311
461000	1524	-50609	594	19742
471000	1450	-49547	590	20165
481000	1397	-48527	593	20590
491000	1381	-47509	611	21031
501000	1317	-46581	606	21451
511000	1287	-45675	617	21876
521000	1226	-44822	610	22294
531000	1216	-43970	628	22725
541000	1157	-43150	621	23158
551000	1135	-42388	631	23575
561000	1083	-41614	625	24014
571000	1057	-40891	632	24439
581000	1048	-40197	648	24860
591000	1010	-39508	646	25295
601000	973	-38892	643	25696
611000	954	-38217	653	26150
621000	927	-37601	655	26579
631000	911	-37033	664	26986
641000	901	-36445	678	27422
651000	874	-35890	678	27847
661000	856	-35348	685	28274
671000	814	-34833	671	28693
681000	806	-34328	683	29115
691000	793	-33832	692	29542
701000	779	-33337	701	29980
711000	767	-32865	710	30411
721000	733	-32435	696	30815
731000	721	-31985	704	31249
741000	699	-31547	702	31683
751000	674	-31129	695	32109
761000	681	-30742	720	32513
771000	679	-30334	737	32949
781000	661	-29941	738	33383
791000	631	-29573	721	33799
801000	621	-29191	728	34242
811000	618	-28842	742	34656
821000	611	-28491	752	35083
831000	581	-28148	733	35512
841000	583	-27811	754	35941
851000	583	-27496	771	36353
861000	564	-27173	764	36786
871000	567	-26858	786	37216
881000	548	-26558	777	37638
891000	527	-26273	763	38047
901000	524	-25965	776	38497
911000	521	-25683	790	38921
921000	500	-25410	775	39340
931000	498	-25124	789	39787
941000	499	-24854	808	40219
951000	487	-24609	804	40620
961000	474	-24341	800	41067
971000	479	-24101	825	41475
981000	464	-23862	815	41892
991000	464	-23625	830	42312
1001000	445	-23381	813	42754
1011000	437	-23146	815	43188
1021000	430	-22918	818	43618
1031000	431	-22709	836	44020
1041000	429	-22486	849	44456
1051000	420	-22279	845	44870
1061000	417	-22050	858	45336
1071000	396	-21866	829	45718
1081000	406	-21650	865	46172
1091000	404	-21456	877	46590
1101000	391	-21252	865	47037
1111000	390	-21076	878	47431
1121000	388	-20879	890	47877
1131000	382	-20703	892	48287
1141000	368	-20514	874	48731
1151000	361	-20338	873	49153
1161000	356	-20161	876	49586
1171000	352	-19980	882	50035
1181000	355	-19828	904	50417
1191000	353	-19656	914	50860
1201000	349	-19493	918	51283
1211000	341	-19348	912	51668
1221000	342	-19173	929	52139
1231000	328	-19016	906	52573
1241000	334	-18883	936	52941
1251000	334	-18706	956	53441
1261000	320	-18560	928	53865
1271000	322	-18436	948	54225
1281000	314	-18275	940	54704
1291000	310	-18133	943	55131
1301000	312	-18003	961	55529
1311000	310	-17865	970	55958
1321000	306	-17727	974	56394
1331000	300	-17586	968	56845
1341000	293	-17459	962	57260
1351000	295	-17333	980	57676
1361000	283	-17202	956	58117
1371000	290	-17079	992	58535
1381000	279	-16946	971	58995
1391000	273	-16832	963	59395
1401000	280	-16714	1003	59813
1411000	279	-16588	1014	60269
1421000	276	-16474	1015	60685
1431000	262	-16356	980	61126
1441000	262	-16255	990	61505
1451000	251	-16138	965	61949
1461000	264	-16024	1029	62388
1471000	272	-15910	1073	62835
1481000	261	-15819	1042	63200
1491000	256	-15695	1039	63699
1501000	249	-15595	1025	64106
1511000	248	-15481	1036	64579
1521000	253	-15380	1069	65001
1531000	251	-15277	1074	65441
1541000	244	-15187	1057	65827
1551000	241	-15087	1060	66267
1561000	241	-14990	1071	66692
1571000	242	-14900	1088	67097
1581000	240	-14805	1094	67528
1591000	233	-14707	1078	67977
1601000	232	-14619	1084	68386
1611000	236	-14523	1118	68840
1621000	227	-14428	1091	69291
1631000	228	-14335	1109	69740
1641000	228	-14253	1121	70143
1651000	227	-14164	1132	70581
1661000	216	-14075	1088	71030
1671000	214	-14006	1092	71383
1681000	213	-13922	1097	71811
1691000	210	-13831	1098	72285
1701000	208	-13749	1098	72718
1711000	206	-13670	1104	73139
1721000	201	-13587	1088	73586
1731000	197	-13512	1081	73994
1741000	197	-13439	1088	74393
1751000	198	-13359	1112	74840
1761000	200	-13286	1130	75249
1771000	192	-13201	1102	75735
1781000	186	-13130	1078	76146
1791000	194	-13068	1138	76508
1801000	192	-12985	1137	76995
1811000	187	-12911	1124	77434
1821000	187	-12841	1136	77857
1831000	188	-12779	1151	78239
1841000	186	-12708	1151	78672
1851000	184	-12641	1150	79090
1861000	180	-12561	1143	79593
1871000	186	-12507	1187	79939
1881000	174	-12428	1124	80445
1891000	175	-12365	1143	80856
1901000	178	-12301	1175	81279
1911000	171	-12234	1142	81725
1921000	170	-12173	1150	82135
1931000	170	-12107	1157	82584
1941000	180	-12049	1237	82977
1951000	172	-11997	1196	83335
1961000	175	-11916	1230	83904
1971000	173	-11862	1231	84282
1981000	175	-11801	1259	84719
1991000	171	-11736	1238	85190
2001000	169	-11679	1242	85608
2011000	169	-11619	1254	86044
2021000	170	-11564	1274	86458
2031000	171	-11504	1291	86908
2041000	171	-11441	1310	87386
2051000	175	-11390	1350	87776
2061000	168	-11326	1310	88270
2071000	162	-11272	1277	88693
2081000	163	-11220	1292	89106
2091000	162	-11170	1299	89509
2101000	162	-11121	1311	89900
2111000	155	-11071	1264	90309
2121000	160	-11009	1322	90816
2131000	155	-10955	1295	91262
2141000	154	-10902	1298	91710
2151000	153	-10859	1298	92068
2161000	147	-10802	1263	92559
2171000	150	-10759	1293	92929
2181000	148	-10703	1290	93418
2191000	148	-10660	1303	93795
2201000	147	-10602	1309	94306
2211000	147	-10554	1316	94733
2221000	155	-10511	1404	95121
2231000	148	-10457	1356	95613
2241000	145	-10414	1338	96002
2251000	147	-10363	1367	96478
2261000	143	-10324	1345	96845
2271000	139	-10275	1314	97305
2281000	144	-10228	1378	97750
2291000	142	-10181	1369	98201
2301000	141	-10143	1371	98570
2311000	132	-10086	1298	99131
2321000	136	-10051	1349	99472
2331000	138	-10003	1381	99949
2341000	142	-9963	1432	100355
2351000	137	-9914	1398	100852
2361000	138	-9873	1420	101270
2371000	127	-9833	1313	101684
2381000	129	-9800	1341	102023
2391000	122	-9754	1284	102506
2401000	125	-9711	1325	102957
2411000	120	-9662	1285	103483
2421000	127	-9626	1374	103864
2431000	121	-9589	1320	104270
2441000	118	-9541	1295	104796
2451000	124	-9513	1374	105101
2461000	131	-9466	1462	105620
2471000	130	-9431	1456	106018
2481000	127	-9385	1446	106536
2491000	125	-9354	1423	106882
2501000	120	-9311	1379	107377
2511000	112	-9277	1300	107774
2521000	121	-9242	1414	108179
2531000	119	-9193	1412	108755
2541000	120	-9168	1427	109058
2551000	115	-9121	1382	109620
2561000	118	-9088	1424	110022
2571000	125	-9053	1528	110433
2581000	120	-9014	1471	110919
2591000	124	-8990	1539	111218
2601000	111	-8948	1382	111743
2611000	114	-8912	1436	112184
2621000	115	-8882	1453	112563
2631000	109	-8840	1396	113103
2641000	116	-8811	1489	113474
2651000	105	-8777	1364	113917
2661000	112	-8746	1459	114318
2671000	111	-8713	1456	114759
2681000	111	-8672	1480	115300
2691000	122	-8642	1635	115697
2701000	109	-8603	1474	116219
2711000	112	-8572	1523	116645
2721000	112	-8544	1540	117025
2731000	104	-8512	1435	117468
2741000	114	-8483	1590	117867
2751000	110	-8450	1539	118327
2761000	105	-8417	1483	118796
2771000	107	-8382	1516	119282
2781000	111	-8358	1589	119622
2791000	111	-8320	1606	120176
2801000	112	-8293	1626	120555
2811000	103	-8259	1506	121067
2821000	103	-8240	1510	121341
2831000	101	-8212	1492	121761
2841000	98	-8181	1471	122212
2851000	95	-8140	1434	122836
2861000	100	-8121	1517	123120
2871000	99	-8083	1513	123698
2881000	96	-8055	1473	124136
2891000	109	-8029	1689	124526
2901000	105	-7993	1646	125094
2911000	99	-7970	1555	125452
2921000	100	-7951	1577	125756
2931000	91	-7919	1452	126266
2941000	95	-7892	1530	126691
2951000	87	-7863	1413	127167
2961000	106	-7836	1728	127597
2971000	90	-7803	1480	128140
2981000	104	-7776	1713	128576
2991000	105	-7754	1753	128942
3001000	98	-7719	1640	129534
3011000	102	-7706	1724	129739
3021000	99	-7676	1688	130259
3031000	92	-7643	1568	130815
3041000	103	-7617	1767	131261
3051000	103	-7603	1790	131507
3061000	92	-7564	1615	132177
3071000	91	-7545	1591	132526
3081000	94	-7514	1658	133072
3091000	91	-7500	1623	133321
3101000	95	-7464	1709	133957
3111000	93	-7434	1689	134504
3121000	97	-7416	1763	134814
3131000	87	-7386	1598	135365
3141000	88	-7368	1620	135704
3151000	91	-7353	1679	135985
3161000	89	-7337	1661	136276
3171000	88	-7295	1660	137067
3181000	87	-7273	1636	137474
3191000	87	-7252	1654	137865
3201000	96	-7224	1846	138404
3211000	94	-7197	1812	138915
3221000	87	-7174	1688	139365
3231000	82	-7159	1604	139674
3241000	83	-7141	1621	140024
3251000	80	-7111	1583	140604
3261000	78	-7084	1545	141146
3271000	82	-7073	1640	141361
3281000	82	-7036	1654	142099
3291000	85	-7026	1724	142303
3301000	79	-7009	1598	142659
3311000	86	-6984	1755	143171
3321000	94	-6951	1946	143834
3331000	86	-6934	1797	144205
3341000	80	-6910	1675	144700
3351000	81	-6899	1706	144925
3361000	81	-6876	1714	145417
3371000	74	-6849	1584	145996
3381000	76	-6831	1631	146364
3391000	85	-6813	1831	146766
3401000	85	-6792	1847	147202
3411000	71	-6767	1561	147769
3421000	87	-6738	1917	148381
3431000	83	-6724	1832	148698
3441000	84	-6705	1873	149114
3451000	76	-6684	1696	149601
3461000	72	-6668	1614	149943
3471000	71	-6644	1614	150493
3481000	76	-6627	1731	150885
3491000	78	-6604	1800	151407
3501000	74	-6589	1696	151755
3511000	70	-6569	1617	152223
3521000	75	-6553	1749	152591
3531000	76	-6525	1783	153239
3541000	84	-6496	1981	153919
3551000	78	-6480	1856	154293
3561000	78	-6463	1869	154711
3571000	77	-6454	1855	154924
3581000	71	-6431	1727	155487
3591000	70	-6409	1701	156024
3601000	66	-6388	1610	156537
3611000	74	-6372	1825	156925
3621000	76	-6359	1884	157229
3631000	65	-6331	1620	157936
3641000	81	-6318	2026	158242
3651000	83	-6301	2094	158672
3661000	81	-6283	2051	159121
3671000	82	-6269	2096	159489
3681000	73	-6246	1872	160090
3691000	76	-6230	1953	160500
3701000	77	-6209	2000	161028
3711000	77	-6200	2005	161257
3721000	73	-6180	1920	161793
3731000	68	-6156	1787	162425
3741000	68	-6146	1807	162680
3751000	73	-6128	1952	163172
3761000	75	-6111	2017	163611
3771000	79	-6094	2114	164082
3781000	72	-6073	1961	164644
3791000	68	-6054	1843	165156
3801000	63	-6041	1723	165515
3811000	64	-6029	1765	165844
3821000	69	-6016	1900	166214
3831000	62	-5990	1730	166928
3841000	71	-5973	1978	167401
3851000	72	-5955	2033	167915
3861000	69	-5943	1967	168242
3871000	77	-5927	2191	168699
3881000	77	-5912	2203	169112
3891000	72	-5887	2069	169833
3901000	68	-5874	1972	170213
3911000	67	-5858	1939	170699
3921000	70	-5847	2060	171007
3931000	77	-5838	2247	171256
3941000	65	-5812	1929	172045
3951000	65	-5794	1939	172576
3961000	59	-5780	1760	173005
3971000	57	-5768	1709	173365
3981000	61	-5760	1827	173599
3991000	73	-5737	2208	174286
4001000	67	-5723	2053	174698
4011000	67	-5697	2062	175512
4021000	66	-5687	2028	175830
4031000	68	-5674	2127	176231
4041000	71	-5662	2208	176589
4051000	66	-5653	2056	176863
4061000	58	-5629	1824	177646
4071000	63	-5620	1984	177902
4081000	65	-5601	2065	178530
4091000	60	-5581	1916	179164
