f/Hz	Re{Y}/µS	Im{Y}/µS	Re{Z}/mOhm	Im{Z}/mOhm
1000	4249610	-574032	231	31
11000	2294788	-1668917	285	207
21000	1245283	-1737330	273	380
31000	700095	-1432264	275	564
41000	458586	-1190710	282	731
51000	312771	-995978	287	914
61000	217549	-868618	271	1083
71000	172633	-752674	289	1262
81000	133192	-667806	287	1440
91000	102574	-600548	276	1618
101000	88759	-543516	293	1792
111000	71000	-495009	284	1979
121000	61515	-456341	290	2152
131000	51894	-423364	285	2327
141000	46078	-394789	292	2499
151000	40490	-370015	292	2671
161000	36057	-345856	298	2860
171000	32145	-326687	298	3032
181000	27662	-309131	287	3209
191000	25858	-293035	299	3386
201000	23430	-278604	300	3564
211000	21388	-265818	301	3738
221000	19724	-253707	305	3918
231000	17994	-242588	304	4100
241000	16685	-232955	306	4271
251000	15418	-223796	306	4447
261000	14209	-215315	305	4624
271000	13708	-207639	317	4795
281000	12582	-200414	312	4970
291000	11845	-193208	316	5156
301000	11167	-186739	319	5336
311000	10534	-180787	321	5513
321000	10101	-175332	327	5685
331000	9360	-170302	322	5854
341000	8733	-165258	319	6034
351000	8321	-160613	322	6209
361000	8324	-156223	340	6383
371000	7491	-151825	324	6571
381000	7440	-147733	340	6752
391000	6966	-144366	333	6911
401000	6662	-140581	336	7097
411000	6509	-137262	345	7269
421000	6072	-133897	338	7453
431000	5988	-130889	349	7624
441000	5703	-127984	347	7798
451000	5514	-125211	351	7971
461000	5159	-122515	343	8148
471000	5017	-119941	348	8323
481000	4798	-117400	348	8504
491000	4698	-115123	354	8672
501000	4615	-112781	362	8852
511000	4381	-110610	358	9027
521000	4249	-108389	361	9212
531000	4211	-106414	371	9383
541000	3897	-104485	356	9557
551000	3820	-102631	362	9730
561000	3668	-100757	361	9912
571000	3646	-99055	371	10082
581000	3586	-97295	378	10264
591000	3401	-95716	371	10434
601000	3317	-94071	374	10617
611000	3209	-92462	375	10802
621000	3134	-91081	377	10966
631000	3037	-89660	377	11141
641000	3003	-88324	385	11309
651000	2975	-86940	393	11489
661000	2911	-85619	397	11666
671000	2860	-84351	402	11842
681000	2742	-83178	396	12009
691000	2672	-81944	397	12190
701000	2650	-80747	406	12371
711000	2578	-79619	406	12547
721000	2486	-78516	403	12723
731000	2412	-77487	401	12893
741000	2337	-76452	400	13068
751000	2298	-75434	403	13244
761000	2284	-74430	412	13423
771000	2189	-73521	405	13590
781000	2194	-72589	416	13764
791000	2170	-71604	423	13953
801000	2085	-70729	416	14126
811000	2043	-69879	418	14298
821000	1984	-69055	416	14469
831000	2009	-68242	431	14641
841000	1929	-67427	424	14819
851000	1906	-66614	429	15000
861000	1869	-65809	431	15183
871000	1868	-65126	440	15342
881000	1824	-64376	440	15521
891000	1744	-63677	430	15692
901000	1744	-62965	439	15870
911000	1662	-62249	429	16053
921000	1692	-61601	446	16221
931000	1649	-60924	444	16402
941000	1621	-60325	445	16565
951000	1604	-59656	450	16751
961000	1554	-59046	445	16924
971000	1524	-58449	446	17097
981000	1517	-57824	453	17282
991000	1483	-57258	452	17453
1001000	1495	-56685	465	17629
1011000	1426	-56155	452	17796
1021000	1435	-55580	464	17980
1031000	1389	-55072	458	18146
1041000	1408	-54520	473	18330
1051000	1353	-54030	463	18497
1061000	1340	-53536	467	18667
1071000	1321	-52998	470	18857
1081000	1308	-52531	474	19025
1091000	1286	-52074	474	19192
1101000	1257	-51563	473	19382
1111000	1226	-51133	469	19546
1121000	1225	-50648	477	19733
1131000	1244	-50214	493	19903
1141000	1192	-49788	481	20074
1151000	1184	-49346	486	20253
1161000	1158	-48941	483	20421
1171000	1131	-48517	480	20600
1181000	1147	-48101	495	20778
1191000	1132	-47707	497	20949
1201000	1116	-47335	498	21114
1211000	1088	-46928	494	21298
1221000	1074	-46520	496	21485
1231000	1064	-46187	499	21640
1241000	1042	-45798	496	21824
1251000	1041	-45421	504	22005
1261000	1036	-45074	509	22174
1271000	1002	-44720	501	22350
1281000	996	-44377	505	22523
1291000	965	-44031	498	22700
1301000	981	-43704	514	22870
1311000	968	-43354	515	23054
1321000	947	-43012	512	23238
1331000	959	-42709	525	23403
1341000	926	-42394	515	23577
1351000	919	-42102	518	23740
1361000	922	-41764	528	23932
1371000	925	-41479	537	24097
1381000	891	-41185	525	24269
1391000	867	-40871	518	24456
1401000	862	-40602	523	24618
1411000	861	-40316	530	24793
1421000	848	-40042	529	24962
1431000	846	-39747	535	25148
1441000	841	-39469	540	25325
1451000	841	-39203	547	25497
1461000	815	-38957	537	25658
1471000	822	-38666	549	25851
1481000	826	-38412	559	26022
1491000	806	-38168	553	26188
1501000	790	-37902	550	26372
1511000	785	-37656	553	26545
1521000	786	-37390	562	26734
1531000	781	-37181	565	26884
1541000	754	-36912	553	27080
1551000	750	-36665	558	27262
1561000	749	-36415	564	27449
1571000	740	-36221	563	27597
1581000	743	-35997	573	27768
1591000	710	-35774	554	27943
1601000	698	-35545	553	28122
1611000	711	-35317	570	28304
1621000	702	-35117	569	28465
1631000	701	-34876	576	28661
1641000	684	-34682	569	28822
1651000	660	-34459	556	29009
1661000	688	-34258	586	29179
1671000	683	-34050	589	29357
1681000	671	-33848	586	29532
1691000	647	-33650	571	29707
1701000	636	-33474	567	29863
1711000	634	-33254	574	30061
1721000	648	-33078	592	30220
1731000	635	-32880	587	30402
1741000	625	-32680	585	30589
1751000	603	-32508	570	30751
1761000	617	-32322	590	30928
1771000	631	-32141	610	31101
1781000	616	-31963	602	31275
1791000	592	-31793	586	31443
1801000	583	-31623	583	31611
1811000	592	-31422	600	31813
1821000	591	-31272	605	31966
1831000	585	-31096	604	32147
1841000	579	-30934	605	32315
1851000	579	-30759	612	32499
1861000	567	-30580	606	32690
1871000	569	-30435	614	32845
1881000	565	-30282	616	33011
1891000	543	-30107	598	33204
1901000	538	-29960	599	33367
1911000	556	-29795	626	33551
1921000	556	-29637	633	33730
1931000	535	-29501	614	33886
1941000	536	-29345	623	34066
1951000	517	-29188	607	34250
1961000	532	-29023	632	34443
1971000	529	-28886	634	34607
1981000	520	-28759	629	34761
1991000	526	-28603	642	34949
2001000	494	-28449	610	35141
2011000	501	-28326	624	35293
2021000	500	-28180	629	35475
2031000	497	-28047	632	35643
2041000	505	-27894	648	35838
2051000	492	-27751	639	36024
2061000	505	-27631	661	36179
